mode,development,scenario,score_id,value_mode,value
Rail,100000,scenario_6,rail_maint_cost,integrated,0.0
Rail,100000,scenario_6,rail_maint_cost,standalone,0.0
Rail,100000,scenario_6,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_6,rail_noise_cost,standalone,
Rail,100000,scenario_6,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_6,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_6,rail_tts_cost,integrated,5390248.889981115
Rail,100000,scenario_6,rail_tts_cost,standalone,4341206.515230666
Rail,100000,scenario_7,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_7,rail_accident_cost,standalone,
Rail,100000,scenario_7,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_7,rail_airpollution_cost,standalone,
Rail,100000,scenario_7,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_7,rail_co2_cost,standalone,
Rail,100000,scenario_7,rail_construction_cost,integrated,0.0
Rail,100000,scenario_7,rail_construction_cost,standalone,0.0
Rail,100000,scenario_7,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_7,rail_land_consumption_cost,standalone,
Rail,100000,scenario_7,rail_maint_cost,integrated,0.0
Rail,100000,scenario_7,rail_maint_cost,standalone,0.0
Rail,100000,scenario_7,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_7,rail_noise_cost,standalone,
Rail,100000,scenario_7,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_7,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_7,rail_tts_cost,integrated,7386575.488479621
Rail,100000,scenario_7,rail_tts_cost,standalone,4204935.509612181
Rail,100000,scenario_8,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_8,rail_accident_cost,standalone,
Rail,100000,scenario_8,rail_airpollution_cost,integrated,90694.75013109244
Rail,100000,scenario_8,rail_airpollution_cost,standalone,
Rail,100000,scenario_8,rail_co2_cost,integrated,2667.492650914484
Rail,100000,scenario_8,rail_co2_cost,standalone,
Rail,100000,scenario_8,rail_construction_cost,integrated,0.0
Rail,100000,scenario_8,rail_construction_cost,standalone,0.0
Rail,100000,scenario_8,rail_land_consumption_cost,integrated,0.0
Rail,100000,scenario_8,rail_land_consumption_cost,standalone,
Rail,100000,scenario_8,rail_maint_cost,integrated,0.0
Rail,100000,scenario_8,rail_maint_cost,standalone,0.0
Rail,100000,scenario_8,rail_noise_cost,integrated,20984.134265546712
Rail,100000,scenario_8,rail_noise_cost,standalone,
Rail,100000,scenario_8,rail_operation_cost,integrated,1194824.4643038511
Rail,100000,scenario_8,rail_operation_cost,standalone,1132535.0372548352
Rail,100000,scenario_8,rail_tts_cost,integrated,4838091.937057193
Rail,100000,scenario_8,rail_tts_cost,standalone,2969415.9254501597
Rail,100000,scenario_9,rail_accident_cost,integrated,19947.815413067572
Rail,100000,scenario_9,rail_accident_cost,standalone,
