mode,development,rail_accident_cost,rail_airpollution_cost,rail_co2_cost,rail_land_consumption_cost,rail_noise_cost,road_accident_cost,road_airpollution_cost,road_co2_cost,road_land_consumption_cost,road_noise_cost,total_externalities_chf,noise_externality_chf,new_link_km,surface_route_km,settlement_exposed_km,road_noise_relevant_share,development_label,total_externalities_mio_chf,noise_externality_mio_chf,externality_per_new_link_km,externality_per_surface_route_km,noise_per_settlement_exposed_km
Rail,100000,19947.815413067572,90694.75013109244,2667.492650914484,0.0,20984.13426554671,,,,,,134294.1924606212,20984.13426554671,6.835202996260129,6.835202996260129,2.635779491067036,,1_G,0.13429419246062121,0.020984134265546708,0.019647432934193774,0.019647432934193774,0.007961263199999995
Rail,100001,25906.39795283632,117786.04526237784,3464.2954488934656,0.0,35093.715951644175,,,,,,182250.4546157518,35093.715951644175,8.87693640846164,8.87693640846164,4.408058755254284,,2_G,0.18225045461575182,0.03509371595164418,0.02053078294466858,0.02053078294466858,0.007961263200000101
Rail,100002,26265.54600000827,119418.94800003762,3512.3220000011065,2701.245112781955,30878.038538663797,,,,,,182776.09965149278,30878.038538663797,9.000000000002979,9.000000000002979,3.8785350720051928,,3_G,0.18277609965149277,0.030878038538663798,0.020308455516825807,0.020308455516825807,0.007961263199999872
Rail,100003,22002.445727011243,100036.33361159818,2942.245106223476,2701.245112781955,17701.173155009397,,,,,,145383.44271262427,17701.173155009397,7.539230729987441,7.539230729987441,2.2234126306751385,,4_P,0.14538344271262427,0.0177011731550094,0.01928359111419136,0.01928359111419136,0.007961263200000101
Rail,100004,24065.6934383376,109417.09695647593,3218.1499104845866,2701.245112781955,19281.52656492339,,,,,,158683.71198300345,19281.52656492339,8.246211251235321,8.246211251235321,2.42191798971342,,5_P,0.15868371198300346,0.019281526564923393,0.01924322663444159,0.01924322663444159,0.007961263199999985
Rail,100005,31219.996377805175,141944.85521075042,4174.8486826691305,2701.245112781955,33268.323433594844,,,,,,213309.26881760155,33268.323433594844,10.697663296253065,10.697663296253065,4.178774473075432,,6_P,0.21330926881760154,0.03326832343359484,0.01993980020780002,0.01993980020780002,0.007961263200000004
Rail,101000,108317.65122869582,492477.1013540613,14484.62062806063,2290.3999999999996,207481.43545940344,,,,,,825051.2086702212,207481.43545940344,37.11549956198347,37.11549956198347,26.06137119790264,,X0,0.8250512086702212,0.20748143545940342,0.02222929014581557,0.02222929014581557,0.007961263200000046
Rail,101001,147227.52994650704,669384.7804591752,19687.78766056398,2290.3999999999996,213393.94117765065,,,,,,1051984.4392438969,213393.94117765065,50.44813344137469,50.44813344137469,26.804030443014483,,X1,1.0519844392438968,0.21339394117765065,0.020852792115022417,0.020852792115022417,0.00796126319999999
Rail,101002,140186.17798306263,637370.565183686,18746.193093637827,2290.3999999999996,179755.20867066365,,,,,,978348.5449310502,179755.20867066365,48.035384524181005,48.035384524181005,22.578729550187926,,X2,0.9783485449310502,0.17975520867066364,0.020367247074675746,0.020367247074675746,0.007961263199999997
Rail,101003,132690.92770215432,603292.6555319021,17743.90163329124,2290.3999999999996,207803.50175377636,,,,,,963821.386621124,207803.50175377636,45.46710543612494,45.46710543612494,26.10182536783565,,X3,0.963821386621124,0.20780350175377638,0.021198213024032533,0.021198213024032533,0.007961263199999997
Rail,101004,126416.89626358062,574767.140238468,16904.915889366705,2290.3999999999996,173365.71312165158,,,,,,893745.065513067,173365.71312165158,43.317282129685324,43.317282129685324,21.776156467437467,,X4,0.893745065513067,0.17336571312165158,0.020632528671520316,0.020632528671520316,0.007961263199999985
Rail,101005,60957.710008135255,277150.36274747853,8151.481257278781,2701.245112781955,50434.719120384165,,,,,,399395.51824605867,50434.719120384165,20.88741616386783,20.88741616386783,6.335014664555225,,X5,0.3993955182460587,0.050434719120384164,0.019121346322239437,0.019121346322239437,0.007961263200000047
Rail,101006,44168.660119273954,200817.25793985967,5906.389939407638,2701.245112781955,67882.72470413407,,,,,,321476.27781545726,67882.72470413407,15.134577483120422,15.134577483120422,8.526627370406967,,X6,0.32147627781545723,0.06788272470413408,0.02124117955549135,0.02124117955549135,0.007961263200000037
Rail,101007,45861.79634201414,208515.27215743304,6132.802122277443,2701.245112781955,40503.9808141297,,,,,,303715.09654863627,40503.9808141297,15.71473774343493,15.71473774343493,5.0876324267397175,,X7,0.30371509654863627,0.0405039808141297,0.019326768381834298,0.019326768381834298,0.007961263200000018
Rail,101008,37608.24508620929,170989.670815192,5029.107965152706,2701.245112781955,61907.16986421456,,,,,,278235.4388435505,61907.16986421456,12.88662363142514,12.88662363142514,7.7760486381375555,,X8,0.2782354388435505,0.06190716986421456,0.0215910270061003,0.0215910270061003,0.00796126319999999
Rail,101009,96543.22188167412,438943.47346292005,12910.10216067412,2701.245112781955,97170.9686792523,,,,,,648269.0112973027,97170.9686792523,33.080941737707064,33.080941737707064,12.205471196989443,,X9,0.6482690112973026,0.0971709686792523,0.019596449715286613,0.019596449715286613,0.007961263200000025
Rail,101010,58893.507298479046,267765.25740659225,7875.4487472527135,2701.245112781955,49476.43930373732,,,,,,386711.8978688432,49476.43930373732,20.180108408418718,20.180108408418718,6.2146468545013125,,X10,0.38671189786884325,0.049476439303737324,0.01916302380751905,0.01916302380751905,0.007961263200000044
Rail,101011,102191.717431209,464624.9268889456,13665.439026145461,2701.245112781955,105311.4104716837,,,,,,688494.7389307659,105311.4104716837,35.01642253623364,35.01642253623364,13.227977498807446,,X11,0.6884947389307658,0.1053114104716837,0.019662052518881337,0.019662052518881337,0.007961263199999995
Rail,101012,76560.69250720723,348090.89281304757,10237.96743567787,2701.245112781955,76800.09240506063,,,,,,514390.89027377527,76800.09240506063,26.23384385631506,26.23384385631506,9.646721942952485,,X12,0.5143908902737753,0.07680009240506062,0.019607911562298564,0.019607911562298564,0.007961263200000053
Rail,101013,42799.72187365079,194593.24244940377,5723.330660276581,4008.2,31696.888781083842,,,,,,278821.383764415,31696.888781083842,14.665505025589576,14.665505025589576,3.981389383167686,,X13,0.278821383764415,0.03169688878108384,0.01901205470100788,0.01901205470100788,0.007961263200000061
Rail,101014,58248.803295091595,264834.0457784038,7789.23664054129,4008.2,72838.06039217554,,,,,,407718.3461062123,72838.06039217554,19.959197865364143,19.959197865364143,9.149058203750307,,X14,0.40771834610621227,0.07283806039217554,0.02042759177280062,0.02042759177280062,0.007961263200000013
Rail,101015,50299.8141686924,228693.16680569825,6726.269611932303,2701.245112781955,49815.89788509605,,,,,,338236.3935842009,49815.89788509605,17.23544325018907,17.23544325018907,6.257285638426818,,X15,0.3382363935842009,0.04981589788509605,0.019624467364974234,0.019624467364974234,0.00796126320000002
Rail,101016,29543.56680119106,134322.79944098482,3950.6705717936725,2701.245112781955,37501.37760949724,,,,,,208019.65953624874,37501.37760949724,10.123227638622826,10.123227638622826,4.710480820367451,,X16,0.20801965953624874,0.03750137760949724,0.020548748577242103,0.020548748577242103,0.00796126320000001
