ID_edge,flow,fftt_min,tt_min,delay_min
178,3905.13747763872,5.039667856209742,38.17330482358969,33.13363696737995
129,3905.138526455859,2.079696393149929,31.275561290231945,29.195864897082018
171,0.0,27.199114537306937,27.199114537306937,0.0
0,0.0,19.09576602825328,19.09576602825328,0.0
149,0.0,13.138379561427554,13.138379561427554,0.0
177,0.0,10.132025916057362,10.132025916057362,0.0
174,3905.138526455859,4.187128648395264,8.336376190024428,4.149247541629164
68,3905.138526455859,4.470154510530423,8.30989157177437,3.839737061243947
61,3905.138526455859,4.1809155120424855,7.779597688856427,3.5986821768139414
175,3905.138526455859,3.1717788073330624,6.31486241522794,3.1430836078948774
23,0.0,6.257917267539945,6.257917267539945,0.0
1,0.0,6.0672311188761805,6.0672311188761805,0.0
135,0.0,5.899078562941471,5.899078562941471,0.0
32,3905.138526455859,2.9552116681401075,5.353299496540247,2.3980878284001395
176,3905.138526455859,2.663963378124837,5.303825781662613,2.6398624035377756
11,0.0,5.080999639189237,5.080999639189237,0.0
169,0.0,5.068666104846932,5.068666104846932,0.0
147,0.0,5.030951176358264,5.030951176358264,0.0
157,0.0,4.927100169686553,4.927100169686553,0.0
133,0.0,4.882024049565852,4.882024049565852,0.0
63,3905.138526455859,2.5788659007463766,4.798599527670457,2.2197336269240804
148,0.0,4.77641461494696,4.77641461494696,0.0
4,0.0,4.704615462209684,4.704615462209684,0.0
161,0.0,4.6744584288604925,4.6744584288604925,0.0
122,0.0,4.623285414172058,4.623285414172058,0.0
5,0.0,4.548651346016802,4.548651346016802,0.0
67,3905.138526455859,2.4363857352018097,4.53348095175432,2.09709521655251
112,0.0,4.443692386144937,4.443692386144937,0.0
12,0.0,4.395652862010132,4.395652862010132,0.0
163,0.0,4.0886007789122685,4.0886007789122685,0.0
139,0.0,3.932218519782719,3.932218519782719,0.0
98,3905.137545740923,1.115386036326201,3.733288720605168,2.6179026842789668
9,0.0,3.6741941064496375,3.6741941064496375,0.0
118,0.0,3.6360641395581497,3.6360641395581497,0.0
