origin,status_quo,dev_2
1,44.62444179508376,48.545276121794096
3,45.8145380192421,49.911865872058094
5,51.81918079014931,56.61310631166587
4,65.63509534857836,71.99108954191689
41,67.46912551571575,81.67185576667477
2,68.47159400320622,75.32392594604251
6,73.42674727656116,81.19194217635889
153,73.59408886131023,80.87870392676601
26,74.54550654531435,83.12125772255301
7,74.8660074629585,84.74893662820823
27,79.87861194474853,89.01153350154011
168,83.56606794955513,92.80668427708645
28,85.09906618567798,94.33861824639628
29,88.9110309322492,98.58935511474299
40,89.44277318466449,98.89779078675441
25,90.49514775979804,101.01323225000662
169,91.96728255043887,102.49304464513796
34,92.91619434027996,103.36523561687035
32,92.96700049832232,103.46401274567602
101,93.24727838086672,103.81883510967891
36,93.36570623644491,103.7875719797105
35,94.01853867743786,104.4337730811978
24,94.17881018801906,104.76751852332022
37,94.52140002422307,104.84463401912194
39,94.82920308048419,105.4528223376762
23,95.13769113996148,105.72678855214038
10,95.51248862632262,106.05558475844425
9,96.2167706565184,106.7354172668317
8,97.13824217151053,107.64938737010009
38,100.15436389061149,95.46627775986822
171,102.30020588396376,112.74082954649339
