step,vtt_chf_per_hour_rail,vtt_chf_per_hour_road,mean_ratio_rail,mean_ratio_road
0,15.19,26.85,0.7478348748208172,0.6232384258619388
1,15.44125,26.96375,0.7602044279675406,0.6258787748728064
2,15.692499999999999,27.0775,0.7725739811142642,0.628519123883674
3,15.94375,27.19125,0.7849435342609878,0.6311594728945417
4,16.195,27.305,0.7973130874077113,0.6337998219054093
5,16.44625,27.418750000000003,0.8096826405544346,0.636440170916277
6,16.697499999999998,27.532500000000002,0.8220521937011582,0.6390805199271447
7,16.94875,27.646250000000002,0.8344217468478815,0.6417208689380121
8,17.2,27.76,0.8467912999946053,0.6443612179488798
9,17.451249999999998,27.87375,0.8591608531413291,0.6470015669597473
10,17.7025,27.9875,0.8715304062880523,0.649641915970615
11,17.95375,28.10125,0.8838999594347761,0.6522822649814827
12,18.205,28.215,0.8962695125814992,0.6549226139923502
13,18.456249999999997,28.32875,0.9086390657282228,0.6575629630032178
14,18.7075,28.4425,0.9210086188749463,0.6602033120140854
15,18.95875,28.55625,0.9333781720216701,0.6628436610249531
16,19.21,28.67,0.9457477251683937,0.6654840100358207
17,19.46125,28.78375,0.9581172783151174,0.6681243590466883
18,19.7125,28.8975,0.9704868314618403,0.670764708057556
19,19.963749999999997,29.01125,0.9828563846085641,0.6734050570684236
20,20.215,29.125,0.9952259377552876,0.6760454060792912
21,20.46625,29.23875,1.007595490902011,0.6786857550901587
22,20.7175,29.3525,1.0199650440487344,0.6813261041010263
23,20.96875,29.46625,1.0323345971954587,0.6839664531118941
24,21.22,29.58,1.044704150342182,0.6866068021227616
25,21.471249999999998,29.69375,1.0570737034889053,0.6892471511336292
26,21.722499999999997,29.8075,1.0694432566356284,0.691887500144497
27,21.97375,29.92125,1.0818128097823523,0.6945278491553645
28,22.224999999999998,30.035,1.094182362929076,0.6971681981662321
29,22.47625,30.14875,1.1065519160757993,0.6998085471770996
30,22.7275,30.2625,1.1189214692225224,0.7024488961879674
31,22.978749999999998,30.37625,1.1312910223692463,0.7050892451988349
32,23.229999999999997,30.49,1.1436605755159697,0.7077295942097025
33,23.48125,30.603749999999998,1.1560301286626933,0.7103699432205702
34,23.732499999999998,30.7175,1.168399681809417,0.7130102922314379
35,23.98375,30.831249999999997,1.1807692349561403,0.7156506412423054
36,24.235,30.945,1.193138788102864,0.718290990253173
37,24.48625,31.05875,1.2055083412495873,0.7209313392640406
38,24.737499999999997,31.1725,1.217877894396311,0.7235716882749084
39,24.988749999999996,31.28625,1.2302474475430345,0.7262120372857759
40,25.24,31.4,1.242617000689758,0.7288523862966433
