development,mean_net_benefit,median_net_benefit,share_positive_scenarios,positive_scenarios,total_scenarios,mode,vtt_chf_per_hour,base_vtt_chf_per_hour
100000,2377787.3292286303,2359680.3213360747,1.0,20,20,Rail,15.19,15.2
100001,9759622.405038992,9699876.207388168,1.0,20,20,Rail,15.19,15.2
100002,1455290.2186258375,1430322.2817525961,1.0,20,20,Rail,15.19,15.2
100003,-1173713.2274982075,-1181219.331525516,0.0,0,20,Rail,15.19,15.2
100004,-1159179.016154106,-1166350.641843293,0.0,0,20,Rail,15.19,15.2
100005,1256541.995820644,1231087.8950960352,1.0,20,20,Rail,15.19,15.2
101000,-5818793.704886841,-5844604.770271385,0.0,0,20,Rail,15.19,15.2
101001,-2610341.594736633,-2666066.0202603973,0.05,1,20,Rail,15.19,15.2
101002,-8047512.739609691,-8072084.264636284,0.0,0,20,Rail,15.19,15.2
101003,-7745984.921984218,-7771545.192167338,0.0,0,20,Rail,15.19,15.2
101004,-10568758.95446426,-10555282.73348039,0.0,0,20,Rail,15.19,15.2
101005,-7509384.391259256,-7509933.806773605,0.0,0,20,Rail,15.19,15.2
101006,-3460638.5666294233,-3435930.1658393084,0.0,0,20,Rail,15.19,15.2
101007,2123071.915037456,2071157.9472222822,1.0,20,20,Rail,15.19,15.2
101008,-1285259.810878842,-1310894.0915479618,0.05,1,20,Rail,15.19,15.2
101009,-7377321.172242263,-7378056.6480259225,0.0,0,20,Rail,15.19,15.2
101010,230145.07916064849,198831.9341883026,0.6,12,20,Rail,15.19,15.2
101011,-320733.2570262645,-227927.0282640122,0.35,7,20,Rail,15.19,15.2
101012,2468946.004784131,2421109.0756258294,1.0,20,20,Rail,15.19,15.2
101013,-1211613.2820709415,-1234298.3159441163,0.0,0,20,Rail,15.19,15.2
101014,-2111384.606157488,-2133197.278442581,0.0,0,20,Rail,15.19,15.2
101015,-1930361.6722183723,-1914788.0466327176,0.0,0,20,Rail,15.19,15.2
101016,3286396.8373008324,3251735.979556846,1.0,20,20,Rail,15.19,15.2
101017,-10936833.230421152,-10947282.96175192,0.0,0,20,Rail,15.19,15.2
101018,-11991506.441538386,-11992730.09966926,0.0,0,20,Rail,15.19,15.2
101019,-16247500.906138837,-16247141.025469199,0.0,0,20,Rail,15.19,15.2
101020,-13806896.844239509,-13819621.974281965,0.0,0,20,Rail,15.19,15.2
101021,-16488613.528415322,-16499917.366029095,0.0,0,20,Rail,15.19,15.2
101022,-17219586.2822638,-17227640.328183692,0.0,0,20,Rail,15.19,15.2
101023,-10628192.215675566,-10677860.797966357,0.0,0,20,Rail,15.19,15.2
101024,-15373118.752732152,-15396739.484581439,0.0,0,20,Rail,15.19,15.2
101025,-11546019.9380035,-11554547.113423977,0.0,0,20,Rail,15.19,15.2
101026,-7160583.890658565,-7192246.527698859,0.0,0,20,Rail,15.19,15.2
101027,-3073442.502026988,-2980742.3172023175,0.0,0,20,Rail,15.19,15.2
101028,-11767842.12835464,-11786896.887336466,0.0,0,20,Rail,15.19,15.2
101029,-12547028.618065126,-12568215.80155833,0.0,0,20,Rail,15.19,15.2
101030,-14174381.709691714,-14197443.569826987,0.0,0,20,Rail,15.19,15.2
101031,-4994596.745669537,-5033681.158270115,0.0,0,20,Rail,15.19,15.2
101032,-8744530.27134591,-8740486.907108031,0.0,0,20,Rail,15.19,15.2
100000,2436880.0687365322,2418473.562112377,1.0,20,20,Rail,15.44125,15.2
100001,9946717.663096465,9885983.234230384,1.0,20,20,Rail,15.44125,15.2
100002,1524596.360864934,1499215.4421523642,1.0,20,20,Rail,15.44125,15.2
100003,-1152115.6813443112,-1159745.9399889247,0.0,0,20,Rail,15.44125,15.2
100004,-1135296.9374310574,-1142587.1853028918,0.0,0,20,Rail,15.44125,15.2
100005,1327469.2880123146,1301594.1640614346,1.0,20,20,Rail,15.44125,15.2
101000,-5742107.29754846,-5768345.290528651,0.0,0,20,Rail,15.44125,15.2
101001,-2438181.5532180816,-2494827.687886866,0.05,1,20,Rail,15.44125,15.2
101002,-7972959.874995585,-7997937.8250164455,0.0,0,20,Rail,15.44125,15.2
101003,-7674613.019494446,-7700596.068998402,0.0,0,20,Rail,15.44125,15.2
101004,-10550914.595427506,-10537215.471183453,0.0,0,20,Rail,15.44125,15.2
101005,-7507553.75803828,-7508112.261152891,0.0,0,20,Rail,15.44125,15.2
101006,-3410136.535655244,-3385019.4458790515,0.0,0,20,Rail,15.44125,15.2
101007,2267776.4299155097,2215003.7797821295,1.0,20,20,Rail,15.44125,15.2
101008,-1205925.5442838965,-1231983.828443346,0.05,1,20,Rail,15.44125,15.2
101009,-7374919.378120361,-7375667.019031778,0.0,0,20,Rail,15.44125,15.2
101010,317347.1340957529,285516.05445097154,0.65,13,20,Rail,15.44125,15.2
101011,-195456.28890757193,-101114.99990986753,0.4,8,20,Rail,15.44125,15.2
101012,2612432.7466309583,2563804.5713600153,1.0,20,20,Rail,15.44125,15.2
101013,-1149719.6253589024,-1172779.8807436395,0.0,0,20,Rail,15.44125,15.2
101014,-2047537.0824307147,-2069710.5469417213,0.0,0,20,Rail,15.44125,15.2
101015,-1888260.921720637,-1872429.7007809076,0.0,0,20,Rail,15.44125,15.2
101016,3392165.003255418,3356930.838038872,1.0,20,20,Rail,15.44125,15.2
101017,-10900070.163981056,-10910692.738958754,0.0,0,20,Rail,15.44125,15.2
101018,-11987993.82364691,-11989237.72167939,0.0,0,20,Rail,15.44125,15.2
101019,-16245324.76538403,-16244958.932112794,0.0,0,20,Rail,15.44125,15.2
101020,-13769677.444000011,-13782613.053892577,0.0,0,20,Rail,15.44125,15.2
101021,-16456051.702009391,-16467542.510604102,0.0,0,20,Rail,15.44125,15.2
101022,-17192753.77608261,-17200941.039845645,0.0,0,20,Rail,15.44125,15.2
101023,-10474779.235618373,-10525269.360456932,0.0,0,20,Rail,15.44125,15.2
101024,-15296126.971644318,-15320138.40190553,0.0,0,20,Rail,15.44125,15.2
101025,-11521667.521010261,-11530335.740066312,0.0,0,20,Rail,15.44125,15.2
101026,-7072038.863169899,-7104225.215651692,0.0,0,20,Rail,15.44125,15.2
101027,-2944904.2099899063,-2850670.718948172,0.0,0,20,Rail,15.44125,15.2
101028,-11714606.77949496,-11733976.71347311,0.0,0,20,Rail,15.44125,15.2
101029,-12474598.969034541,-12496136.598864328,0.0,0,20,Rail,15.44125,15.2
101030,-14102702.288354984,-14126145.60289177,0.0,0,20,Rail,15.44125,15.2
101031,-4885454.216697006,-4925185.104522461,0.0,0,20,Rail,15.44125,15.2
101032,-8735579.485908007,-8731469.24245586,0.0,0,20,Rail,15.44125,15.2
100000,2495972.808244434,2477266.8028886793,1.0,20,20,Rail,15.692499999999999,15.2
100001,10133812.921153938,10072090.261072598,1.0,20,20,Rail,15.692499999999999,15.2
100002,1593902.5031040306,1568108.6025521317,1.0,20,20,Rail,15.692499999999999,15.2
100003,-1130518.1351904147,-1138272.548452333,0.0,0,20,Rail,15.692499999999999,15.2
100004,-1111414.8587080091,-1118823.7287624902,0.0,0,20,Rail,15.692499999999999,15.2
100005,1398396.5802039853,1372100.433026834,1.0,20,20,Rail,15.692499999999999,15.2
101000,-5665420.890210079,-5692085.810785918,0.0,0,20,Rail,15.692499999999999,15.2
101001,-2266021.51169953,-2323589.3555133333,0.05,1,20,Rail,15.692499999999999,15.2
101002,-7898407.010381478,-7923791.385396607,0.0,0,20,Rail,15.692499999999999,15.2
101003,-7603241.117004673,-7629646.945829466,0.0,0,20,Rail,15.692499999999999,15.2
101004,-10533070.23639075,-10519148.208886515,0.0,0,20,Rail,15.692499999999999,15.2
101005,-7505723.124817304,-7506290.715532178,0.0,0,20,Rail,15.692499999999999,15.2
101006,-3359634.5046810643,-3334108.7259187945,0.0,0,20,Rail,15.692499999999999,15.2
101007,2412480.9447935643,2358849.6123419767,1.0,20,20,Rail,15.692499999999999,15.2
101008,-1126591.277688951,-1153073.5653387313,0.05,1,20,Rail,15.692499999999999,15.2
101009,-7372517.583998458,-7373277.3900376335,0.0,0,20,Rail,15.692499999999999,15.2
101010,404549.1890308574,372200.17471364,0.65,13,20,Rail,15.692499999999999,15.2
101011,-70179.3207888796,25697.028444276657,0.5,10,20,Rail,15.692499999999999,15.2
101012,2755919.4884777856,2706500.0670942003,1.0,20,20,Rail,15.692499999999999,15.2
101013,-1087825.9686468632,-1111261.4455431632,0.0,0,20,Rail,15.692499999999999,15.2
101014,-1983689.5587039415,-2006223.815440862,0.0,0,20,Rail,15.692499999999999,15.2
101015,-1846160.1712229021,-1830071.3549290977,0.0,0,20,Rail,15.692499999999999,15.2
101016,3497933.169210004,3462125.6965208985,1.0,20,20,Rail,15.692499999999999,15.2
101017,-10863307.097540962,-10874102.516165586,0.0,0,20,Rail,15.692499999999999,15.2
101018,-11984481.205755433,-11985745.343689518,0.0,0,20,Rail,15.692499999999999,15.2
101019,-16243148.624629226,-16242776.838756392,0.0,0,20,Rail,15.692499999999999,15.2
101020,-13732458.043760514,-13745604.13350319,0.0,0,20,Rail,15.692499999999999,15.2
101021,-16423489.875603458,-16435167.65517911,0.0,0,20,Rail,15.692499999999999,15.2
101022,-17165921.269901417,-17174241.7515076,0.0,0,20,Rail,15.692499999999999,15.2
101023,-10321366.255561184,-10372677.922947507,0.0,0,20,Rail,15.692499999999999,15.2
101024,-15219135.190556481,-15243537.319229618,0.0,0,20,Rail,15.692499999999999,15.2
101025,-11497315.104017021,-11506124.366708646,0.0,0,20,Rail,15.692499999999999,15.2
101026,-6983493.835681233,-7016203.903604526,0.0,0,20,Rail,15.692499999999999,15.2
101027,-2816365.9179528253,-2720599.120694027,0.0,0,20,Rail,15.692499999999999,15.2
101028,-11661371.430635277,-11681056.539609753,0.0,0,20,Rail,15.692499999999999,15.2
101029,-12402169.320003958,-12424057.396170326,0.0,0,20,Rail,15.692499999999999,15.2
101030,-14031022.867018253,-14054847.635956552,0.0,0,20,Rail,15.692499999999999,15.2
101031,-4776311.687724476,-4816689.050774808,0.0,0,20,Rail,15.692499999999999,15.2
101032,-8726628.700470105,-8722451.577803688,0.0,0,20,Rail,15.692499999999999,15.2
100000,2555065.547752337,2536060.0436649816,1.0,20,20,Rail,15.94375,15.2
100001,10320908.179211415,10258197.287914816,1.0,20,20,Rail,15.94375,15.2
100002,1663208.6453431281,1637001.7629519012,1.0,20,20,Rail,15.94375,15.2
100003,-1108920.589036518,-1116799.156915741,0.0,0,20,Rail,15.94375,15.2
100004,-1087532.7799849603,-1095060.2722220884,0.0,0,20,Rail,15.94375,15.2
100005,1469323.872395657,1442606.7019922351,1.0,20,20,Rail,15.94375,15.2
101000,-5588734.482871697,-5615826.331043181,0.0,0,20,Rail,15.94375,15.2
101001,-2093861.470180976,-2152351.023139799,0.05,1,20,Rail,15.94375,15.2
101002,-7823854.145767371,-7849644.945776768,0.0,0,20,Rail,15.94375,15.2
101003,-7531869.214514901,-7558697.82266053,0.0,0,20,Rail,15.94375,15.2
101004,-10515225.877353998,-10501080.946589578,0.0,0,20,Rail,15.94375,15.2
101005,-7503892.491596329,-7504469.169911464,0.0,0,20,Rail,15.94375,15.2
101006,-3309132.4737068834,-3283198.0059585366,0.0,0,20,Rail,15.94375,15.2
101007,2557185.45967162,2502695.444901826,1.0,20,20,Rail,15.94375,15.2
101008,-1047257.0110940045,-1074163.3022341146,0.05,1,20,Rail,15.94375,15.2
101009,-7370115.789876555,-7370887.761043489,0.0,0,20,Rail,15.94375,15.2
101010,491751.2439659631,458884.2949763099,0.65,13,20,Rail,15.94375,15.2
101011,55097.647329814594,152509.05679842317,0.55,11,20,Rail,15.94375,15.2
101012,2899406.2303246143,2849195.562828388,1.0,20,20,Rail,15.94375,15.2
101013,-1025932.3119348235,-1049743.0103426857,0.05,1,20,Rail,15.94375,15.2
101014,-1919842.0349771674,-1942737.0839400014,0.0,0,20,Rail,15.94375,15.2
101015,-1804059.420725166,-1787713.0090772873,0.0,0,20,Rail,15.94375,15.2
101016,3603701.3351645907,3567320.555002926,1.0,20,20,Rail,15.94375,15.2
101017,-10826544.031100865,-10837512.293372419,0.0,0,20,Rail,15.94375,15.2
101018,-11980968.587863956,-11982252.965699647,0.0,0,20,Rail,15.94375,15.2
101019,-16240972.48387442,-16240594.74539999,0.0,0,20,Rail,15.94375,15.2
101020,-13695238.643521016,-13708595.213113802,0.0,0,20,Rail,15.94375,15.2
101021,-16390928.049197529,-16402792.799754117,0.0,0,20,Rail,15.94375,15.2
101022,-17139088.763720226,-17147542.463169552,0.0,0,20,Rail,15.94375,15.2
101023,-10167953.27550399,-10220086.48543808,0.0,0,20,Rail,15.94375,15.2
101024,-15142143.409468645,-15166936.236553706,0.0,0,20,Rail,15.94375,15.2
101025,-11472962.68702378,-11481912.993350983,0.0,0,20,Rail,15.94375,15.2
101026,-6894948.808192566,-6928182.591557357,0.0,0,20,Rail,15.94375,15.2
101027,-2687827.625915742,-2590527.5224398794,0.0,0,20,Rail,15.94375,15.2
101028,-11608136.081775595,-11628136.365746396,0.0,0,20,Rail,15.94375,15.2
101029,-12329739.670973372,-12351978.193476321,0.0,0,20,Rail,15.94375,15.2
101030,-13959343.445681522,-13983549.669021333,0.0,0,20,Rail,15.94375,15.2
101031,-4667169.158751943,-4708192.997027153,0.0,0,20,Rail,15.94375,15.2
101032,-8717677.915032204,-8713433.913151516,0.0,0,20,Rail,15.94375,15.2
100000,2614158.287260239,2594853.284441284,1.0,20,20,Rail,16.195,15.2
100001,10508003.437268887,10444304.314757032,1.0,20,20,Rail,16.195,15.2
100002,1732514.7875822247,1705894.9233516688,1.0,20,20,Rail,16.195,15.2
