mode,development,scenario,score_id,standalone_value,integrated_value
Rail,100000,scenario_11,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_11,rail_tts_cost,3786285.7593073794,5334185.209988706
Rail,100000,scenario_12,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_12,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_12,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_12,rail_construction_cost,0.0,0.0
Rail,100000,scenario_12,rail_land_consumption_cost,,0.0
Rail,100000,scenario_12,rail_maint_cost,0.0,0.0
Rail,100000,scenario_12,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_12,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_12,rail_tts_cost,8115404.933559166,8676506.691261664
Rail,100000,scenario_13,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_13,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_13,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_13,rail_construction_cost,0.0,0.0
Rail,100000,scenario_13,rail_land_consumption_cost,,0.0
Rail,100000,scenario_13,rail_maint_cost,0.0,0.0
Rail,100000,scenario_13,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_13,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_13,rail_tts_cost,4867944.823957277,5478886.08025456
Rail,100000,scenario_14,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_14,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_14,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_14,rail_construction_cost,0.0,0.0
Rail,100000,scenario_14,rail_land_consumption_cost,,0.0
Rail,100000,scenario_14,rail_maint_cost,0.0,0.0
Rail,100000,scenario_14,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_14,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_14,rail_tts_cost,3336527.980026756,6039193.58058957
Rail,100000,scenario_15,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_15,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_15,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_15,rail_construction_cost,0.0,0.0
Rail,100000,scenario_15,rail_land_consumption_cost,,0.0
Rail,100000,scenario_15,rail_maint_cost,0.0,0.0
Rail,100000,scenario_15,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_15,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_15,rail_tts_cost,2564591.971141019,4174456.8412865014
Rail,100000,scenario_16,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_16,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_16,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_16,rail_construction_cost,0.0,0.0
Rail,100000,scenario_16,rail_land_consumption_cost,,0.0
Rail,100000,scenario_16,rail_maint_cost,0.0,0.0
Rail,100000,scenario_16,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_16,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_16,rail_tts_cost,5016838.406427939,6528970.255375653
Rail,100000,scenario_17,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_17,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_17,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_17,rail_construction_cost,0.0,0.0
Rail,100000,scenario_17,rail_land_consumption_cost,,0.0
Rail,100000,scenario_17,rail_maint_cost,0.0,0.0
Rail,100000,scenario_17,rail_noise_cost,,20984.134265546712
Rail,100000,scenario_17,rail_operation_cost,1132535.0372548352,1194824.4643038511
Rail,100000,scenario_17,rail_tts_cost,4649809.37945733,6607227.124926121
Rail,100000,scenario_18,rail_accident_cost,,19947.815413067572
Rail,100000,scenario_18,rail_airpollution_cost,,90694.75013109244
Rail,100000,scenario_18,rail_co2_cost,,2667.492650914484
Rail,100000,scenario_18,rail_construction_cost,0.0,0.0
Rail,100000,scenario_18,rail_land_consumption_cost,,0.0
Rail,100000,scenario_18,rail_maint_cost,0.0,0.0
Rail,100000,scenario_18,rail_noise_cost,,20984.134265546712
