scenario,mode,development_count,total_demand_basis,median_tts_total_person_min,mean_tts_total_person_min,median_tts_per_trip_min,mean_tts_per_trip_min,median_status_quo_per_trip_min,median_development_per_trip_min
scenario_19,Road,4,10004.725529239466,27303.975305469125,21194.55636370057,2.729107882637207,2.118454554476091,58.41630000566824,55.68719212303103
scenario_26,Road,4,4540.663259143899,5757.173983326007,10579.890096005023,1.2679147637148214,2.330031868075539,99.37247702448919,98.10456226077437
scenario_44,Road,4,7660.214081615988,-42409.3428263503,-41682.653970562445,-5.5363130030699725,-5.4414476575267114,72.59090888701388,78.12722189008386
scenario_64,Road,4,9479.923166176048,-2260.649066799844,14976.473379348201,-0.23846702417016855,1.5798095740673936,54.030750639956345,54.269217664126515
scenario_78,Road,4,10391.082934411694,30999.754978734534,49758.60675584416,2.983303585815296,4.7885872021154565,64.12668571983275,61.14338213401746
scenario_19,Rail,39,135103.84375,60056.7080993671,59146.509962131655,0.4445225719151095,0.4377855456990405,39.343356689999865,38.89883411808476
scenario_26,Rail,39,88665.265625,15543.008412777344,15636.934335074244,0.1752998573140782,0.17635918896593555,15.772161635048674,15.596861777734595
scenario_44,Rail,39,173572.0625,43819.2164114739,43382.59383355755,0.25245546881413533,0.24993995697641458,22.449686566566537,22.1972310977524
scenario_64,Rail,39,182678.453125,52758.92932295683,52167.84638660114,0.2888076202772304,0.28557197356441727,25.69724331984141,25.408435699564183
scenario_78,Rail,39,229051.734375,71109.87448763859,69955.54102043729,0.31045333353040055,0.3054137145537049,27.49330710260916,27.18285376907876
