step,vtt_chf_per_hour_rail,vtt_chf_per_hour_road,mean_ratio_rail,mean_ratio_road,rail_vtt_pct_change,road_vtt_pct_change,rail_ratio_pct_change,road_ratio_pct_change
0,15.19,26.85,0.4945038117650264,5.320349078211993,-0.06578947368420796,-14.490445859872603,0.0,-14.490445859872603
1,15.44125,26.96375,0.5026831457153861,5.342888732128068,1.5871710526315752,-14.128184713375791,1.6540487162607143,-14.12818471337578
2,15.692499999999999,27.0775,0.5108624796657456,5.365428386044141,3.2401315789473584,-13.765923566878978,3.308097432521384,-13.76592356687899
3,15.94375,27.19125,0.5190418136161052,5.387968039960218,4.893092105263164,-13.403662420382156,4.962146148782076,-13.403662420382146
4,16.195,27.305,0.5272211475664649,5.410507693876292,6.546052631578947,-13.041401273885345,6.616194865042768,-13.041401273885345
5,16.44625,27.418750000000003,0.5354004815168245,5.4330473477923675,8.19901315789473,-12.679140127388521,8.270243581303482,-12.679140127388532
6,16.697499999999998,27.532500000000002,0.5435798154671841,5.455587001708443,9.851973684210513,-12.31687898089171,9.924292297564175,-12.31687898089171
7,16.94875,27.646250000000002,0.5517591494175439,5.478126655624517,11.504934210526319,-11.954617834394899,11.57834101382489,-11.95461783439491
8,17.2,27.76,0.5599384833679033,5.500666309540593,13.157894736842103,-11.592356687898075,13.232389730085536,-11.592356687898075
9,17.451249999999998,27.87375,0.568117817318263,5.523205963456667,14.810855263157885,-11.230095541401264,14.886438446346272,-11.230095541401274
10,17.7025,27.9875,0.5762971512686228,5.545745617372742,16.463815789473692,-10.867834394904452,16.540487162606986,-10.867834394904452
11,17.95375,28.10125,0.5844764852189823,5.5682852712888184,18.116776315789473,-10.50557324840764,18.194535878867658,-10.505573248407618
12,18.205,28.215,0.592655819169342,5.590824925204892,19.769736842105257,-10.143312101910828,19.84858459512835,-10.143312101910828
13,18.456249999999997,28.32875,0.6008351531197016,5.613364579120967,21.42269736842104,-9.781050955414006,21.50263331138906,-9.781050955414017
14,18.7075,28.4425,0.6090144870700612,5.635904233037043,23.075657894736846,-9.418789808917193,23.156682027649754,-9.418789808917182
15,18.95875,28.55625,0.617193821020421,5.658443886953118,24.72861842105263,-9.056528662420382,24.81073074391047,-9.056528662420371
16,19.21,28.67,0.6253731549707805,5.680983540869192,26.381578947368432,-8.69426751592356,26.46477946017114,-8.69426751592356
17,19.46125,28.78375,0.6335524889211402,5.703523194785268,28.034539473684216,-8.332006369426747,28.118828176431876,-8.332006369426747
18,19.7125,28.8975,0.6417318228714999,5.726062848701343,29.6875,-7.969745222929925,29.77287689269257,-7.969745222929925
19,19.963749999999997,29.01125,0.6499111568218595,5.748602502617417,31.340460526315784,-7.6074840764331135,31.426925608953262,-7.607484076433124
20,20.215,29.125,0.658090490772219,5.771142156533493,32.99342105263159,-7.245222929936301,33.08097432521393,-7.24522292993629
21,20.46625,29.23875,0.6662698247225785,5.793681810449567,34.64638157894737,-6.882961783439489,34.7350230414746,-6.882961783439489
22,20.7175,29.3525,0.6744491586729384,5.8162214643656425,36.29934210526318,-6.520700636942678,36.38907175773536,-6.520700636942678
23,20.96875,29.46625,0.682628492623298,5.838761118281718,37.95230263157896,-6.158439490445855,38.04312047399605,-6.158439490445855
24,21.22,29.58,0.6908078265736576,5.861300772197792,39.60526315789474,-5.796178343949043,39.69716919025672,-5.796178343949054
25,21.471249999999998,29.69375,0.6989871605240171,5.883840426113867,41.25822368421053,-5.433917197452221,41.35121790651741,-5.433917197452232
26,21.722499999999997,29.8075,0.707166494474377,5.906380080029942,42.91118421052631,-5.071656050955409,43.00526662277815,-5.07165605095542
27,21.97375,29.92125,0.7153458284247367,5.9289197339460165,44.56414473684212,-4.7093949044585965,44.65931533903886,-4.70939490445862
28,22.224999999999998,30.035,0.7235251623750962,5.9514593878620925,46.2171052631579,-4.347133757961775,46.31336405529953,-4.347133757961785
29,22.47625,30.14875,0.7317044963254558,5.973999041778168,47.870065789473706,-3.9848726114649624,47.96741277156023,-3.9848726114649624
30,22.7275,30.2625,0.7398838302758154,5.996538695694242,49.523026315789465,-3.6226114649681507,49.621461487820916,-3.6226114649681618
31,22.978749999999998,30.37625,0.748063164226175,6.019078349610317,51.175986842105246,-3.260350318471339,51.27551020408161,-3.260350318471339
32,23.229999999999997,30.49,0.7562424981765347,6.041618003526391,52.828947368421034,-2.898089171974527,52.9295589203423,-2.8980891719745383
33,23.48125,30.603749999999998,0.7644218321268943,6.064157657442468,54.481907894736835,-2.5358280254777044,54.58360763660301,-2.5358280254776933
34,23.732499999999998,30.7175,0.7726011660772539,6.0866973113585425,56.134868421052616,-2.1735668789808815,56.23765635286371,-2.1735668789808926
35,23.98375,30.831249999999997,0.7807805000276136,6.109236965274618,57.787828947368425,-1.8113057324840809,57.8917050691244,-1.8113057324840698
36,24.235,30.945,0.7889598339779733,6.131776619190694,59.440789473684205,-1.449044585987258,59.545753785385116,-1.449044585987247
37,24.48625,31.05875,0.7971391679283328,6.154316273106767,61.09374999999999,-1.0867834394904463,61.199802501645806,-1.0867834394904574
38,24.737499999999997,31.1725,0.8053185018786924,6.176855927022842,62.74671052631577,-0.7245222929936235,62.853851217906474,-0.7245222929936346
39,24.988749999999996,31.28625,0.813497835829052,6.199395580938918,64.39967105263156,-0.36226114649681174,64.50789993416717,-0.36226114649680063
40,25.24,31.4,0.8216771697794116,6.221935234854993,66.05263157894737,0.0,66.16194865042786,0.0
