vtt_chf_per_hour_rail,vtt_chf_per_hour_road,mean_net_benefit_developments_rail,mean_net_benefit_developments_road,share_positive_developments_rail,share_positive_developments_road,combined_mean_net_benefit_developments,combined_share_positive_developments
15.19,26.85,-5796765.465078469,-4145941645.558698,0.20512820512820512,0.01904761904761905,-4151738411.0237765,0.11208791208791208
15.44125,26.96375,-5728067.785010089,-4158907725.421807,0.20512820512820512,0.01904761904761905,-4164635793.2068167,0.11208791208791208
15.692499999999999,27.0775,-5659370.104941706,-4171873805.284915,0.20512820512820512,0.01904761904761905,-4177533175.389857,0.11208791208791208
15.94375,27.19125,-5590672.424873321,-4184839885.148023,0.23076923076923078,0.01904761904761905,-4190430557.5728965,0.12490842490842491
16.195,27.305,-5521974.74480494,-4197805965.0111313,0.23076923076923078,0.01904761904761905,-4203327939.755936,0.12490842490842491
16.44625,27.418750000000003,-5453277.064736557,-4210772044.8742385,0.23076923076923078,0.01904761904761905,-4216225321.938975,0.12490842490842491
16.697499999999998,27.532500000000002,-5384579.384668175,-4223738124.7373466,0.23076923076923078,0.01904761904761905,-4229122704.122015,0.12490842490842491
16.94875,27.646250000000002,-5315881.704599793,-4236704204.6004553,0.23076923076923078,0.01904761904761905,-4242020086.305055,0.12490842490842491
17.2,27.76,-5247184.02453141,-4249670284.463563,0.23076923076923078,0.01904761904761905,-4254917468.4880943,0.12490842490842491
17.451249999999998,27.87375,-5178486.344463028,-4262636364.326671,0.23076923076923078,0.01904761904761905,-4267814850.671134,0.12490842490842491
17.7025,27.9875,-5109788.664394643,-4275602444.1897793,0.23076923076923078,0.01904761904761905,-4280712232.854174,0.12490842490842491
17.95375,28.10125,-5041090.984326263,-4288568524.0528865,0.23076923076923078,0.01904761904761905,-4293609615.037213,0.12490842490842491
18.205,28.215,-4972393.30425788,-4301534603.915995,0.23076923076923078,0.01904761904761905,-4306506997.220253,0.12490842490842491
18.456249999999997,28.32875,-4903695.624189498,-4314500683.779103,0.23076923076923078,0.01904761904761905,-4319404379.403293,0.12490842490842491
18.7075,28.4425,-4834997.944121115,-4327466763.642211,0.23076923076923078,0.01904761904761905,-4332301761.586332,0.12490842490842491
18.95875,28.55625,-4766300.264052733,-4340432843.505319,0.23076923076923078,0.01904761904761905,-4345199143.769371,0.12490842490842491
19.21,28.67,-4697602.583984348,-4353398923.368427,0.2564102564102564,0.01904761904761905,-4358096525.952412,0.1377289377289377
19.46125,28.78375,-4628904.903915967,-4366365003.231535,0.28205128205128205,0.01904761904761905,-4370993908.135451,0.15054945054945054
19.7125,28.8975,-4560207.223847585,-4379331083.094644,0.28205128205128205,0.01904761904761905,-4383891290.318491,0.15054945054945054
19.963749999999997,29.01125,-4491509.543779202,-4392297162.957751,0.28205128205128205,0.01904761904761905,-4396788672.501531,0.15054945054945054
20.215,29.125,-4422811.863710819,-4405263242.82086,0.3076923076923077,0.01904761904761905,-4409686054.68457,0.16336996336996337
20.46625,29.23875,-4354114.183642437,-4418229322.683967,0.3076923076923077,0.01904761904761905,-4422583436.867609,0.16336996336996337
20.7175,29.3525,-4285416.503574053,-4431195402.547075,0.3076923076923077,0.01904761904761905,-4435480819.05065,0.16336996336996337
20.96875,29.46625,-4216718.823505672,-4444161482.410183,0.3076923076923077,0.01904761904761905,-4448378201.233688,0.16336996336996337
21.22,29.58,-4148021.1434372887,-4457127562.273292,0.3333333333333333,0.01904761904761905,-4461275583.416729,0.17619047619047618
21.471249999999998,29.69375,-4079323.4633689057,-4470093642.1364,0.3333333333333333,0.01904761904761905,-4474172965.59977,0.17619047619047618
21.722499999999997,29.8075,-4010625.783300524,-4483059721.999507,0.3333333333333333,0.01904761904761905,-4487070347.782807,0.17619047619047618
21.97375,29.92125,-3941928.1032321407,-4496025801.862616,0.3333333333333333,0.01904761904761905,-4499967729.965848,0.17619047619047618
22.224999999999998,30.035,-3873230.4231637577,-4508991881.725723,0.3333333333333333,0.01904761904761905,-4512865112.148887,0.17619047619047618
22.47625,30.14875,-3804532.743095375,-4521957961.588832,0.3333333333333333,0.01904761904761905,-4525762494.331927,0.17619047619047618
22.7275,30.2625,-3735835.0630269945,-4534924041.45194,0.3333333333333333,0.01904761904761905,-4538659876.514967,0.17619047619047618
22.978749999999998,30.37625,-3667137.3829586115,-4547890121.315047,0.3333333333333333,0.01904761904761905,-4551557258.698006,0.17619047619047618
23.229999999999997,30.49,-3598439.7028902294,-4560856201.178156,0.3333333333333333,0.01904761904761905,-4564454640.881046,0.17619047619047618
23.48125,30.603749999999998,-3529742.022821847,-4573822281.041264,0.3333333333333333,0.01904761904761905,-4577352023.064085,0.17619047619047618
23.732499999999998,30.7175,-3461044.342753464,-4586788360.904372,0.358974358974359,0.01904761904761905,-4590249405.247126,0.189010989010989
23.98375,30.831249999999997,-3392346.6626850804,-4599754440.767479,0.358974358974359,0.01904761904761905,-4603146787.430164,0.189010989010989
24.235,30.945,-3323648.982616699,-4612720520.630588,0.358974358974359,0.01904761904761905,-4616044169.613204,0.189010989010989
24.48625,31.05875,-3254951.302548316,-4625686600.493695,0.358974358974359,0.01904761904761905,-4628941551.796244,0.189010989010989
24.737499999999997,31.1725,-3186253.622479934,-4638652680.356805,0.358974358974359,0.01904761904761905,-4641838933.979285,0.189010989010989
24.988749999999996,31.28625,-3117555.9424115517,-4651618760.219912,0.358974358974359,0.01904761904761905,-4654736316.162323,0.189010989010989
25.24,31.4,-3048858.2623431673,-4664584840.083019,0.358974358974359,0.01904761904761905,-4667633698.345363,0.189010989010989
