step,vtt_chf_per_hour_rail,vtt_chf_per_hour_road,mean_ratio_rail,mean_ratio_road
0,15.19,26.85,0.40295291837954045,0.793504367495814
1,15.44125,26.96375,0.4096179559531321,0.7968660480098788
2,15.692499999999999,27.0775,0.41628299352672393,0.800227728523944
3,15.94375,27.19125,0.42294803110031576,0.8035894090380094
4,16.195,27.305,0.4296130686739075,0.8069510895520744
5,16.44625,27.418750000000003,0.4362781062474994,0.8103127700661398
6,16.697499999999998,27.532500000000002,0.4429431438210912,0.8136744505802047
7,16.94875,27.646250000000002,0.44960818139468306,0.8170361310942699
8,17.2,27.76,0.45627321896827483,0.820397811608335
9,17.451249999999998,27.87375,0.46293825654186677,0.8237594921224001
10,17.7025,27.9875,0.4696032941154584,0.8271211726364651
11,17.95375,28.10125,0.4762683316890503,0.8304828531505303
12,18.205,28.215,0.48293336926264196,0.8338445336645957
13,18.456249999999997,28.32875,0.48959840683623373,0.8372062141786606
14,18.7075,28.4425,0.4962634444098256,0.8405678946927256
15,18.95875,28.55625,0.5029284819834174,0.8439295752067908
16,19.21,28.67,0.5095935195570093,0.8472912557208561
17,19.46125,28.78375,0.5162585571306011,0.8506529362349212
18,19.7125,28.8975,0.5229235947041929,0.8540146167489865
19,19.963749999999997,29.01125,0.5295886322777847,0.8573762972630515
20,20.215,29.125,0.5362536698513766,0.8607379777771165
21,20.46625,29.23875,0.5429187074249683,0.8640996582911816
22,20.7175,29.3525,0.5495837449985602,0.8674613388052468
23,20.96875,29.46625,0.5562487825721519,0.8708230193193117
24,21.22,29.58,0.5629138201457438,0.8741846998333771
25,21.471249999999998,29.69375,0.5695788577193355,0.8775463803474423
26,21.722499999999997,29.8075,0.5762438952929275,0.8809080608615072
27,21.97375,29.92125,0.5829089328665191,0.8842697413755723
28,22.224999999999998,30.035,0.5895739704401111,0.8876314218896376
29,22.47625,30.14875,0.5962390080137029,0.8909931024037028
30,22.7275,30.2625,0.6029040455872946,0.8943547829177679
31,22.978749999999998,30.37625,0.6095690831608863,0.897716463431833
32,23.229999999999997,30.49,0.6162341207344781,0.9010781439458981
33,23.48125,30.603749999999998,0.6228991583080699,0.9044398244599633
34,23.732499999999998,30.7175,0.6295641958816616,0.9078015049740283
35,23.98375,30.831249999999997,0.6362292334552536,0.9111631854880934
36,24.235,30.945,0.6428942710288453,0.9145248660021587
37,24.48625,31.05875,0.6495593086024373,0.9178865465162237
38,24.737499999999997,31.1725,0.656224346176029,0.9212482270302889
39,24.988749999999996,31.28625,0.6628893837496209,0.924609907544354
40,25.24,31.4,0.6695544213232125,0.9279715880584192
