vtt_chf_per_hour_rail,vtt_chf_per_hour_road,mean_net_benefit_developments_rail,mean_net_benefit_developments_road,share_positive_developments_rail,share_positive_developments_road,combined_mean_net_benefit_developments,combined_share_positive_developments
15.19,26.85,-3594046.547309783,-67070816.23291132,0.2608695652173913,0.2028985507246377,-70664862.7802211,0.2318840579710145
15.44125,26.96375,-3535891.990207724,-67251339.52956589,0.2608695652173913,0.2028985507246377,-70787231.5197736,0.2318840579710145
15.692499999999999,27.0775,-3477737.433105666,-67431862.82622042,0.2608695652173913,0.2028985507246377,-70909600.25932609,0.2318840579710145
15.94375,27.19125,-3419582.8760036067,-67612386.12287499,0.2608695652173913,0.2028985507246377,-71031968.9988786,0.2318840579710145
16.195,27.305,-3361428.3189015477,-67792909.41952956,0.2826086956521739,0.2028985507246377,-71154337.73843111,0.2427536231884058
16.44625,27.418750000000003,-3303273.761799489,-67973432.71618412,0.2826086956521739,0.2028985507246377,-71276706.47798361,0.2427536231884058
16.697499999999998,27.532500000000002,-3245119.2046974315,-68153956.01283866,0.2826086956521739,0.2028985507246377,-71399075.21753609,0.2427536231884058
16.94875,27.646250000000002,-3186964.6475953725,-68334479.30949323,0.2826086956521739,0.2028985507246377,-71521443.9570886,0.2427536231884058
17.2,27.76,-3128810.0904933135,-68515002.6061478,0.30434782608695654,0.2028985507246377,-71643812.6966411,0.2536231884057971
17.451249999999998,27.87375,-3070655.533391255,-68695525.90280238,0.30434782608695654,0.2028985507246377,-71766181.43619363,0.2536231884057971
17.7025,27.9875,-3012500.976289196,-68876049.19945692,0.30434782608695654,0.2028985507246377,-71888550.17574611,0.2536231884057971
17.95375,28.10125,-2954346.4191871374,-69056572.49611147,0.30434782608695654,0.2028985507246377,-72010918.91529861,0.2536231884057971
18.205,28.215,-2896191.8620850793,-69237095.79276603,0.30434782608695654,0.2028985507246377,-72133287.65485111,0.2536231884057971
18.456249999999997,28.32875,-2838037.304983021,-69417619.0894206,0.32608695652173914,0.2028985507246377,-72255656.39440362,0.2644927536231884
18.7075,28.4425,-2779882.7478809617,-69598142.38607514,0.32608695652173914,0.2028985507246377,-72378025.1339561,0.2644927536231884
18.95875,28.55625,-2721728.1907789037,-69778665.68272972,0.32608695652173914,0.2028985507246377,-72500393.87350863,0.2644927536231884
19.21,28.67,-2663573.6336768446,-69959188.97938427,0.32608695652173914,0.2028985507246377,-72622762.61306112,0.2644927536231884
19.46125,28.78375,-2605419.076574786,-70139712.27603883,0.32608695652173914,0.2028985507246377,-72745131.35261361,0.2644927536231884
19.7125,28.8975,-2547264.519472728,-70320235.5726934,0.32608695652173914,0.2028985507246377,-72867500.09216613,0.2644927536231884
19.963749999999997,29.01125,-2489109.9623706695,-70500758.86934794,0.32608695652173914,0.2028985507246377,-72989868.83171861,0.2644927536231884
20.215,29.125,-2430955.40526861,-70681282.16600251,0.34782608695652173,0.2028985507246377,-73112237.57127112,0.2753623188405797
20.46625,29.23875,-2372800.8481665514,-70861805.46265706,0.34782608695652173,0.2028985507246377,-73234606.31082362,0.2753623188405797
20.7175,29.3525,-2314646.291064493,-71042328.75931162,0.34782608695652173,0.2028985507246377,-73356975.0503761,0.2753623188405797
20.96875,29.46625,-2256491.733962435,-71222852.05596617,0.3695652173913043,0.2028985507246377,-73479343.7899286,0.286231884057971
21.22,29.58,-2198337.1768603763,-71403375.35262075,0.3695652173913043,0.2028985507246377,-73601712.52948113,0.286231884057971
21.471249999999998,29.69375,-2140182.6197583172,-71583898.6492753,0.391304347826087,0.2028985507246377,-73724081.26903363,0.2971014492753623
21.722499999999997,29.8075,-2082028.0626562594,-71764421.94592986,0.391304347826087,0.2028985507246377,-73846450.00858611,0.2971014492753623
21.97375,29.92125,-2023873.5055542002,-71944945.24258442,0.391304347826087,0.2028985507246377,-73968818.74813862,0.2971014492753623
22.224999999999998,30.035,-1965718.9484521418,-72125468.53923899,0.391304347826087,0.2028985507246377,-74091187.48769113,0.2971014492753623
22.47625,30.14875,-1907564.391350083,-72305991.83589354,0.391304347826087,0.2028985507246377,-74213556.22724363,0.2971014492753623
22.7275,30.2625,-1849409.8342480254,-72486515.1325481,0.391304347826087,0.2028985507246377,-74335924.96679612,0.2971014492753623
22.978749999999998,30.37625,-1791255.2771459667,-72667038.42920268,0.391304347826087,0.2028985507246377,-74458293.70634864,0.2971014492753623
23.229999999999997,30.49,-1733100.720043908,-72847561.72585721,0.391304347826087,0.2028985507246377,-74580662.44590113,0.2971014492753623
23.48125,30.603749999999998,-1674946.1629418493,-73028085.02251177,0.391304347826087,0.2028985507246377,-74703031.18545361,0.2971014492753623
23.732499999999998,30.7175,-1616791.6058397908,-73208608.31916633,0.391304347826087,0.2028985507246377,-74825399.92500612,0.2971014492753623
23.98375,30.831249999999997,-1558637.0487377315,-73389131.6158209,0.391304347826087,0.2028985507246377,-74947768.66455863,0.2971014492753623
24.235,30.945,-1500482.4916356737,-73569654.91247547,0.391304347826087,0.2028985507246377,-75070137.40411115,0.2971014492753623
24.48625,31.05875,-1442327.934533615,-73750178.20913002,0.391304347826087,0.2028985507246377,-75192506.14366363,0.2971014492753623
24.737499999999997,31.1725,-1384173.3774315563,-73930701.50578457,0.391304347826087,0.2028985507246377,-75314874.88321613,0.2971014492753623
24.988749999999996,31.28625,-1326018.8203294983,-74111224.80243915,0.391304347826087,0.2028985507246377,-75437243.62276866,0.2971014492753623
25.24,31.4,-1267864.263227439,-74291748.0990937,0.391304347826087,0.2028985507246377,-75559612.36232114,0.2971014492753623
