development,n_scenarios,mean_tts,median_tts,std_tts,min_tts,max_tts,pos,neg,mean_network,mean_access,pos_share,range_tts,cv_abs,mean_mmin,median_mmin,min_mmin,max_mmin,range_mmin
0,10,9375.168596685555,7892.0889453188865,4745.19612699798,3235.0016105333925,17309.90884580009,10,0,8911.706094650424,463.462502035153,1.0,14074.907235266699,0.5061451512109948,0.009375168596685555,0.007892088945318886,0.0032350016105333924,0.017309908845800092,0.0140749072352667
2,10,-10949.78990376782,-8927.629677538294,6443.3099105460415,-21727.43922678952,-2630.287247406144,0,10,-14834.709084501397,3884.919180733559,0.0,19097.151979383376,0.5884414191663075,-0.01094978990376782,-0.008927629677538294,-0.02172743922678952,-0.002630287247406144,0.019097151979383376
9,10,67552.49424269648,57964.19184962718,30588.797817848772,28051.520880426106,118738.16243664804,10,0,63007.62648698668,4544.867755709828,1.0,90686.64155622193,0.45281522408265357,0.06755249424269648,0.05796419184962718,0.028051520880426107,0.11873816243664805,0.09068664155622193
12,10,-292.81586173826946,-568.4568603485241,883.5958748267188,-1435.02212263603,1186.1981079505058,3,7,-443.77790895768555,150.9620472194394,0.3,2621.2202305865358,3.017582003861909,-0.0002928158617382695,-0.000568456860348524,-0.00143502212263603,0.0011861981079505058,0.0026212202305865356
15,10,6662.595252825267,5612.694322028838,3362.723550071701,2308.194836626819,12284.130519154947,10,0,6368.677977840387,293.9172749848523,1.0,9975.935682528128,0.5047167691367326,0.006662595252825267,0.005612694322028837,0.002308194836626819,0.012284130519154947,0.009975935682528128
17,10,1877.4784768835584,1093.9187054131762,2508.801105827007,-1360.9119314832496,6084.55284361972,8,2,-136.16217687441957,2013.6406537579965,0.8,7445.46477510297,1.3362609141551312,0.0018774784768835584,0.0010939187054131762,-0.0013609119314832497,0.00608455284361972,0.007445464775102969
25,10,-9308.055140599323,-7728.749840370496,5027.195062837381,-17728.4130449401,-2829.004165610124,0,10,-8875.932264243882,-432.122876355438,0.0,14899.408879329974,0.5400908124093571,-0.009308055140599323,-0.0077287498403704954,-0.0177284130449401,-0.0028290041656101237,0.014899408879329975
27,10,-8719.101904850086,-7264.398247905599,4630.1114788712475,-16474.61963128473,-2752.553834030696,0,10,-8251.22471836214,-467.87718648792253,0.0,13722.065797254036,0.5310307792475396,-0.008719101904850085,-0.0072643982479056,-0.016474619631284732,-0.002752553834030696,0.013722065797254036
28,10,3636.407634024095,2165.351905298652,4701.77422428611,-2436.018541252648,11509.627777539776,9,1,1497.8634467747004,2138.5441872494057,0.9,13945.646318792424,1.2929722675461077,0.003636407634024095,0.0021653519052986523,-0.002436018541252648,0.011509627777539775,0.013945646318792424
57,10,5265.6992681491365,4722.6609872792615,1745.0425172928344,3002.4791466000606,8182.777943176334,10,0,2929.2008127975687,2336.4984553515574,1.0,5180.298796576273,0.3313980591045426,0.005265699268149136,0.004722660987279262,0.003002479146600061,0.008182777943176334,0.0051802987965762735
62,10,1717.9374232844625,1422.0714444634505,957.1152201632415,470.399366105732,3314.8577701043105,10,0,1530.7026565460487,187.23476673842998,1.0,2844.4584039985784,0.5571304328031736,0.0017179374232844625,0.0014220714444634504,0.000470399366105732,0.0033148577701043107,0.0028444584039985783
63,10,-21962.206238404575,-19112.178836442472,9086.833341049693,-37160.5318602022,-10225.28803561913,0,10,-23602.54722133045,1640.340982925915,0.0,26935.24382458307,0.41374865723462023,-0.021962206238404575,-0.01911217883644247,-0.037160531860202205,-0.010225288035619132,0.02693524382458307
73,10,-9290.280641726073,-7941.191460778995,4298.636288103113,-16486.07860513276,-3744.1229454620634,0,10,-9545.094629298768,254.8139875726538,0.0,12741.955659670697,0.4627025225477424,-0.009290280641726073,-0.007941191460778995,-0.01648607860513276,-0.0037441229454620636,0.012741955659670698
90,10,361.7510119002254,281.9931506278226,262.46410055107833,16.507238030608278,798.2067773039453,10,0,-93.62403786903596,455.37504976924754,1.0,781.699539273337,0.7255379858438892,0.00036175101190022543,0.00028199315062782263,1.6507238030608278e-05,0.0007982067773039453,0.000781699539273337
94,10,271.59469042245183,215.04262124042725,192.9661214144057,12.09302063396899,589.8604916228214,10,0,289.81509406825063,-18.22040364579334,1.0,577.7674709888524,0.7104929817083561,0.00027159469042245185,0.00021504262124042724,1.209302063396899e-05,0.0005898604916228214,0.0005777674709888524
103,10,-11762.590958575776,-9708.965457778831,6545.2174996633585,-22711.25280643243,-3311.295320206438,0,10,-15439.69775950783,3677.106800932054,0.0,19399.95748622599,0.556443518499759,-0.011762590958575776,-0.009708965457778832,-0.02271125280643243,-0.0033112953202064383,0.01939995748622599
104,10,224.66484498146457,179.31875966326334,153.7513942040938,18.88781975989696,478.33757188078016,10,0,19.12441819308442,205.54042678838488,1.0,459.4497521208832,0.6843589357150145,0.00022466484498146456,0.00017931875966326334,1.888781975989696e-05,0.00047833757188078016,0.0004594497521208832
109,10,-38810.69327761345,-33472.82839631761,17022.662559906697,-67291.0318158624,-16828.55541355355,0,10,-40100.408313103166,1289.7150354897014,0.0,50462.47640230885,0.43860753628241955,-0.038810693277613446,-0.03347282839631761,-0.06729103181586239,-0.01682855541355355,0.05046247640230885
114,10,-1248.0375476952352,-1081.6061020759516,521.4734271586527,-2125.6155671224697,-583.707342727168,0,10,-2265.204753478989,1017.1672057837411,0.0,1541.9082243953017,0.4178347263042394,-0.001248037547695235,-0.0010816061020759516,-0.0021256155671224696,-0.000583707342727168,0.0015419082243953016
126,10,-23301.27511744203,-20295.962010233605,9582.296860621258,-39328.28512674954,-10924.656995956728,0,10,-24317.33789392835,1016.0627764862995,0.0,28403.628130792815,0.4112348707238123,-0.02330127511744203,-0.020295962010233606,-0.039328285126749546,-0.010924656995956728,0.028403628130792814
140,10,-463.2705132175994,-396.5476265293546,207.5785916925034,-811.1017817513784,-198.76175046764547,0,10,-592.5490081056487,129.27849488804858,0.0,612.340031283733,0.44807209992880165,-0.0004632705132175994,-0.0003965476265293546,-0.0008111017817513784,-0.00019876175046764548,0.0006123400312837329
143,10,-79.44873341907514,-80.79026202554815,16.895690089096316,-111.004728331347,-56.91897144122049,0,10,-87.7401259033999,8.291392484321113,0.0,54.085756890126504,0.2126615411220611,-7.944873341907514e-05,-8.079026202554814e-05,-0.000111004728331347,-5.6918971441220495e-05,5.4085756890126503e-05
144,10,-8173.420403582102,-6981.148321046261,3792.807243392677,-14527.333956999935,-3286.826427532709,0,10,-7064.810896593617,-1108.6095069884802,0.0,11240.507529467226,0.4640416198009871,-0.008173420403582102,-0.006981148321046261,-0.014527333956999936,-0.0032868264275327094,0.011240507529467226
150,10,-14622.906801388908,-12373.627031757555,7171.007453808792,-26622.374558278243,-5364.7242276835605,0,10,-16118.634026237181,1495.7272248483034,0.0,21257.650330594683,0.4903954836891717,-0.014622906801388908,-0.012373627031757555,-0.026622374558278244,-0.005364724227683561,0.021257650330594683
152,10,68848.38039991123,58983.24707678944,31472.324129996745,28206.429933702864,121512.62337790162,10,0,64711.608927394394,4136.7714725168225,1.0,93306.19344419875,0.45712511967873865,0.06884838039991123,0.05898324707678944,0.028206429933702863,0.12151262337790161,0.09330619344419876
176,10,6001.733154113643,4813.060599785706,3795.2564582743166,1099.0208371088956,12353.301982010247,10,0,5971.099607688445,30.63354642521772,1.0,11254.281144901352,0.632360080133355,0.006001733154113642,0.0048130605997857056,0.0010990208371088957,0.012353301982010248,0.011254281144901351
177,10,583.4050584626791,454.38577505294234,422.10783145241237,28.01500677567674,1285.302787671797,10,0,708.400824907847,-124.99576644520639,1.0,1257.2877808961202,0.7235244626858424,0.0005834050584626791,0.0004543857750529423,2.801500677567674e-05,0.001285302787671797,0.0012572877808961203
195,10,-15213.773769067659,-12965.467887050181,7167.9496610617825,-27208.47144283133,-5959.366379771149,0,10,-16741.19955817811,1527.4257891104521,0.0,21249.105063060182,0.4711486952458512,-0.015213773769067658,-0.012965467887050181,-0.027208471442831332,-0.005959366379771149,0.021249105063060183
197,10,-1652.2686672801967,-1429.9325385388802,706.9904185476582,-2834.9882622967707,-738.9816518875305,0,10,-2013.5125844177267,361.2439171375412,0.0,2096.0066104092402,0.4278907132648329,-0.0016522686672801967,-0.0014299325385388802,-0.0028349882622967708,-0.0007389816518875305,0.00209600661040924
201,10,-21941.313997527574,-19023.55421839014,9301.01130976624,-37498.2023584171,-9928.60724077851,0,10,-23747.633876302978,1806.3198787754015,0.0,27569.595117638586,0.4239040246547819,-0.021941313997527575,-0.01902355421839014,-0.037498202358417096,-0.00992860724077851,0.027569595117638585
