ID_edge,cases,devs,scenarios,mean_delta,max_delta,p95_delta,mean_vcr,max_vcr
178,751,78,10,0.5267345314610924,3.029608762358265,1.4609564417566574,3.314915933503189,4.583824578832591
129,730,75,10,0.4709274723991125,2.6551524164590177,1.2786071431653143,4.528498535798209,6.276796441216082
174,610,69,10,0.07902555259715177,0.3773440066077409,0.18699536279015083,1.5291921718103176,2.0799020934756927
68,601,69,10,0.07408205613821223,0.34919627052213364,0.17381491064925747,1.4465889410915083,1.9596507947094322
61,596,69,10,0.0699324636563666,0.3272740749937686,0.16333538226427224,1.4493854029924973,1.9613307353821363
175,583,69,10,0.062228643914898775,0.2858406855235458,0.14363878550626077,1.5390152559171786,2.0799020934756927
98,566,68,10,0.05379420762349884,0.2394849622317068,0.12128924631941129,2.2132184706096627,2.98423307506615
176,559,67,10,0.0541140916847354,0.24007636234037832,0.12145850816130187,1.5391884729975098,2.0799020934756927
32,550,65,10,0.04980796900068333,0.21808871615562087,0.11128636185160107,1.4183711763839268,1.9137534946242258
63,545,65,10,0.046438387537785696,0.20186869353583958,0.10349903445616251,1.454878143761873,1.9613307353821363
67,534,64,10,0.04457684279405183,0.19071561850974916,0.09825577440705427,1.4585778842509414,1.9613307353821363
130,524,62,10,0.04087953201569335,0.17239676175027174,0.08895366049245522,4.679052833757232,6.276796441216082
126,504,62,10,0.03773974179308059,0.15458465034722924,0.08027475289051125,1.901945962603083,2.528258887922056
92,488,62,10,0.0370210867205429,0.14790177456593412,0.07725556718109056,1.6002205783480337,2.114664845807194
34,478,62,10,0.03596206175530739,0.1417466963713947,0.07444254375148357,1.452064371312589,1.9137534946242258
60,463,59,10,0.03434108168998617,0.13230867866361962,0.07059406288172833,1.4895025886402764,1.9571362727316186
131,456,58,10,0.032309889150826304,0.12316357815492074,0.06635182038418863,1.4897371879637566,1.9562995321276289
94,456,58,10,0.032260768821967906,0.12258876550291165,0.06615850476119756,1.4964348555607427,1.96437233854215
128,455,57,10,0.03156792724719724,0.12015252063288884,0.06482118068035692,1.8009574838691773,2.36635326875837
66,454,57,10,0.031380902381870586,0.11926334357512358,0.06444417507886906,1.4920850015836817,1.9613307353821363
64,451,56,10,0.03095603774376485,0.11711848088006027,0.0635702614608804,1.4912848780504433,1.9596507947094322
65,448,55,10,0.030270150120555842,0.11401088207538423,0.06216100372532152,1.491646133320001,1.9613307353821363
29,445,55,10,0.02948866530261533,0.11057200161910297,0.0605551904683531,1.4564611670811525,1.9137534946242258
96,420,55,10,0.026650955838133265,0.09584353980462668,0.0544818691771582,1.50590618404335,1.9645790254885254
35,412,54,10,0.02615907530180705,0.09337958626530085,0.054162167749936194,1.4697518259885691,1.914302511306376
62,387,53,10,0.0237491465282784,0.08164771822749906,0.05207078571573435,1.5231842791108974,1.9613307353821363
30,384,53,10,0.023434000516242216,0.08020356780636018,0.05183083405406068,1.3644900337479287,1.7545186371344035
132,376,53,10,0.022954800722618296,0.07762738139753544,0.05130516297120824,1.5245115847930333,1.9529597121837492
95,370,53,10,0.022620876033865204,0.07553906893078643,0.050487783790766634,1.5380899723036818,1.9644846998011265
59,328,52,9,0.02140540658524928,0.06718506824463377,0.048948244960729796,1.5352828008728774,1.9137534946242258
97,328,52,9,0.02124959341186296,0.06638881581825995,0.04838811094606676,1.578436102200629,1.9646756293204204
127,274,52,9,0.02050299607476364,0.05859162531462414,0.044455306296662084,1.6275648755754255,1.9621454205580453
83,248,52,9,0.020321128015003877,0.055145320402056,0.04349481334358807,1.1839188702993027,1.4047791959826055
84,238,51,9,0.019926099891352883,0.05300255016486988,0.04213965398250604,1.2839952727911839,1.5166925681017238
33,233,50,9,0.019203066161768406,0.050575268617771174,0.04030614620388463,1.6229883735436443,1.9137534946242258
82,198,45,9,0.017731073502969347,0.04335041696659325,0.03486240024139322,1.309155402861181,1.520416043073321
86,140,14,10,0.21376016758040828,0.7832166608363407,0.539104724240984,1.4379897329380222,2.1374316697319324
91,131,14,10,0.0385707723528941,0.13287048264684476,0.0753777849645163,0.7749046993966876,1.0721254942746543
88,130,14,10,0.06861273089048031,0.24125549092721732,0.1322288196625838,0.917417825267906,1.3217571562582813
87,123,13,10,0.08053365967681406,0.3034392849941664,0.16237223446516333,1.692545650269368,2.4559918081317895
93,105,36,5,0.014141556127037899,0.027382716908394,0.024833062144854832,1.3890028079525247,1.4971545711145389
31,84,31,5,0.013791556556006754,0.02509604448902447,0.02289821800918821,1.5528357086180244,1.666345449980526
89,82,11,10,0.023885561779773343,0.08785949221684297,0.05516438167518118,0.7094072750622956,0.965937071865356
90,65,12,9,0.018840602441689263,0.045612087006540625,0.032682071096803336,0.8424821859932777,1.0283598278595194
81,19,7,3,0.012521937551671926,0.014919181469919274,0.014910585285609252,1.8413674943663232,1.915717943536558
124,16,3,9,0.02683499092963562,0.06248036343339569,0.05831006892198709,1.6871055949066576,2.057767082022224
