development,scenario,total_mmin,ID_edge,flow,sq_flow,vcr,sq_vcr,delay_min,sq_delay_min,delta_delay_min
612,scenario_78,-0.06729370103534556,178,4583.82457883259,4462.710982784518,4.583824578832591,4.462710982784518,48.67311004860795,45.64350128624969,3.029608762358265
109,scenario_78,-0.06729103181586239,178,4583.749034707052,4462.710982784518,4.5837490347070515,4.462710982784518,48.67118488325117,45.64350128624969,3.0276835970014844
759,scenario_78,-0.06631888851667486,178,4580.445438283938,4462.710982784518,4.580445438283937,4.462710982784518,48.587039522007906,45.64350128624969,2.9435382357582185
351,scenario_78,-0.04121657280707697,178,4575.563699939088,4462.710982784518,4.575563699939088,4.462710982784518,48.46285302259684,45.64350128624969,2.8193517363471514
612,scenario_19,-0.062194287831858035,178,4414.243530254165,4297.718772075383,4.414243530254165,4.297718772075383,44.46282139792583,41.697796695616574,2.7650247023092547
109,scenario_19,-0.0621938276386807,178,4414.170984062568,4297.718772075383,4.414170984062568,4.297718772075383,44.46106767252486,41.697796695616574,2.763270976908288
759,scenario_19,-0.06130184127195924,178,4410.99596075872,4297.718772075383,4.4109959607587195,4.297718772075383,44.384354455554615,41.697796695616574,2.68655775993804
612,scenario_78,-0.06729370103534556,129,4575.784605646524,4455.030657165999,6.276796441216082,6.111153164836762,42.708198660508394,40.053046244049376,2.6551524164590177
109,scenario_78,-0.06729103181586239,129,4575.708784306433,4455.030657165999,6.2766924338908545,6.111153164836762,42.706500247366485,40.053046244049376,2.6534540033171083
521,scenario_78,-0.06005521804013045,178,4568.445213668909,4462.710982784518,4.568445213668909,4.462710982784518,48.28209809537988,45.64350128624969,2.638596809130192
759,scenario_78,-0.06631888851667486,129,4572.368879415943,4455.030657165999,6.272110945700883,6.111153164836762,42.63172480131982,40.053046244049376,2.578678557270443
351,scenario_19,-0.03767497112435196,178,4406.171517767425,4297.718772075383,4.406171517767425,4.297718772075383,44.26793673584427,41.697796695616574,2.570140040227699
662,scenario_78,-0.056581092939046326,178,4562.079347197916,4462.710982784518,4.5620793471979155,4.462710982784518,48.120787558598636,45.64350128624969,2.477286272348948
