run,ID_edge,flow,capacity,flow_cap,fftt_min,link_tt_min,delay_min
15iter_status_quo,32,2832.03485626888,2391,1.184456234324082,2.9552116681401075,3.9917052992315876,1.03649363109148
2iter_status_quo,32,3282.8991969095787,2391,1.3730235035171805,2.9552116681401075,4.3479981555620855,1.392786487421978
5iter_status_quo,32,2918.5972317087617,2391,1.2206596535795742,2.9552116681401075,4.05603539507257,1.1008237269324623
8iter_status_quo,32,2839.423778628626,2391,1.1875465406225956,2.9552116681401075,3.99712088354142,1.0419092154013123
15iter_status_quo,61,2832.03485626888,2333,1.2139026387779168,4.1809155120424855,5.721122576607455,1.54020706456497
2iter_status_quo,61,3282.8991969095787,2333,1.4071578212214224,4.1809155120424855,6.250566036666529,2.069650524624044
5iter_status_quo,61,2918.5972317087617,2333,1.2510061001752086,4.1809155120424855,5.816715704347263,1.6358001923047771
8iter_status_quo,61,2839.423778628626,2333,1.2170697722368737,4.1809155120424855,5.729170017481712,1.5482545054392265
15iter_status_quo,63,2832.03485626888,2333,1.2139026387779168,2.5788659007463766,3.5288940626297185,0.9500281618833419
2iter_status_quo,63,3282.8991969095787,2333,1.4071578212214224,2.5788659007463766,3.855464566526963,1.2765986657805866
5iter_status_quo,63,2918.5972317087617,2333,1.2510061001752086,2.5788659007463766,3.5878576692282764,1.0089917684818999
8iter_status_quo,63,2839.423778628626,2333,1.2170697722368737,2.5788659007463766,3.533857872780657,0.9549919720342803
15iter_status_quo,67,2832.03485626888,2333,1.2139026387779168,2.4363857352018097,3.3339256425628974,0.8975399073610877
2iter_status_quo,67,3282.8991969095787,2333,1.4071578212214224,2.4363857352018097,3.642453401607148,1.2060676664053385
5iter_status_quo,67,2918.5972317087617,2333,1.2510061001752086,2.4363857352018097,3.38963155963722,0.9532458244354105
8iter_status_quo,67,2839.423778628626,2333,1.2170697722368737,2.4363857352018097,3.338615206390352,0.9022294711885421
15iter_status_quo,68,2832.03485626888,2335,1.2128628934770365,4.470154510530423,6.114094508366343,1.6439399978359202
2iter_status_quo,68,3282.8991969095787,2335,1.4059525468563505,4.470154510530423,6.6791959811540895,2.2090414706236663
5iter_status_quo,68,2918.5972317087617,2335,1.2499345746076067,4.470154510530423,6.216125832481905,1.7459713219514814
8iter_status_quo,68,2839.423778628626,2335,1.2160273141878486,4.470154510530423,6.122683944318026,1.6525294337876026
15iter_status_quo,92,3037.557208992383,2166,1.4023809829143044,1.577439211826327,2.3530157603465547,0.7755765485202277
2iter_status_quo,92,3287.120813642508,2166,1.5175996369540665,1.577439211826327,2.4856926884155817,0.9082534765892547
5iter_status_quo,92,3094.627896777081,2166,1.428729407560979,1.577439211826327,2.38243314767881,0.8049939358524829
8iter_status_quo,92,3052.1646660426286,2166,1.4091249612385173,1.577439211826327,2.36049311212255,0.7830539002962229
15iter_status_quo,98,3183.382487886169,1536,2.0725146405508914,1.115386036326201,2.3131201691328527,1.1977341328066518
2iter_status_quo,98,3290.0039126438187,1536,2.141929630627486,1.115386036326201,2.3946954904650615,1.2793094541388605
5iter_status_quo,98,3212.736943243661,1536,2.091625614090925,1.115386036326201,2.3353109902150684,1.2199249538888675
8iter_status_quo,98,3197.1696868749177,1536,2.0814906815591914,1.115386036326201,2.3235173856617948,1.2081313493355939
15iter_status_quo,129,2832.03485626888,729,3.884821476363347,2.079696393149929,9.926306606479258,7.846610213329329
2iter_status_quo,129,3282.8991969095787,729,4.503291079437008,2.079696393149929,12.623565018453453,10.543868625303524
5iter_status_quo,129,2918.5972317087617,729,4.003562732110784,2.079696393149929,10.413307367418582,8.333610974268653
8iter_status_quo,129,2839.423778628626,729,3.894957172330077,2.079696393149929,9.967304426323008,7.887608033173079
15iter_status_quo,174,2832.03485626888,2200,1.2872885710313091,4.187128648395264,5.92176378939244,1.7346351409971756
2iter_status_quo,174,3282.8991969095787,2200,1.492226907686172,4.187128648395264,6.518041557569671,2.3309129091744065
5iter_status_quo,174,2918.5972317087617,2200,1.3266351053221643,4.187128648395264,6.029424117948416,1.842295469553152
8iter_status_quo,174,2839.423778628626,2200,1.290647172103921,4.187128648395264,5.930827099162107,1.7436984507668427
15iter_status_quo,175,2832.03485626888,2200,1.2872885710313091,3.1717788073330624,4.485776881115357,1.3139980737822947
2iter_status_quo,175,3282.8991969095787,2200,1.492226907686172,3.1717788073330624,4.937461399839957,1.7656825925068942
5iter_status_quo,175,2918.5972317087617,2200,1.3266351053221643,3.1717788073330624,4.567330321952488,1.3955515146194255
8iter_status_quo,175,2839.423778628626,2200,1.290647172103921,3.1717788073330624,4.492642400726927,1.3208635933938648
15iter_status_quo,176,2832.03485626888,2200,1.2872885710313091,2.663963378124837,3.7675847086506877,1.1036213305258507
2iter_status_quo,176,3282.8991969095787,2200,1.492226907686172,2.663963378124837,4.146952593184864,1.4829892150600266
5iter_status_quo,176,2918.5972317087617,2200,1.3266351053221643,2.663963378124837,3.8360810928398688,1.1721177147150317
8iter_status_quo,176,2839.423778628626,2200,1.290647172103921,2.663963378124837,3.773351029043124,1.1093876509182867
15iter_status_quo,178,3187.6622808953925,1000,3.1876622808953927,5.039667856209742,17.84192454157632,12.802256685366576
2iter_status_quo,178,3290.1051644946706,1000,3.2901051644946704,5.039667856209742,18.67800692107685,13.638339064867107
5iter_status_quo,178,3217.551487685965,1000,3.217551487685965,5.039667856209742,18.083131560785645,13.043463704575903
8iter_status_quo,178,3202.17025449521,1000,3.20217025449521,5.039667856209742,17.95872328123223,12.919055425022488
