ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run,case,case_type
178,6719.55714161299,3265.5975681535383,0,scenario_44,1000.0,80.0,6719.55714161299,5.039667856209742,3.2655975681535385,18.47558297146391,13.435915115254168,2iter_xscen_xdev_test,dev0,development
129,3327.5142290398862,3258.128636477875,0,scenario_44,729.0,96.0,3327.5142290398862,2.079696393149929,4.469312258543038,12.465051348729922,10.385354955579993,2iter_xscen_xdev_test,dev0,development
174,6978.5477473254405,3258.128636477875,0,scenario_44,2200.0,100.0,6978.5477473254405,4.187128648395264,1.4809675620353977,6.482999243200115,2.2958705948048506,2iter_xscen_xdev_test,dev0,development
68,8865.80644588534,3258.128636477875,0,scenario_44,2335.0,119.0,8865.80644588534,4.470154510530423,1.395344169797805,6.645985849036197,2.175831338505774,2iter_xscen_xdev_test,dev0,development
61,8361.831024084971,3258.128636477875,0,scenario_44,2333.0,120.0,8361.831024084971,4.1809155120424855,1.3965403499690847,6.219451470337802,2.0385359582953164,2iter_xscen_xdev_test,dev0,development
175,5286.2980122217705,3258.128636477875,0,scenario_44,2200.0,100.0,5286.2980122217705,3.1717788073330624,1.4809675620353977,4.910916605206083,1.7391377978730205,2iter_xscen_xdev_test,dev0,development
176,4439.9389635413945,3258.128636477875,0,scenario_44,2200.0,100.0,4439.9389635413945,2.663963378124837,1.4809675620353977,4.124657734343827,1.4606943562189896,2iter_xscen_xdev_test,dev0,development
32,4235.803391000821,3258.128636477875,0,scenario_44,2391.0,86.0,4235.803391000821,2.9552116681401075,1.3626635869836365,4.327059380136453,1.3718477119963457,2iter_xscen_xdev_test,dev0,development
98,2007.6948653871616,3265.4377114012414,0,scenario_44,1536.0,108.0,2007.6948653871616,1.115386036326201,2.12593601002685,2.3756618114950445,1.2602757751688436,2iter_xscen_xdev_test,dev0,development
63,5114.75070314698,3258.128636477875,0,scenario_44,2333.0,119.0,5114.7507031469795,2.5788659007463766,1.3965403499690847,3.8362725273932985,1.257406626646922,2iter_xscen_xdev_test,dev0,development
178,6719.55714161299,3332.5731861476243,103,scenario_44,1000.0,80.0,6719.55714161299,5.039667856209742,3.3325731861476244,19.032361147017063,13.99269329080732,2iter_xscen_xdev_test,dev103,development
129,3327.5142290398862,3324.974273972344,103,scenario_44,729.0,96.0,3327.5142290398862,2.079696393149929,4.561007234529964,12.895566662578014,10.815870269428085,2iter_xscen_xdev_test,dev103,development
174,6978.5477473254405,3324.974273972344,103,scenario_44,2200.0,100.0,6978.5477473254405,4.187128648395264,1.5113519427147017,6.57817244179608,2.391043793400816,2iter_xscen_xdev_test,dev103,development
68,8865.80644588534,3324.974273972344,103,scenario_44,2335.0,119.0,8865.80644588534,4.470154510530423,1.4239718518082842,6.736182930944699,2.266028420414276,2iter_xscen_xdev_test,dev103,development
