ID_edge,length_m,flow,development,scenario,capacity,ffs,length_m_geom,fftt_min,flow_cap,link_tt_min,delay_min,run,case,case_type
0,37236.74375509389,0.0,0,scenario_44,2305.0,117.0,37236.74375509389,19.09576602825328,0.0,19.09576602825328,0.0,2iter_xscen_xdev_test,dev0,development
1,10819.895495329189,0.0,0,scenario_44,2351.0,107.0,10819.895495329189,6.0672311188761805,0.0,6.0672311188761805,0.0,2iter_xscen_xdev_test,dev0,development
2,2123.634621150368,0.0,0,scenario_44,2337.0,117.0,2123.6346211503674,1.0890433954617267,0.0,1.0890433954617267,0.0,2iter_xscen_xdev_test,dev0,development
3,779.8331461040191,0.0,0,scenario_44,1998.0,102.0,779.8331461040191,0.45872538006118774,0.0,0.45872538006118774,0.0,2iter_xscen_xdev_test,dev0,development
4,9409.23092441937,0.0,0,scenario_44,2333.0,120.0,9409.23092441937,4.704615462209684,0.0,4.704615462209684,0.0,2iter_xscen_xdev_test,dev0,development
5,9097.302692033603,0.0,0,scenario_44,2333.0,120.0,9097.302692033605,4.548651346016802,0.0,4.548651346016802,0.0,2iter_xscen_xdev_test,dev0,development
6,4378.276828732016,0.0,0,scenario_44,2333.0,120.0,4378.276828732016,2.189138414366008,0.0,2.189138414366008,0.0,2iter_xscen_xdev_test,dev0,development
7,3456.727321633321,0.0,0,scenario_44,2333.0,120.0,3456.7273216333215,1.7283636608166608,0.0,1.7283636608166608,0.0,2iter_xscen_xdev_test,dev0,development
8,3587.030410135984,0.0,0,scenario_44,2342.0,115.0,3587.030410135984,1.8714941270274699,0.0,1.8714941270274699,0.0,2iter_xscen_xdev_test,dev0,development
9,7103.441939135965,0.0,0,scenario_44,2190.0,116.0,7103.441939135965,3.6741941064496375,0.0,3.6741941064496375,0.0,2iter_xscen_xdev_test,dev0,development
10,4529.7780642419175,0.0,0,scenario_44,2333.0,120.0,4529.7780642419175,2.264889032120959,0.0,2.264889032120959,0.0,2iter_xscen_xdev_test,dev0,development
11,10161.999278378476,0.0,0,scenario_44,2333.0,120.0,10161.999278378475,5.080999639189237,0.0,5.080999639189237,0.0,2iter_xscen_xdev_test,dev0,development
12,8351.740437819251,0.0,0,scenario_44,2340.0,114.0,8351.740437819251,4.395652862010132,0.0,4.395652862010132,0.0,2iter_xscen_xdev_test,dev0,development
