development,scenario,tts_raw,net_benefit_raw,building_costs,externalities_raw,maintenance,maintenance_annual,maintenance_derived,construction_raw,construction_integrated,maintenance_raw,maintenance_integrated,tts_integrated,operation_raw,operation_integrated,cost_base_raw,cost_base_integrated,bcr_raw,bcr_integrated,net_benefit_integrated,mode,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,net_benefit_reported,bcr_reported,TotalConstructionCost,YearlyMaintenanceCost,uncoveredOperatingCost
233,scenario_19,16182756.17592175,-1102827720.9648364,138027096.7062853,887671985.7291533,93311394.70531952,1866227.8941063904,93311394.7053194,138027096.7062853,3970758.8010816793,1866227.8941063904,2203659.988163737,18025082.414387915,0.0,0.0,139893324.6003917,6174418.789245416,0.11567925933669919,2.9193164619452032,-875821322.1040108,Road,,,,,,,,,,
240,scenario_19,5135532.794702836,-588039748.0600111,180428309.50240535,281827797.3751602,130919173.97714832,2618383.4795429665,130919173.97714841,180428309.50240535,5190555.441773202,2618383.4795429665,3091812.594678128,5720187.640473916,0.0,0.0,183046692.98194832,8282368.03645133,0.028055862201287033,0.6906463966946332,-284389977.77113765,Road,,,,,,,,,,
243,scenario_19,-308732947.6795315,-1763843784.6267982,474497528.1196527,651408362.144277,329204946.68333685,6584098.933666738,329204946.683337,474497528.1196527,13650328.67337574,6584098.933666738,7774567.845681218,-343880657.00702536,0.0,0.0,481081627.05331945,21424896.51905696,-0.6417475337201225,-16.050516589480434,-1016713915.6703594,Road,,,,,,,,,,
245,scenario_19,-367807213.65900195,-1882663989.1917531,226783942.1590449,1115824584.543422,172248248.83028424,3444964.9766056845,172248248.83028436,226783942.1590449,6524112.69787304,3444964.9766056845,4067848.039109092,-409680234.1169966,0.0,0.0,230228907.13565058,10591960.736982133,-1.5975718176965954,-38.678413212634595,-1536096779.3974006,Road,,,,,,,,,,
249,scenario_19,-1084332015.1322756,-2235478814.2401285,238071104.51270106,730447703.211749,182627991.38340265,3652559.827668053,182627991.3834026,238071104.51270106,6848821.398733349,3652559.827668053,4312978.051622383,-1207777817.6253912,0.0,0.0,241723664.3403691,11161799.450355731,-4.485833102403398,-108.20637147237929,-1949387320.287496,Road,,,,,,,,,,
250,scenario_19,-14746921.773794722,-2923838377.889201,1561329695.3764071,385747424.9665401,962014335.7724594,19240286.715449188,962014335.7724593,1561329695.3764071,44916279.31940507,19240286.715449188,22719117.0647118,-16425785.412665715,0.0,0.0,1580569982.0918562,67635396.38411687,-0.00933012896668924,-0.2428578272740493,-469808606.7633227,Road,,,,,,,,,,
254,scenario_19,4318077144.925266,1754640780.1762218,1323823495.5568194,395701901.59197915,843910967.6002458,16878219.352004915,843910967.600246,1323823495.5568194,38083709.07957804,16878219.352004915,19929965.02459509,4809668733.980631,0.0,0.0,1340701714.9088244,58013674.10417313,3.220759022612961,82.90577709910384,4355953158.284479,Road,,,,,,,,,,
255,scenario_19,-45603360.58450962,-580213338.4929081,141104681.34951812,297503490.4712225,96001806.08765785,1920036.1217531571,96001806.08765787,141104681.34951812,4059294.6509242277,1920036.1217531571,2267197.264974168,-50795076.18930154,0.0,0.0,143024717.47127128,6326491.915898396,-0.31884950651043764,-8.028948248816086,-354625058.57642245,Road,,,,,,,,,,
261,scenario_19,-372319130.7560085,-792511997.2263155,128951399.92581557,206006767.6891796,85234698.85531175,1704693.977106235,85234698.85531181,128951399.92581557,3709669.466255746,1704693.977106235,2012919.1730956757,-414705810.5167348,0.0,0.0,130656093.9029218,5722588.639351422,-2.849611676227239,-72.46821965587519,-626435166.8452659,Road,,,,,,,,,,
267,scenario_19,28591581.54836472,-673407241.8464136,143075132.13023564,461074560.99920475,97849130.26533791,1956982.6053067583,97849130.26533794,143075132.13023564,4115980.5116453427,1956982.6053067583,2310824.030905349,31846590.78864311,0.0,0.0,145032114.7355424,6426804.542550692,0.19713965834739294,4.955276075037397,-435654774.7531123,Road,,,,,,,,,,
