mode,development,scenario_count,median_tts_minutes,mean_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,median_bcr_integrated,iqr_tts_minutes,abs_median_tts_minutes,relative_iqr_tts,relative_std_tts
Rail,100001,3,1750.498271306387,1761.2209127002595,148.08175214331723,1618.791929117826,1914.3725376765651,1684.6451002121066,1832.4354044914762,6.971193040087197,147.7903042793696,1750.498271306387,0.08442756368395297,0.08459405791518128
Rail,101001,3,1611.3672554454024,1624.0249237094104,141.63444088398194,1489.144153281006,1771.5633624018228,1550.2557043632041,1691.4653089236126,0.7476555944787339,141.20960456040848,1611.3672554454024,0.08763340826444704,0.08789705785899961
Rail,101023,3,1435.8148723264385,1446.6932491547366,125.52571429626053,1326.9607529202694,1577.3041222175016,1381.387812623354,1506.55949727197,0.4391831988863542,125.17168464861606,1435.8148723264385,0.08717815023450862,0.08742472077397576
Rail,101007,3,1354.2222917040272,1364.636691399428,116.82089000162706,1253.3716819008189,1486.316100593438,1303.796986802423,1420.2691961487326,1.2071291145102527,116.47220934630968,1354.2222917040272,0.08600671400834195,0.08626419068514264
Rail,101012,3,1342.899766898132,1353.1295576923221,117.00734588420497,1241.572980457517,1474.9159257213178,1292.2363736778243,1408.9078463097248,1.3187997933132982,116.67147263190054,1342.899766898132,0.08688025384157422,0.08713036428211754
Rail,101027,3,1204.8231155872782,1205.368542139433,140.09944784436252,1065.5426038563237,1345.739906974697,1135.182859721801,1275.2815112809876,0.6680853198240669,140.0986515591867,1204.8231155872782,0.11628151032850752,0.11628217124309782
Rail,101011,3,1174.2939117908245,1174.7125170793781,137.25657596190345,1037.6657225111994,1312.1779169361107,1105.979817151012,1243.2359143634676,0.9092106855001468,137.25609721245564,1174.2939117908245,0.11688393836866362,0.11688434605999455
Rail,101031,3,1021.4113662163508,1029.2406236529398,88.09323169948452,945.3233417848604,1120.9871629576082,983.3673540006056,1071.1992645869796,0.5307339447635683,87.83191058637397,1021.4113662163508,0.08599073154211385,0.0862465747035999
Rail,101016,3,989.7464298546256,996.4319360296067,85.03867563225153,914.9333409507964,1084.6160372833983,952.3398854027109,1037.181233569012,1.9144928183593415,84.84134816630103,989.7464298546256,0.0857202871434076,0.08591965888145921
Rail,101026,3,828.6572928846144,835.08371274474,71.59954230331235,766.9140094260438,909.6798359235618,797.7856511553291,869.1685644040881,0.3996384149590926,71.382913248759,828.6572928846144,0.08614286492341128,0.08640428669138878
Rail,101010,3,816.0894893109726,822.4337044682665,70.49278078399168,755.3274701257469,895.8841539680798,785.7084797183597,855.9868216395262,0.9833517519126751,70.27834192116643,816.0894893109726,0.0861159748307783,0.08637873873796488
Rail,101008,3,742.4964924692977,748.0593279964305,64.8322771505218,686.1877078870893,815.4937836329045,714.3421001781935,778.9951380511011,0.7181830894990913,64.65303787290759,742.4964924692977,0.08707520982071307,0.08731661066156839
Rail,101024,3,720.6054685235067,726.0365601010053,63.42078172707352,665.5059756675764,791.9982361119328,693.0557220955416,756.3018523177197,0.21906497756658383,63.24613022217818,720.6054685235067,0.08776804088340753,0.08801040860405944
Rail,101000,3,717.709638565786,723.1484278831267,62.40506408095493,663.640764913951,788.0948801696431,690.6752017398685,752.9022593677146,0.4123895782120901,62.22705762784608,717.709638565786,0.08670227385018221,0.08695029400142969
Rail,101002,3,697.6231371204121,702.2822836770016,59.79128463801798,644.9568740646137,764.2668398459791,671.2900055925129,730.9449884831956,0.33537131525472746,59.65498289068273,697.6231371204121,0.08551176088700464,0.0857071410859726
Rail,101029,3,677.8665662725834,682.665846986912,59.51375242338064,625.6970453400936,744.4339293480589,651.7818058063385,711.1502478103212,0.24318066748827374,59.368442003982636,677.8665662725834,0.08758131018385323,0.0877956745243119
Rail,101030,3,670.9048692544311,676.1694813022987,59.0103142848252,619.9678677986085,737.6357068538564,645.4363685265198,704.2702880541437,0.22043828145704222,58.83391952762395,670.9048692544311,0.0876933857895612,0.08795630645877214
Rail,101003,3,667.9363156636537,673.0737804591627,57.634609133472004,618.17989012201,733.1051355918244,643.0581028928318,700.520725627739,0.33392861500274196,57.4626227349072,667.9363156636537,0.08603009207219556,0.08628758128865464
Rail,100005,3,663.775447988548,668.8863966889209,57.265877046760316,614.3473062673947,728.53643581082,639.0613771279714,696.155941899684,1.3154770711697292,57.09456477171261,663.775447988548,0.08601487889425169,0.08627296658876771
Rail,100002,3,648.6276960591276,653.6960727863794,56.05950928799751,600.3428542534239,712.1176680465869,624.4852751562757,680.3726820528573,1.4206631891451251,55.887406896581524,648.6276960591276,0.08616253551326451,0.08642786860412946
Rail,101014,3,597.4932494580789,601.8739250137102,51.565891129961535,552.6381177942167,655.490407788835,575.0656836261478,626.491828623457,0.5989897251824561,51.426144997309166,597.4932494580789,0.086069834335287,0.08630372171858233
