mode,scenario,mean_nb_integrated,median_nb_integrated,std_nb_integrated,positive_share
Rail,scenario_19,-6520042.574852888,-6653756.937236935,6500863.952914809,0.1794871794871795
Rail,scenario_29,-5803264.769230386,-5884678.770257019,6763021.576553577,0.23076923076923078
Rail,scenario_30,-6200003.057321587,-6319632.266844246,6615918.291822182,0.1794871794871795
Road,scenario_19,-820709117.1545728,-872693181.583089,1010379924.0821109,0.08695652173913043
Road,scenario_29,-702706901.4792963,-728988291.6127635,415391571.766493,0.021739130434782608
Road,scenario_30,-730200339.1006151,-784281010.0150762,533025929.22678626,0.043478260869565216
