maxiter,available_cases,scenario_count,development_count,mean_TT_h,std_TT_h,CV,mean_flow_129,mean_flow_178,mean_TTS_min,runtime_solver_sum_h,solver_case_count,mean_constraint_violation,note
2,20,5.0,4.0,1.2718535353558402,0.3751640821121535,0.2949742809868353,3565.352785551244,3572.7908066874465,13702.404554578718,4.211111111111111,25.0,0.014751999999999998,
3,0,,,,,,,,,,,,no saved output found
5,20,5.0,4.0,0.9691373835615631,0.20638623013309498,0.21295869257940414,3000.7854657004204,3466.647042233662,24240.257046824277,8.330555555555556,25.0,0.25364799999999993,
8,20,5.0,4.0,0.8564151735923412,0.13604419456156458,0.15885308756372227,2747.078433326749,3371.5114265067605,10965.3745248671,20.03611111111111,25.0,0.07218,
10,0,,,,,,,,,,,,no saved output found
