development_int,scenario_norm,weighted_tt_h,tts_min,flow_129,flow_178,maxiter
28,scenario_19,1.555147042740634,10073.11460826709,4263.2745409963245,4271.261980509967,2
28,scenario_26,0.6813300846366152,-2436.018541252648,1932.067851465305,1938.5514593518017,2
28,scenario_44,1.068219466324186,3113.730322273681,3262.2960756391453,3269.848993242304,2
28,scenario_64,1.4291848546247907,8322.95499208488,4037.870355045671,4045.777291551404,2
28,scenario_78,1.6520726638269472,11509.627777539776,4427.077501859828,4435.117530403577,2
109,scenario_19,1.6623836437183668,-62193.8276386807,4406.185049334274,4414.170984062568,2
109,scenario_26,0.6961736170452315,-16828.55541355355,1996.7608467156424,2003.226824381704,2
109,scenario_44,1.124011381999769,-36919.576176605886,3371.714022874459,3379.252793978973,2
109,scenario_64,1.5233467521680366,-55721.75393143785,4173.506571080048,4181.409171503902,2
109,scenario_78,1.769784470058456,-67291.0318158624,4575.708784306433,4583.749034707052,2
254,scenario_19,1.4093621114951582,127147.07628585875,4000.9732176572825,4008.5260842744856,2
254,scenario_26,0.649150882374062,32011.51096652268,1813.3041615021727,1819.3982301474311,2
254,scenario_44,0.9857311547673288,74152.29315200087,3061.5582040812146,3068.671384458522,2
254,scenario_64,1.2996432356552106,113594.2271956628,3789.1784435533095,3796.649032099623,2
254,scenario_78,1.4935617260750622,137852.73920042522,4154.48032710749,4162.086519726327,2
267,scenario_19,1.5735871081062802,-532.5033329975558,4291.395591300989,4299.200420604735,2
267,scenario_26,0.6742113313413819,-309.0967018411029,1944.7280430654096,1951.005297053912,2
267,scenario_44,1.0724560387468782,-404.003267005668,3283.8353230637285,3291.1911610773845,2
267,scenario_64,1.4441585694348786,-515.636995300767,4064.6942018337313,4072.415428068401,2
267,scenario_78,1.6735545719775335,-577.1795945232734,4456.446598542416,4464.306512544864,2
