kind,development_int,scenario_norm,nit,constraint_violation,solver_time_s
status_quo,,scenario_26,2,0.0151,120.0
status_quo,,scenario_44,2,0.015,140.0
status_quo,,scenario_19,2,0.0148,120.0
status_quo,,scenario_64,2,0.0148,110.0
status_quo,,scenario_78,2,0.0147,120.0
development,28.0,scenario_19,2,0.0145,960.0
development,109.0,scenario_44,2,0.0148,1000.0
development,109.0,scenario_26,2,0.015,1100.0
development,28.0,scenario_78,2,0.0145,1000.0
development,267.0,scenario_19,2,0.0145,260.0
development,254.0,scenario_44,2,0.015,500.0
development,28.0,scenario_64,2,0.0146,940.0
development,267.0,scenario_78,2,0.0145,240.0
development,254.0,scenario_19,2,0.0147,400.0
development,28.0,scenario_26,2,0.0149,870.0
development,254.0,scenario_78,2,0.0147,590.0
development,109.0,scenario_64,2,0.0146,910.0
development,254.0,scenario_64,2,0.0148,600.0
development,267.0,scenario_64,2,0.0146,450.0
development,109.0,scenario_19,2,0.0146,940.0
development,109.0,scenario_78,2,0.0145,820.0
development,267.0,scenario_26,2,0.0149,580.0
development,254.0,scenario_26,2,0.0151,910.0
development,28.0,scenario_44,2,0.0148,910.0
development,267.0,scenario_44,2,0.0148,570.0
