development,scenario,rank_type,rank_value,ID_edge,length_m,flow,capacity,flow_capacity_ratio,fftt_min,tt_min,delay_min
0,scenario_19,flow_capacity_ratio,8.00751810107681,129,3327.5142290398862,5837.480695684995,729.0,8.00751810107681,2.079696393149929,78.6984313360404,76.61873494289047
0,scenario_19,flow_capacity_ratio,8.00751810107681,130,225.05482885543543,5837.480695684995,729.0,8.00751810107681,0.13503289731326126,5.109821429857226,4.974788532543966
0,scenario_19,flow_capacity_ratio,5.904101665356242,178,6719.55714161299,5904.101665356242,1000.0,5.904101665356242,5.039667856209742,94.39307324447856,89.35340538826881
0,scenario_19,flow_capacity_ratio,3.842896215215903,98,2007.6948653871616,5902.688586571627,1536.0,3.842896215215903,1.115386036326201,8.171181543407071,7.05579550708087
0,scenario_19,flow_capacity_ratio,3.236917255839451,126,1897.1851262924465,5862.057150325246,1811.0,3.236917255839451,1.073878373373083,5.573862064009533,4.49998369063645
0,scenario_19,flow_capacity_ratio,3.0217057762762147,128,1875.2605068342427,5843.978971318199,1934.0,3.0217057762762147,0.9783967861743875,4.454240538337387,3.4758437521629992
0,scenario_19,flow_capacity_ratio,2.712837621367009,92,2550.193392452562,5876.006287880941,2166.0,2.712837621367009,1.577439211826327,5.903670759068437,4.32623154724211
0,scenario_19,flow_capacity_ratio,2.6534003162204525,174,6978.5477473254405,5837.480695684995,2200.0,2.6534003162204525,4.187128648395264,15.076002765506914,10.88887411711165
0,scenario_19,flow_capacity_ratio,2.6534003162204525,175,5286.2980122217705,5837.480695684995,2200.0,2.6534003162204525,3.1717788073330624,11.420175993220518,8.248397185887455
0,scenario_19,flow_capacity_ratio,2.6534003162204525,176,4439.9389635413945,5837.480695684995,2200.0,2.6534003162204525,2.663963378124837,9.591756697327993,6.927793319203156
0,scenario_19,delay_min,89.35340538826881,178,6719.55714161299,5904.101665356242,1000.0,5.904101665356242,5.039667856209742,94.39307324447856,89.35340538826881
0,scenario_19,delay_min,76.61873494289047,129,3327.5142290398862,5837.480695684995,729.0,8.00751810107681,2.079696393149929,78.6984313360404,76.61873494289047
0,scenario_19,delay_min,10.88887411711165,174,6978.5477473254405,5837.480695684995,2200.0,2.6534003162204525,4.187128648395264,15.076002765506914,10.88887411711165
0,scenario_19,delay_min,10.076625480454489,68,8865.80644588534,5837.480695684995,2335.0,2.499991732627407,4.470154510530423,14.546779990984913,10.076625480454489
