ID_edge,flow,capacity,ffs,length_m,fftt_min,scenario,case,development,flow_cap,link_tt_min,delay_min
178,4583.749034707052,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_78,dev109_scenario_78,109,4.5837490347070515,31.51147477684563,26.47180692063589
178,4464.306512544864,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_78,dev267_scenario_78,267,4.464306512544864,30.14985407088227,25.110186214672527
178,4462.710982784518,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_78,status_quo_scenario_78,status_quo,4.462710982784518,30.13190866776301,25.092240811553268
178,4435.117530403577,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_78,dev28_scenario_78,28,4.435117530403577,29.822571577609665,24.782903721399922
178,4414.170984062568,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_19,dev109_scenario_19,109,4.414170984062568,29.589030809060564,24.54936295285082
178,4299.200420604735,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_19,dev267_scenario_19,267,4.299200420604735,28.32686965569834,23.287201799488596
178,4297.718772075383,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_19,status_quo_scenario_19,status_quo,4.297718772075383,28.3108213214028,23.271153465193056
178,4271.261980509967,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_19,dev28_scenario_19,28,4.2712619805099665,28.025188396793606,22.985520540583863
178,4181.409171503902,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_64,dev109_scenario_64,109,4.181409171503902,27.06828619155177,22.028618335342028
178,4162.086519726327,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_78,dev254_scenario_78,254,4.162086519726327,26.86516431654935,21.825496460339608
178,4072.415428068401,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_64,dev267_scenario_64,267,4.0724154280684015,25.934845688588798,20.895177832379055
178,4070.969540360378,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_64,status_quo_scenario_64,status_quo,4.070969540360378,25.920010896802218,20.880343040592475
178,4045.777291551404,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_64,dev28_scenario_64,28,4.045777291551404,25.66238420272521,20.622716346515467
129,4575.708784306433,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_78,dev109_scenario_78,109,6.2766924338908545,22.56307741643235,20.48338102328242
178,4008.5260842744856,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_19,dev254_scenario_19,254,4.008526084274486,25.284368135309858,20.244700279100115
129,4456.446598542416,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_78,dev267_scenario_78,267,6.113095471251599,21.509226796123727,19.429530402973796
129,4455.030657165999,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_78,status_quo_scenario_78,status_quo,6.111153164836762,21.49688211527397,19.41718572212404
129,4427.077501859828,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_78,dev28_scenario_78,28,6.072808644526513,21.253979726705843,19.174283333555913
129,4406.185049334274,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_19,dev109_scenario_19,109,6.044149587564161,21.073430574364135,18.993734181214208
178,3796.649032099623,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_64,dev254_scenario_64,254,3.7966490320996233,23.20079621080873,18.161128354598986
129,4291.395591300989,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_19,dev267_scenario_19,267,5.886688053910821,20.096676210710275,18.016979817560347
129,4290.090382360721,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_19,status_quo_scenario_19,status_quo,5.884897643841867,20.08571830832053,18.0060219151706
129,4263.2745409963245,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_19,dev28_scenario_19,28,5.848113224960665,19.86132323389284,17.78162684074291
129,4173.506571080048,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_64,dev109_scenario_64,109,5.724974720274415,19.120383173899686,17.04068678074976
129,4154.48032710749,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_78,dev254_scenario_78,254,5.698875620174883,18.96536665311341,16.885670259963483
129,4064.6942018337313,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_64,dev267_scenario_64,267,5.575712211020208,18.243391380963025,16.163694987813095
129,4063.4200199596817,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_64,status_quo_scenario_64,status_quo,5.573964362084611,18.233259125959947,16.153562732810016
129,4037.870355045671,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_64,dev28_scenario_64,28,5.538916810762237,18.030759466016484,15.951063072866555
129,4000.9732176572825,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_19,dev254_scenario_19,254,5.48830345357652,17.74057701686993,15.660880623720002
178,3385.967971226219,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_75,dev109_scenario_75,109,3.385967971226219,19.48433753614732,14.444669679937576
178,3379.252793978973,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_44,dev109_scenario_44,109,3.379252793978973,19.427099941182473,14.38743208497273
129,3789.1784435533095,729.0,96.0,3327.5142290398862,2.079696393149929,scenario_64,dev254_scenario_64,254,5.197775642734307,16.12641901507123,14.046722621921303
178,3297.7232642650765,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_75,dev267_scenario_75,267,3.2977232642650764,18.741238038916986,13.701570182707243
178,3296.629404741017,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_75,status_quo_scenario_75,status_quo,3.296629404741017,18.73214988558509,13.692482029375348
178,3291.1911610773845,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_44,dev267_scenario_44,267,3.2911911610773847,18.68701188189935,13.647344025689605
178,3290.1051644946706,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_44,status_quo_scenario_44,status_quo,3.2901051644946704,18.67800692107685,13.638339064867107
178,3276.318922015887,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_75,dev28_scenario_75,28,3.276318922015887,18.56395128152447,13.524283425314728
178,3269.848993242304,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_44,dev28_scenario_44,28,3.269848993242304,18.510589715774838,13.470921859565095
178,3074.7174141017977,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_75,dev254_scenario_75,254,3.0747174141017974,16.95078068622173,11.911112830011987
178,3068.671384458522,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_44,dev254_scenario_44,254,3.068671384458522,16.90398345084444,11.864315594634697
178,3005.0335409171985,1000.0,80.0,6719.55714161299,5.039667856209742,scenario_96,dev109_scenario_96,109,3.0050335409171987,16.41700351615585,11.377335659946109
