development,scenario_count,mean_tts_min,median_tts_min,std_tts_min,min_tts_min,max_tts_min,positive_scenario_count,mean_origin_access_savings_min,mean_network_savings_min,mean_destination_access_savings_min,positive_share,cv_abs
254,10,4687049.211574536,4015502.8026198284,2142120.4698103676,1920690.6579913609,8271164.352025513,10,153177.88002380013,4380693.451526937,153177.88002380013,1.0,0.45702965194401235
28,10,218184.45804144567,129921.11431791913,282106.45345716656,-146161.11247515888,690577.6666523865,9,64156.32561748214,89871.80680648203,64156.32561748219,0.9,1.2929722675461075
267,10,-25130.57650819095,-23348.881651946576,5423.492833018601,-34630.775671396405,-18545.802110466175,0,5254.1189561608335,-35638.81442051218,5254.118956160964,0.0,0.21581251155344136
109,10,-2328641.596656807,-2008369.7037790564,1021359.7535944018,-4037461.908951744,-1009713.324813213,0,38691.45106469098,-2406024.4987861896,38691.45106469111,0.0,0.43860753628241944
