scenario,development,common_od_rows,dev_od_rows_total,mean_tts_min_unweighted_common_od,median_tts_min_unweighted_common_od,weighted_mean_tts_min_common_od_dev_demand,weighted_mean_tts_min_common_od_sq_demand
scenario_100,28,930.0,992.0,0.4030801815728301,0.39399359935391676,0.37834970864212697,0.440154055876469
scenario_100,109,930.0,992.0,-1.6495489003606314,-1.8123120444767915,-1.5357963416709215,-1.542314178826349
scenario_100,254,930.0,930.0,3.8007882687806887,4.19972589116594,3.6301173720514837,3.664133682002512
scenario_100,267,930.0,992.0,-0.03977257924856172,-0.024159037058240074,0.003003602138350663,0.0049780098397070325
scenario_19,28,930.0,992.0,1.0557244920602595,1.0721876845005363,1.0061612401305133,1.1578204238122092
scenario_19,109,930.0,992.0,-4.421330473299351,-4.857242782948323,-4.1214549043565665,-4.139616878417268
scenario_19,254,930.0,930.0,10.245491164270335,11.28003651009533,9.733603865343687,9.823282140483553
scenario_19,267,930.0,992.0,-0.07242808888954368,-0.06121351783542561,0.0031580220922455345,0.006590167269619131
scenario_26,28,930.0,992.0,0.1784164924692087,0.15332819711981083,0.15476683995334115,0.18503941593829973
scenario_26,109,930.0,992.0,-0.6703551084346852,-0.7299178180393429,-0.6162041860708901,-0.6185529966399886
scenario_26,254,930.0,930.0,1.525940362247608,1.6828535242699993,1.4584541756872091,1.4726529605565861
scenario_26,267,930.0,992.0,-0.029099055351993683,-0.012745563369720436,0.002218726215320891,0.003669011833469638
scenario_44,28,930.0,992.0,0.5738061283848064,0.5608415746205431,0.532673523250259,0.6164811647682573
scenario_44,109,930.0,992.0,-2.3136111700981656,-2.5566989330420276,-2.1683252649271023,-2.1777099481733693
scenario_44,254,930.0,930.0,5.373362432478792,5.932697988002422,5.1237127660897634,5.1713983073309935
scenario_44,267,930.0,992.0,-0.036140563364537075,-0.03288136147558518,0.003096346787739692,0.005428478416537578
scenario_64,28,930.0,992.0,0.930041352274287,0.9452247207307996,0.8883818938605509,1.0231851315750653
scenario_64,109,930.0,992.0,-3.887332822922269,-4.269405120842855,-3.6211522370076716,-3.63713338231798
scenario_64,254,930.0,930.0,8.998443430552642,9.914823250335122,8.554112961594619,8.633363520199184
scenario_64,267,930.0,992.0,-0.07057805945708889,-0.05575720739587897,0.0014466912842018358,0.004572867522248842
scenario_70,28,930.0,992.0,0.3508906248474053,0.3409769800604212,0.32885416352667657,0.3836063786017829
scenario_70,109,930.0,992.0,-1.435940515263928,-1.5757777100646275,-1.3350343844665487,-1.3406329632498095
scenario_70,254,930.0,930.0,3.300890358810964,3.650031794910076,3.1558052929128535,3.1854320554124556
scenario_70,267,930.0,992.0,-0.03825829328249377,-0.02122149926937711,0.0032654931756057456,0.005129485794297652
scenario_75,28,930.0,992.0,0.5765677113389098,0.5638228856168714,0.5355119021318199,0.6197287937372759
scenario_75,109,930.0,992.0,-2.325213971429906,-2.5693124304138903,-2.1789684036611283,-2.188405025582557
scenario_75,254,930.0,930.0,5.399999974261277,5.962057915986789,5.148885267416517,5.196821063491352
scenario_75,267,930.0,992.0,-0.03653079634756313,-0.033183262543290404,0.002958036229289183,0.00529403942569401
scenario_78,28,930.0,992.0,1.1618590754030012,1.1794623213625566,1.1052267331013388,1.2710909867104223
scenario_78,109,930.0,992.0,-4.84399890483155,-5.321567509622875,-4.515211715654773,-4.535210965522219
scenario_78,254,930.0,930.0,11.234218324444285,12.362348845217257,10.664292715656925,10.762762272276358
scenario_78,267,930.0,992.0,-0.07718631642498937,-0.0688642273190343,0.0012243479112554482,0.004843665904535624
scenario_89,28,930.0,992.0,0.373556689458296,0.36396739526258326,0.3501443259363168,0.4079286758597482
scenario_89,109,930.0,992.0,-1.5237376185568938,-1.6731327208422153,-1.4173751554486522,-1.423368499672686
scenario_89,254,930.0,930.0,3.5070955812031546,3.876286256586474,3.350786463184712,3.3823005643033315
scenario_89,267,930.0,992.0,-0.03929654448697572,-0.02277440668275732,0.0026865943914695647,0.004587490728675074
scenario_96,28,930.0,992.0,0.4298326553240802,0.42133284181301134,0.4037235099231665,0.46915577145194903
scenario_96,109,930.0,992.0,-1.7560773846053397,-1.9299242622099144,-1.6356463575198483,-1.6426354182035672
scenario_96,254,930.0,930.0,4.050307113050342,4.474548997151886,3.8663153920849065,3.9025839040863004
scenario_96,267,930.0,992.0,-0.040668967728433016,-0.02610142422858619,0.002536639379343297,0.004559307565825948
