ID_edge,max_delay_min,mean_delay_min,max_flow_cap,mean_flow,case_count
178,26.47180692063589,13.863763376310262,4.5837490347070515,3229.215825207668,50
129,20.48338102328242,10.718802912194018,6.2766924338908545,3221.961725574758,50
174,4.528221940865905,2.3695852980347643,2.0798676292301965,3221.961725574758,50
68,4.291464522843875,2.245691879321636,1.95961832304344,3221.961725574758,50
61,4.0206722776470745,2.103988285412221,1.9612982358793112,3221.961725574758,50
175,3.4301593270709656,1.794977193584708,2.0798676292301965,3221.961725574758,50
176,2.8809760653309153,1.5075936245061228,2.0798676292301965,3221.961725574758,50
32,2.7057408736560657,1.4158943351794107,1.913721783482406,3221.961725574758,50
98,2.4832265121570156,1.3004748843679688,2.984183757519738,3229.139462332013,50
63,2.4800249144080153,1.297778830782619,1.9612982358793112,3221.961725574758,50
67,2.3430056299786712,1.2260776451581064,1.9612982358793112,3221.961725574758,50
92,1.763442841820935,0.9233398937267937,2.1146299225231515,3226.307687533994,50
34,1.7585954782003685,0.9202601031382202,1.913721783482406,3221.961725574758,50
126,1.716025738567772,0.89826414888621,2.528216994364526,3224.6040309106847,50
60,1.62684924806126,0.8513182681120334,1.9571038427315794,3221.961725574758,50
131,1.514661415064923,0.7926111987240729,1.9562671159924894,3221.961725574758,50
94,1.50575711951526,0.788561169022122,1.9643398760039856,3228.454325420922,50
124,1.4703308514481601,0.627316900508495,2.0309304137848603,918.9970817855527,50
66,1.4651903584514874,0.7667233579865171,1.9612982358793112,3221.961725574758,50
64,1.4393332578112104,0.7531925270495315,1.95961832304344,3221.961725574758,50
65,1.4006620992491212,0.7329561936755593,1.9612982358793112,3221.961725574758,50
29,1.3718233090486338,0.717865066481578,1.913721783482406,3221.961725574758,50
128,1.3696190711738052,0.7167803831132076,2.3663140604216393,3222.6684406353415,50
130,1.3299683047274002,0.6959626499958236,6.2766924338908545,3221.961725574758,50
96,1.1760423114861447,0.6159038573065394,1.964546560072034,3228.8458405477886,50
35,1.1590290945126078,0.6066084805019252,1.9142708017112666,3223.191874897321,50
