development,mean_total_tts,median_total_tts,std_total_tts,min_total_tts,max_total_tts,origin_access_savings,network_savings,destination_access_savings,access_savings,origin_access_savings_per_demand,network_savings_per_demand,destination_access_savings_per_demand,access_savings_per_demand,mean_total_tts_per_demand,n_scenarios
254,150412.10046410412,119511.39771122253,101754.83429247755,67689.61329075508,264035.2903903348,2552.964667394836,145306.17112931455,2552.9646673948387,5105.929334789675,0.27165719684138967,13.262872625125661,0.2716571968413899,0.5433143936827795,13.806187018808437,3
557,149986.4932154013,118803.5679439255,102755.11541872426,66434.96505829238,264720.94664398604,2079.7293227814166,145827.03456983852,2079.7293227814166,4159.458645562833,0.22130092328632878,13.296548303922904,0.22130092328632878,0.44260184657265755,13.739150150495554,3
152,132881.30395096634,105588.19269593748,89920.86493731095,59769.13373727456,233286.58541968695,2068.385736319296,128744.53247832786,2068.3857363192947,4136.77147263859,0.22009386902159914,11.756222310377742,0.22009386902159891,0.44018773804319816,12.19641004842093,3
9,129787.12329617585,103257.870424893,87393.19693903648,58732.59456649399,227370.90489714057,2272.4338785269842,125242.25553912192,2272.4338785269842,4544.8677570539685,0.24180633023892373,11.438196578196383,0.24180633023892373,0.48361266047784746,11.921809238674228,3
334,26832.447153590114,21003.329717352983,19016.028052641577,11413.28379094263,48080.72795247473,376.8398746622952,26078.76740426551,376.8398746622952,753.6797493245904,0.04009897406301039,2.364398572520475,0.04009897406301039,0.08019794812602078,2.4445965206464995,3
813,20648.635120624716,15978.093508817605,15974.2565796192,7530.220150610898,38437.59170244564,1149.3094245093537,18350.01627160597,1149.3094245093514,2298.618849018705,0.1222963171244061,1.6063011225423753,0.12229631712440577,0.24459263424881184,1.8508937567911943,3
423,18741.365632117184,14519.084821150173,13732.551858688974,7615.73002844397,34089.282046757406,201.48854556531174,18338.388540986616,201.4885455653081,402.97709113061984,0.02144009831645895,1.654919153555207,0.021440098316458434,0.04288019663291739,1.6977993501881183,3
0,18717.163310679258,14594.753298764115,13378.059271856908,7885.472146591754,33671.2644866819,231.7312511834522,18253.70080831247,231.7312511834522,463.4625023669044,0.024658179922144197,1.6536168016670152,0.024658179922144117,0.04931635984428831,1.7029331615112941,3
669,17730.526358179166,13698.634541086038,12864.476332141261,7364.928034213139,32128.01649923832,114.56106737405086,17501.40422343102,114.56106737404843,229.12213474809928,0.012190273845514174,1.5850759453932122,0.012190273845513876,0.024380547691028046,1.6094564930842463,3
938,16304.217522489838,12682.159980069147,12491.780954588929,6023.715547472239,30206.77703992813,782.9932134545319,14738.231095580772,782.9932134545306,1565.9864269090624,0.08331715054807233,1.2972920635408698,0.08331715054807216,0.16663430109614452,1.4639263646370138,3
176,13742.349843417527,10475.603232445312,10922.757342538926,4825.704054192756,25925.742243614517,15.316773604585856,13711.716296208324,15.31677360458707,30.633547209172928,0.0016298352341022045,1.2226938013035136,0.0016298352341022934,0.0032596704682044974,1.2259534717717209,3
28,13378.562100071655,9428.41182379634,13643.172642236941,2146.313726535416,28560.960749883205,1069.2720931297517,11240.01791381219,1069.2720931297492,2138.544186259501,0.11377966298750075,0.9000416064393124,0.11377966298750047,0.2275593259750012,1.1276009324143101,3
15,13282.17124752778,10337.77883721306,9504.175964917564,5598.6437908068765,23910.0911145634,146.95863754511325,12988.253972437544,146.95863754511083,293.9172750902241,0.015637651407482082,1.1770347596893933,0.015637651407481783,0.03127530281496387,1.2083100625043566,3
761,10644.815074141408,8165.170508641517,7974.429006320946,4204.790997852455,19564.48371593025,33.35173632376003,10578.111601493903,33.351736323758814,66.70347264751884,0.003548908970164194,0.9536326173330573,0.003548908970164067,0.007097817940328262,0.9607304352733829,3
673,8595.970551276192,6658.406321730465,6177.938284145061,3619.056316167582,15510.449015930528,71.53557169333119,8452.899407889616,71.53557169332998,143.0711433866612,0.007611994447792911,0.7663376086549761,0.007611994447792702,0.015223988895585612,0.7815615975505573,3
540,8419.667170431465,6619.18589019333,6418.384947563945,3093.804237307515,15546.01138379355,326.15483426350573,7767.3575019045575,326.15483426350573,652.3096685270115,0.03470565382640118,0.6869292267033064,0.03470565382640114,0.06941130765280232,0.7563405343561002,3
767,8274.881058598907,6318.756806552177,6033.199924762692,3462.460927929613,15043.425441314932,149.60965477852005,7975.661749041911,149.60965477851764,299.21930955703766,0.015919742233231737,0.7190859342142047,0.01591974223323143,0.03183948446646317,0.7509254186806652,3
57,8175.538636092718,6707.679773836164,4551.697929890798,4538.884946475737,13280.051187966252,1168.24922739329,5839.040181306191,1168.2492273932887,2336.498454786579,0.1243116735488673,0.5235020160343326,0.12431167354886712,0.2486233470977344,0.7721253631320645,3
694,7448.127449512055,5675.089588669362,6445.973676285932,2074.228726662579,14595.064033204224,120.19846084276166,7207.730527826546,120.19846084275923,240.39692168552088,0.012790140554951672,0.6265809868977775,0.012790140554951373,0.025580281109903045,0.6521612680076811,3
17,7168.957463202688,5109.244877499761,7404.845597764662,1012.0254347692244,15385.602077339076,1006.8203270176697,5155.316809167387,1006.820327017666,2013.6406540353357,0.10713426285250842,0.3874332706775736,0.10713426285250809,0.21426852570501653,0.601701796382588,3
569,5523.285686573984,4352.854158659698,4311.7117229278265,1917.627375772805,10299.375525289448,239.18361961720802,5044.918447339558,239.1836196172056,478.3672392344136,0.025451175421817643,0.4428334083077432,0.025451175421817216,0.05090235084363486,0.4937357591513803,3
209,4613.399529112697,3251.8320176625857,5086.306553752113,346.44493357418105,10241.921636101324,-116.27833919492939,4845.956207502516,-116.27833919492696,-232.55667838985633,-0.01237300621188689,0.4046717235006776,-0.012373006211886637,-0.024746012423773528,0.379925711076909,3
770,4600.108191101773,3470.8441525705857,3484.3670839037622,1820.4337017093785,8509.046719025355,94.36888783959148,4411.370415422716,94.36888783959027,188.73777567918174,0.010041653867591496,0.3945605881616152,0.010041653867591326,0.020083307735182823,0.41464389589678724,3
62,3536.8054440905885,2624.602490270161,2689.4032843224095,1422.1474312769717,6563.666410724632,93.61738329796815,3349.5706774947466,93.61738329796815,187.2347665959363,0.00996168738369065,0.2989235999684493,0.00996168738369065,0.0199233747673813,0.31884697473582396,3
863,2849.820616019075,1848.339190153172,3936.5356098031925,-489.2418981004739,7190.364556004526,-97.23011664319226,3044.280849305486,-97.23011664319347,-194.46023328638572,-0.01034611299815425,0.23776532285248297,-0.01034611299815442,-0.02069222599630867,0.21707309685617382,3
780,2598.4306069104546,1829.5980877911209,2492.532382660687,580.8913929505507,5384.802339989692,307.54423014767116,1983.342146615071,307.5442301476699,615.0884602953411,0.032725326958425845,0.15725409712391408,0.032725326958425636,0.06545065391685148,0.2227047510407695,3
958,2498.734998705564,1737.614282686263,2408.7468764927767,562.4908857361879,5196.099827694241,139.76549837614462,2219.2040019533597,139.76549837614462,279.53099675228924,0.014872240109868961,0.18427433856057265,0.014872240109868998,0.029744480219737957,0.2140188187803033,3
206,2351.4994233864127,2249.582298992784,2029.2887242386587,375.0896418581251,4429.826329308329,245.59991041386334,1860.2996025587975,245.59991041386456,491.19982082772793,0.026133923452907677,0.15211272747605364,0.026133923452907725,0.0522678469058154,0.20438057438186089,3
550,2303.922880484684,1528.3566974054556,2484.6048898090135,299.6076713245129,5083.804272724083,311.992741260737,1679.9373979633285,311.99274126073095,623.9854825214679,0.033198686459334346,0.12519789659063438,0.03319868645933361,0.06639737291866797,0.19159526950929537,3
538,2247.8694444916523,1500.2568948261903,2314.5161048253267,399.5615444488358,4843.78989419993,182.58317408738,1882.7030963168945,182.5831740873776,365.1663481747576,0.01942840569536665,0.15060173900073204,0.01942840569536627,0.03885681139073292,0.18945855039146775,3
837,2219.396916371188,2153.109186388552,1915.2358171925969,338.16550778166857,4166.916054943344,262.2193205560082,1694.9582752592007,262.219320556007,524.4386411120153,0.027902370321134087,0.1370498460835087,0.027902370321133917,0.055804740642268,0.19285458672577524,3
680,1921.7870721449144,1139.0979848508723,3159.0675633992955,-772.3596278505865,5398.6228594344575,104.02891888553738,1713.7292343738955,104.02891888553738,208.05783777107476,0.011069563488969106,0.11309378176714052,0.011069563488969024,0.02213912697793813,0.1352329087450724,3
12,1861.5183429283788,1146.1936431683134,2855.044481524948,-567.8449478918919,5006.206333508715,75.48102318469925,1710.5562965590118,75.48102318469562,150.96204636939487,0.008031824106632847,0.11946263735362213,0.008031824106632458,0.016063648213265305,0.13552628556688825,3
90,1861.288590941772,1879.9360792578664,1665.3274152955466,186.71573523327243,3517.2139583341777,227.68752489919038,1405.9135411433333,227.68752489918793,455.3750497983783,0.024227892983558003,0.11186790869448059,0.024227892983557625,0.04845578596711564,0.16032369466160276,3
602,1607.5623517141212,737.4177785029169,3133.9931307388433,-999.4122482028324,5084.681524842279,-203.520866223617,2014.6040841614206,-203.5208662236158,-407.0417324472328,-0.021656354569177444,0.14616336456402168,-0.021656354569177482,-0.04331270913835492,0.102850655425665,3
104,1605.2162378526216,1704.2214997259434,1438.1369247935477,120.13487934798468,2991.2923344839364,102.77021336476416,1399.675811123064,102.77021336476416,205.54042672952832,0.010935626497117247,0.11634202667013009,0.010935626497117166,0.02187125299423441,0.13821327966436836,3
