development_int,scenario_norm,weighted_tt_h,tts_min,flow_129,flow_178,maxiter
28,scenario_19,1.1053239378819755,31295.14491496852,3441.5910798458112,4127.742094728994,5
28,scenario_26,0.6659561809065803,6646.62823460385,1889.4850806460208,1936.0669573912685,5
28,scenario_44,0.8728431070298036,16246.619013099582,2834.4068149023024,3189.334432234304,5
28,scenario_64,0.961641721727299,24467.97823594045,3106.550576628809,3878.591113051426,5
28,scenario_78,1.2311930373916842,29604.52089042659,3711.493565062545,4303.335073919269,5
109,scenario_19,1.2296521278961903,-48805.148381206905,3681.351180276589,4280.625065756201,5
109,scenario_26,0.6786233807577017,-6227.006452577072,1949.555847606725,2000.2661189956648,5
109,scenario_44,0.8643229514504471,18149.201525882003,2814.3479453751365,3274.0658933386294,5
109,scenario_64,1.0541344331722289,-35402.65148112911,3306.532733308711,4026.396704314523,5
109,scenario_78,1.3219083514708474,-29799.67361910583,3863.3301672984703,4447.147286860827,5
254,scenario_19,0.9716540098050211,132830.12794553116,3148.099183335196,3846.4919066688526,5
254,scenario_26,0.6343700254019424,40415.76331212517,1772.639738871514,1816.74163554911,5
254,scenario_44,0.984126516647877,-32336.921026806813,3058.072887126371,3068.278694534062,5
254,scenario_64,0.9293279644021117,62477.35329471831,3040.851879654744,3655.631079671394,5
254,scenario_78,1.0608547653735179,155056.37943146145,3356.337710867068,4012.6356904938543,5
267,scenario_19,1.109510495101054,29483.849610178386,3469.567539639362,4134.571311826299,5
267,scenario_26,0.6586514010777946,8891.673459296988,1902.4845414777085,1947.5656845273213,5
267,scenario_44,0.8500477193583866,29675.60529044387,2804.025818121425,3189.6639043396376,5
267,scenario_64,0.9588626983269279,26635.10271269293,3123.1508203864714,3883.895459648037,5
267,scenario_78,1.2397428460518702,25500.59402594203,3741.8342035774313,4313.894736823569,5
