iteration,development,scenario,matched_od_pairs,unweighted_mean_tts_min,unweighted_median_tts_min,weighted_mean_tts_min,min_od_tts_min,max_od_tts_min
2iter,28,scenario_19,930,1.0557244920602595,1.0721876845005363,1.1578204238122092,-2.250944667987187,10.405440901013666
2iter,28,scenario_26,930,0.1784164924692087,0.15332819711981083,0.18503941593829973,-0.9256480430200908,9.717776907594546
2iter,28,scenario_44,930,0.5738061283848064,0.5608415746205431,0.6164811647682573,-1.8495199631897241,9.074798768839845
2iter,28,scenario_64,930,0.930041352274287,0.9452247207307996,1.0231851315750653,-2.2412209297802166,10.030864496084146
2iter,28,scenario_78,930,1.1618590754030012,1.1794623213625566,1.2710909867104223,-2.266341817943087,10.740215883266174
2iter,109,scenario_19,930,-4.421330473299351,-4.857242782948323,-4.139616878417268,-4.903655090396288,0.24819233958079792
2iter,109,scenario_26,930,-0.6703551084346852,-0.7299178180393429,-0.6185529966399886,-1.0736620316544987,1.1859767477795402
2iter,109,scenario_44,930,-2.3136111700981656,-2.5566989330420276,-2.1777099481733693,-2.7889186500465057,3.815976362097404
2iter,109,scenario_64,930,-3.887332822922269,-4.269405120842855,-3.63713338231798,-4.389861827191375,0.218690174306376
2iter,109,scenario_78,930,-4.84399890483155,-5.321567509622875,-4.535210965522219,-5.346100950138419,0.27241873437850783
2iter,254,scenario_19,930,10.245491164270335,11.28003651009533,9.823282140483553,7.3954499815731545e-09,14.538733739070594
2iter,254,scenario_26,930,1.525940362247608,1.6828535242699993,1.4726529605565861,1.2566039875316903e-09,5.645811370636289
2iter,254,scenario_44,930,5.373362432478792,5.932697988002422,5.1713983073309935,4.004904012588906e-09,9.148509069930814
2iter,254,scenario_64,930,8.998443430552642,9.914823250335122,8.633363520199184,6.485507964004711e-09,13.142618202382184
2iter,254,scenario_78,930,11.234218324444285,12.362348845217257,10.762762272276358,8.043678015323685e-09,15.65150781925373
2iter,267,scenario_19,930,-0.07242808888954368,-0.06121351783542561,0.006590167269619131,-2.8383711552888835,1.1235637117443131
2iter,267,scenario_26,930,-0.029099055351993683,-0.012745563369720436,0.003669011833469638,-1.0588378885081495,1.0555100449232402
2iter,267,scenario_44,930,-0.036140563364537075,-0.03288136147558518,0.005428478416537578,-2.1026150081693364,5.093316710149751
2iter,267,scenario_64,930,-0.07057805945708889,-0.05575720739587897,0.004572867522248842,-2.7012696508087175,1.0974050557191983
2iter,267,scenario_78,930,-0.07718631642498937,-0.0688642273190343,0.004843665904535624,-2.9202756029664,1.1489481582700911
5iter,28,scenario_19,930,3.5491186922621165,3.1169535734496856,4.294978343825145,-0.006507833599338486,35.70607305120895
5iter,28,scenario_26,930,4.472223945516942,2.4013840139968967,1.1036230352093797,-0.0014625547336621914,33.18115236228792
5iter,28,scenario_44,930,2.322155709567487,2.011873425034633,2.4946617973098677,-14.515563599725006,33.9293124708644
5iter,28,scenario_64,930,2.588247756223521,1.9694483962421194,3.7822138288760287,-0.022477074211962045,45.13506247477702
5iter,28,scenario_78,930,3.34728545311179,2.949567540364233,4.041782908670009,-0.005650921426841871,36.723232711663854
5iter,109,scenario_19,930,-3.642681964257585,-3.996981238042119,-3.3919821990083765,-8.60524522606013,0.5539075074010524
5iter,109,scenario_26,930,3.9047596873541015,1.6698341870919653,0.34000875192017094,-0.2604037879046106,34.93805239322427
5iter,109,scenario_44,930,4.0683868266647885,2.9545129777245727,2.7864840470347683,-1.0168689137865439,33.84032069048985
5iter,109,scenario_64,930,-2.452892311070702,-2.8120961640768583,-2.2520996145816965,-6.1548020541931505,4.189980295822352
5iter,109,scenario_78,930,-1.5239716869993454,-1.9802798330436655,-1.4491516134309514,-3.7054044203212166,7.243400836072656
5iter,254,scenario_19,930,10.749001102767794,11.631497122920953,11.065340668971505,-1.2990492598285996e-07,30.07793463325026
5iter,254,scenario_26,930,5.605053500973423,3.686011370382569,2.276670931840642,-7.528979579889128e-07,34.33812527777746
5iter,254,scenario_44,930,-13.879542981083604,-10.495419740715349,-5.165751610543336,-61.303570873152346,0.3535221756481859
5iter,254,scenario_64,930,3.1692417245994142,4.639740236490246,4.3030685328587595,-9.064048384254914,11.584397793436182
5iter,254,scenario_78,930,12.989150417437596,14.5442508358988,13.151467272516138,-1.105216266006348e-06,31.383078075019498
5iter,267,scenario_19,930,2.522563365643484,2.477408331399966,2.743244466251789,-0.00029047991608202595,19.93394463282689
5iter,267,scenario_26,930,4.134144629190612,2.0960374571313887,0.8508739002305323,-5.7293278259984426e-05,32.562663546155555
5iter,267,scenario_44,930,2.296469526731676,3.082619432935955,2.8173068543856346,-95.59413447131598,18.97094641344132
5iter,267,scenario_64,930,1.9134127496082523,1.6392991287717984,2.46049166421412,-8.183752042825732e-05,16.731885528721467
