development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
140,road_tts_cost,-114769.71835279735,standalone_annual_proxy,140,-0.11476971835279735,48
143,road_accident_cost,,standalone_annual_proxy,143,,41
143,road_airpollution_cost,,standalone_annual_proxy,143,,41
143,road_climate_cost,-129191.59137618991,standalone_annual_proxy,143,-0.1291915913761899,41
143,road_co2_cost,,standalone_annual_proxy,143,,41
143,road_construction_cost,-10734373.686350971,standalone_annual_proxy,143,-10.734373686350972,41
143,road_ecological_disruption_cost,-178871.23829781247,standalone_annual_proxy,143,-0.17887123829781246,41
143,road_land_consumption_cost,-19179.10107905444,standalone_annual_proxy,143,-0.019179101079054437,41
143,road_maint_cost,-5308156.610404499,standalone_annual_proxy,143,-5.308156610404499,41
143,road_noise_cost,-3197555.396844733,standalone_annual_proxy,143,-3.197555396844733,41
143,road_tts_cost,-22019.01870003588,standalone_annual_proxy,143,-0.022019018700035878,41
144,road_accident_cost,,standalone_annual_proxy,144,,98
144,road_airpollution_cost,,standalone_annual_proxy,144,,98
144,road_climate_cost,-263718.86861525127,standalone_annual_proxy,144,-0.2637188686152513,98
144,road_co2_cost,,standalone_annual_proxy,144,,98
144,road_construction_cost,-4030940.850652282,standalone_annual_proxy,144,-4.030940850652282,98
144,road_ecological_disruption_cost,-862725.9310840092,standalone_annual_proxy,144,-0.8627259310840092,98
144,road_land_consumption_cost,-39948.51793234333,standalone_annual_proxy,144,-0.03994851793234333,98
144,road_maint_cost,-2281414.7470150813,standalone_annual_proxy,144,-2.281414747015081,98
144,road_noise_cost,-30395216.09078937,standalone_annual_proxy,144,-30.39521609078937,98
144,road_tts_cost,-4332464.549472332,standalone_annual_proxy,144,-4.332464549472332,98
15,road_accident_cost,,standalone_annual_proxy,15,,6
15,road_airpollution_cost,,standalone_annual_proxy,15,,6
15,road_climate_cost,-148243.3115845066,standalone_annual_proxy,15,-0.1482433115845066,6
15,road_co2_cost,,standalone_annual_proxy,15,,6
15,road_construction_cost,-4878765.572749263,standalone_annual_proxy,15,-4.878765572749263,6
15,road_ecological_disruption_cost,-435157.1500357672,standalone_annual_proxy,15,-0.43515715003576716,6
15,road_land_consumption_cost,-7564.816580049666,standalone_annual_proxy,15,-0.0075648165800496665,6
15,road_maint_cost,-2534637.646489866,standalone_annual_proxy,15,-2.534637646489866,6
15,road_noise_cost,-5523292.165796165,standalone_annual_proxy,15,-5.523292165796166,6
15,road_tts_cost,1813645.7489737447,standalone_annual_proxy,15,1.8136457489737448,6
150,road_accident_cost,,standalone_annual_proxy,150,,101
150,road_airpollution_cost,,standalone_annual_proxy,150,,101
150,road_climate_cost,-238667.54975225628,standalone_annual_proxy,150,-0.2386675497522563,101
150,road_co2_cost,,standalone_annual_proxy,150,,101
150,road_construction_cost,-13040428.421298534,standalone_annual_proxy,150,-13.040428421298534,101
150,road_ecological_disruption_cost,-493804.2937146368,standalone_annual_proxy,150,-0.4938042937146368,101
150,road_land_consumption_cost,-103273.58433715378,standalone_annual_proxy,150,-0.10327358433715378,101
150,road_maint_cost,-6544685.522982683,standalone_annual_proxy,150,-6.544685522982683,101
150,road_noise_cost,-3720875.4931549476,standalone_annual_proxy,150,-3.7208754931549475,101
150,road_tts_cost,-4518504.765813421,standalone_annual_proxy,150,-4.518504765813422,101
17,road_accident_cost,,standalone_annual_proxy,17,,80
17,road_airpollution_cost,,standalone_annual_proxy,17,,80
17,road_climate_cost,-1308175.8626868748,standalone_annual_proxy,17,-1.308175862686875,80
17,road_co2_cost,,standalone_annual_proxy,17,,80
17,road_construction_cost,-58930736.08780906,standalone_annual_proxy,17,-58.930736087809066,80
17,road_ecological_disruption_cost,-2469002.865472936,standalone_annual_proxy,17,-2.469002865472936,80
17,road_land_consumption_cost,-286826.32232872886,standalone_annual_proxy,17,-0.28682632232872884,80
