development,scenario,tts_minutes,component
245,scenario_19,-32789.20117370132,total
249,scenario_19,-36159.8130610222,total
250,scenario_19,1517.768086348544,total
255,scenario_19,-3479.1988614904694,total
261,scenario_19,-15762.99908461864,total
267,scenario_19,101.584276414942,total
270,scenario_19,-3099.637598834234,total
273,scenario_19,341.19789866998326,total
277,scenario_19,-22768.976403721375,total
284,scenario_19,-1893.6120030075544,total
285,scenario_19,-35485.05429023644,total
289,scenario_19,-34627.744521022076,total
308,scenario_19,-2367.288382523926,total
331,scenario_19,-40332.43914389075,total
334,scenario_19,26572.731940858062,total
348,scenario_19,-38673.66413679672,total
351,scenario_19,-65250.56038220343,total
356,scenario_19,-26939.622743266984,total
358,scenario_19,-32490.299489021883,total
390,scenario_19,-25120.526676644688,total
392,scenario_19,1190.7151148860576,total
394,scenario_19,-294.66577721142676,total
423,scenario_19,18412.25989707129,total
459,scenario_19,-5731.898977987585,total
464,scenario_19,28.21087131893728,total
469,scenario_19,-22807.797357941163,total
486,scenario_19,-36929.48089677631,total
493,scenario_19,107.30116041505244,total
499,scenario_19,-29171.026587809087,total
517,scenario_19,-978.6971460148924,total
521,scenario_19,-62408.45231929352,total
531,scenario_19,-34343.785865713144,total
533,scenario_19,-1678.105909305159,total
538,scenario_19,2467.7113126155455,total
540,scenario_19,7012.679258613731,total
546,scenario_19,-5753.680692928261,total
550,scenario_19,2251.8382348384475,total
552,scenario_19,-13781.22435297398,total
556,scenario_19,-5244.310838614823,total
558,scenario_19,-26381.79615552479,total
564,scenario_19,-33656.27685338992,total
565,scenario_19,598.5097423035186,total
569,scenario_19,4475.028001165134,total
594,scenario_19,-1267.5197488057893,total
602,scenario_19,0.7014136931393296,total
612,scenario_19,-71238.05768306158,total
614,scenario_19,-5521.335681758006,total
625,scenario_19,-5011.277839068673,total
627,scenario_19,1064.7696700678207,total
628,scenario_19,-10442.741064525442,total
629,scenario_19,-2491.636756451102,total
648,scenario_19,-2015.7978772264903,total
662,scenario_19,-58728.40247606137,total
669,scenario_19,16749.838675646577,total
670,scenario_19,434.4311968917027,total
673,scenario_19,8364.949851289974,total
678,scenario_19,-30751.89793770213,total
680,scenario_19,364.6949182440294,total
682,scenario_19,-26395.215189256935,total
689,scenario_19,-36421.86663979129,total
694,scenario_19,6210.373090495705,total
726,scenario_19,-9959.874662919086,total
736,scenario_19,-201.43620564742017,total
750,scenario_19,-37358.60478626448,total
755,scenario_19,1554.87678309693,total
759,scenario_19,-69185.6956141165,total
761,scenario_19,10151.98900256178,total
764,scenario_19,-3242.654065631563,total
767,scenario_19,7836.88674553961,total
770,scenario_19,4507.2467848894885,total
775,scenario_19,-41372.25862121838,total
776,scenario_19,-15506.029317971668,total
780,scenario_19,2438.259720687638,total
789,scenario_19,-30261.146873640013,total
791,scenario_19,-6909.169879747205,total
809,scenario_19,-7304.379750277614,total
810,scenario_19,-1827.3961086713243,total
811,scenario_19,-351.11802775703836,total
813,scenario_19,17206.534319216735,total
822,scenario_19,-4336.9431019353215,total
831,scenario_19,-10924.403309818124,total
837,scenario_19,728.2261762957787,total
858,scenario_19,-1599.5642752200365,total
863,scenario_19,1378.920993949636,total
866,scenario_19,-3255.2284864026587,total
873,scenario_19,-35154.83820330154,total
878,scenario_19,-7736.851796576637,total
887,scenario_19,-18925.42711792118,total
895,scenario_19,-31859.39721732284,total
935,scenario_19,-6235.536808058969,total
938,scenario_19,15180.669084793655,total
940,scenario_19,-5363.863969880273,total
945,scenario_19,-49827.20002663834,total
952,scenario_19,-30231.37678391417,total
958,scenario_19,2709.2342105640564,total
964,scenario_19,281.03593496524263,total
970,scenario_19,-10645.54325467127,total
971,scenario_19,-347.4794812332839,total
987,scenario_19,-201.89207065221856,total
0,scenario_26,1737.9355012003798,total
2,scenario_26,-4172.473116306937,total
12,scenario_26,-940.671085949638,total
15,scenario_26,1260.0957061277877,total
17,scenario_26,-3581.1181780084153,total
25,scenario_26,-5077.407646547625,total
27,scenario_26,-4841.171016716893,total
28,scenario_26,-2663.894814005558,total
57,scenario_26,1903.6786016088151,total
62,scenario_26,231.8161513528612,total
63,scenario_26,-5465.216740521049,total
73,scenario_26,-2127.893698578526,total
90,scenario_26,-21.62604501095484,total
94,scenario_26,5.036724609031808,total
103,scenario_26,-4743.774406907556,total
104,scenario_26,25.484591814456508,total
109,scenario_26,-9334.291730010882,total
114,scenario_26,-187.46131086535752,total
