mode,development,scenario,score_id,value_mode,annual_value
Rail,100000,scenario_15,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_15,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_15,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_15,rail_tts_cost,standalone_annual_proxy,2564591.971141019
Rail,100000,scenario_16,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_16,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_16,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_16,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_16,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_16,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_16,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_16,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_16,rail_tts_cost,standalone_annual_proxy,5016838.406427939
Rail,100000,scenario_17,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_17,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_17,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_17,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_17,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_17,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_17,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_17,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_17,rail_tts_cost,standalone_annual_proxy,4649809.37945733
Rail,100000,scenario_18,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_18,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_18,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_18,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_18,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_18,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_18,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_18,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_18,rail_tts_cost,standalone_annual_proxy,2840174.3874427094
Rail,100000,scenario_19,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_19,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_19,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_19,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_19,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_19,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_19,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_19,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_19,rail_tts_cost,standalone_annual_proxy,4659658.228342224
Rail,100000,scenario_2,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_2,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_2,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_2,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_2,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_2,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_2,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_2,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_2,rail_tts_cost,standalone_annual_proxy,2597965.2813327606
Rail,100000,scenario_20,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_20,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_20,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_20,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_20,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_20,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_20,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_20,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_20,rail_tts_cost,standalone_annual_proxy,5184951.724208311
Rail,100000,scenario_21,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_21,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_21,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_21,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_21,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_21,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_21,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_21,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_21,rail_tts_cost,standalone_annual_proxy,5695934.313301338
Rail,100000,scenario_22,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_22,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_22,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_22,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_22,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_22,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_22,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_22,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_22,rail_tts_cost,standalone_annual_proxy,6369695.7959526125
Rail,100000,scenario_23,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_23,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_23,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_23,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_23,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_23,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_23,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_23,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_23,rail_tts_cost,standalone_annual_proxy,2580708.880320435
Rail,100000,scenario_24,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_24,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_24,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_24,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_24,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_24,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_24,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_24,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_24,rail_tts_cost,standalone_annual_proxy,5553181.008077947
Rail,100000,scenario_25,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_25,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_25,rail_co2_cost,standalone_annual_proxy,2667.492650914484
Rail,100000,scenario_25,rail_construction_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_25,rail_land_consumption_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_25,rail_maint_cost,standalone_annual_proxy,0.0
Rail,100000,scenario_25,rail_noise_cost,standalone_annual_proxy,20984.134265546712
Rail,100000,scenario_25,rail_operation_cost,standalone_annual_proxy,1132535.0372548352
Rail,100000,scenario_25,rail_tts_cost,standalone_annual_proxy,3755184.7941330327
Rail,100000,scenario_26,rail_accident_cost,standalone_annual_proxy,19947.815413067572
Rail,100000,scenario_26,rail_airpollution_cost,standalone_annual_proxy,90694.75013109244
Rail,100000,scenario_26,rail_co2_cost,standalone_annual_proxy,2667.492650914484
