mode,development,scenario,value_mode,tts_annual,cost_annual,cost_annual_negative,net_annual
Rail,101015,scenario_56,integrated,4858905.033034457,4963588.781532466,-4963588.781532466,-104683.74849800952
Rail,101015,scenario_56,standalone_annual_proxy,4699275.518699002,4486079.4834017735,-4486079.4834017735,213196.03529722895
Rail,101015,scenario_57,integrated,3665482.349022103,4963588.781532466,-4963588.781532466,-1298106.4325103634
Rail,101015,scenario_57,standalone_annual_proxy,3291322.934423371,4486079.4834017735,-4486079.4834017735,-1194756.5489784023
Rail,101015,scenario_58,integrated,3682938.321210734,4963588.781532466,-4963588.781532466,-1280650.4603217323
Rail,101015,scenario_58,standalone_annual_proxy,2183140.941826111,4486079.4834017735,-4486079.4834017735,-2302938.5415756623
Rail,101015,scenario_59,integrated,3283431.5625770297,4963588.781532466,-4963588.781532466,-1680157.2189554367
Rail,101015,scenario_59,standalone_annual_proxy,2010828.4711044088,4486079.4834017735,-4486079.4834017735,-2475251.012297365
Rail,101015,scenario_6,integrated,3898452.356465806,4963588.781532466,-4963588.781532466,-1065136.4250666606
Rail,101015,scenario_6,standalone_annual_proxy,3126244.995190075,4486079.4834017735,-4486079.4834017735,-1359834.4882116984
Rail,101015,scenario_60,integrated,3921943.57120538,4963588.781532466,-4963588.781532466,-1041645.2103270865
Rail,101015,scenario_60,standalone_annual_proxy,2942945.4788936945,4486079.4834017735,-4486079.4834017735,-1543134.004508079
Rail,101015,scenario_61,integrated,3603905.1593112433,4963588.781532466,-4963588.781532466,-1359683.622221223
Rail,101015,scenario_61,standalone_annual_proxy,1961658.770307184,4486079.4834017735,-4486079.4834017735,-2524420.7130945893
Rail,101015,scenario_62,integrated,3986690.437781594,4963588.781532466,-4963588.781532466,-976898.3437508722
Rail,101015,scenario_62,standalone_annual_proxy,3618614.1481983,4486079.4834017735,-4486079.4834017735,-867465.3352034735
Rail,101015,scenario_63,integrated,5498744.385153401,4963588.781532466,-4963588.781532466,535155.6036209343
Rail,101015,scenario_63,standalone_annual_proxy,3272886.865230873,4486079.4834017735,-4486079.4834017735,-1213192.6181709003
Rail,101015,scenario_64,integrated,4974590.626799379,4963588.781532466,-4963588.781532466,11001.845266912133
Rail,101015,scenario_64,standalone_annual_proxy,3741357.3988417583,4486079.4834017735,-4486079.4834017735,-744722.0845600152
Rail,101015,scenario_65,integrated,3502953.7090453375,4963588.781532466,-4963588.781532466,-1460635.072487129
Rail,101015,scenario_65,standalone_annual_proxy,3041951.591243416,4486079.4834017735,-4486079.4834017735,-1444127.8921583574
Rail,101015,scenario_66,integrated,3398677.9182722424,4963588.781532466,-4963588.781532466,-1564910.863260224
Rail,101015,scenario_66,standalone_annual_proxy,2490830.3107490875,4486079.4834017735,-4486079.4834017735,-1995249.172652686
Rail,101015,scenario_67,integrated,4833247.769852025,4963588.781532466,-4963588.781532466,-130341.01168044098
Rail,101015,scenario_67,standalone_annual_proxy,3337915.807323887,4486079.4834017735,-4486079.4834017735,-1148163.6760778865
Rail,101015,scenario_68,integrated,2810087.64115614,4963588.781532466,-4963588.781532466,-2153501.1403763266
Rail,101015,scenario_68,standalone_annual_proxy,2079991.9544198888,4486079.4834017735,-4486079.4834017735,-2406087.528981885
Rail,101015,scenario_69,integrated,2707579.593272257,4963588.781532466,-4963588.781532466,-2256009.1882602093
Rail,101015,scenario_69,standalone_annual_proxy,2365981.454226068,4486079.4834017735,-4486079.4834017735,-2120098.0291757053
Rail,101015,scenario_7,integrated,5263761.85568851,4963588.781532466,-4963588.781532466,300173.07415604405
Rail,101015,scenario_7,standalone_annual_proxy,3037747.185520434,4486079.4834017735,-4486079.4834017735,-1448332.2978813397
Rail,101015,scenario_70,integrated,3062897.388571781,4963588.781532466,-4963588.781532466,-1900691.3929606853
Rail,101015,scenario_70,standalone_annual_proxy,2140051.8592293942,4486079.4834017735,-4486079.4834017735,-2346027.6241723793
Rail,101015,scenario_71,integrated,4273315.377167141,4963588.781532466,-4963588.781532466,-690273.4043653253
Rail,101015,scenario_71,standalone_annual_proxy,2935581.535986979,4486079.4834017735,-4486079.4834017735,-1550497.9474147945
Rail,101015,scenario_72,integrated,2456002.8385096244,4963588.781532466,-4963588.781532466,-2507585.943022842
Rail,101015,scenario_72,standalone_annual_proxy,2044986.7032338912,4486079.4834017735,-4486079.4834017735,-2441092.7801678823
Rail,101015,scenario_73,integrated,2375453.1732005966,4963588.781532466,-4963588.781532466,-2588135.60833187
Rail,101015,scenario_73,standalone_annual_proxy,1782097.4626356836,4486079.4834017735,-4486079.4834017735,-2703982.0207660897
Rail,101015,scenario_74,integrated,4532536.360552795,4963588.781532466,-4963588.781532466,-431052.4209796712
Rail,101015,scenario_74,standalone_annual_proxy,3442505.891815213,4486079.4834017735,-4486079.4834017735,-1043573.5915865605
Rail,101015,scenario_75,integrated,4094103.996644172,4963588.781532466,-4963588.781532466,-869484.7848882945
Rail,101015,scenario_75,standalone_annual_proxy,4662816.557184106,4486079.4834017735,-4486079.4834017735,176737.07378233224
Rail,101015,scenario_76,integrated,3749418.451850893,4963588.781532466,-4963588.781532466,-1214170.3296815734
Rail,101015,scenario_76,standalone_annual_proxy,3172302.500685188,4486079.4834017735,-4486079.4834017735,-1313776.9827165855
Rail,101015,scenario_77,integrated,4601284.59785895,4963588.781532466,-4963588.781532466,-362304.18367351685
Rail,101015,scenario_77,standalone_annual_proxy,2445324.0662505366,4486079.4834017735,-4486079.4834017735,-2040755.417151237
Rail,101015,scenario_78,integrated,6108858.674300754,4963588.781532466,-4963588.781532466,1145269.892768288
Rail,101015,scenario_78,standalone_annual_proxy,4392482.792430711,4486079.4834017735,-4486079.4834017735,-93596.69097106252
Rail,101015,scenario_79,integrated,4642174.905192448,4963588.781532466,-4963588.781532466,-321413.8763400186
Rail,101015,scenario_79,standalone_annual_proxy,3696860.677406546,4486079.4834017735,-4486079.4834017735,-789218.8059952273
Rail,101015,scenario_8,integrated,3553917.3131063664,4963588.781532466,-4963588.781532466,-1409671.4684261
Rail,101015,scenario_8,standalone_annual_proxy,2246655.8660859847,4486079.4834017735,-4486079.4834017735,-2239423.6173157888
Rail,101015,scenario_80,integrated,7519921.048451716,4963588.781532466,-4963588.781532466,2556332.2669192497
Rail,101015,scenario_80,standalone_annual_proxy,6943002.15105557,4486079.4834017735,-4486079.4834017735,2456922.6676537963
Rail,101015,scenario_81,integrated,4307712.964226691,4963588.781532466,-4963588.781532466,-655875.8173057754
Rail,101015,scenario_81,standalone_annual_proxy,2732289.958748155,4486079.4834017735,-4486079.4834017735,-1753789.5246536187
Rail,101015,scenario_82,integrated,5088819.27558645,4963588.781532466,-4963588.781532466,125230.49405398313
Rail,101015,scenario_82,standalone_annual_proxy,3795100.286089302,4486079.4834017735,-4486079.4834017735,-690979.1973124715
Rail,101015,scenario_83,integrated,3772665.36327424,4963588.781532466,-4963588.781532466,-1190923.4182582265
Rail,101015,scenario_83,standalone_annual_proxy,2723530.885003631,4486079.4834017735,-4486079.4834017735,-1762548.5983981425
Rail,101015,scenario_84,integrated,3703090.135356375,4963588.781532466,-4963588.781532466,-1260498.6461760914
Rail,101015,scenario_84,standalone_annual_proxy,2451331.9450444425,4486079.4834017735,-4486079.4834017735,-2034747.538357331
Rail,101015,scenario_85,integrated,3721756.7807031497,4963588.781532466,-4963588.781532466,-1241832.0008293167
Rail,101015,scenario_85,standalone_annual_proxy,2630985.9405328105,4486079.4834017735,-4486079.4834017735,-1855093.542868963
Rail,101015,scenario_86,integrated,5130908.331051763,4963588.781532466,-4963588.781532466,167319.54951929674
Rail,101015,scenario_86,standalone_annual_proxy,3524305.044269164,4486079.4834017735,-4486079.4834017735,-961774.4391326094
Rail,101015,scenario_87,integrated,4689419.72822084,4963588.781532466,-4963588.781532466,-274169.0533116264
Rail,101015,scenario_87,standalone_annual_proxy,4091565.82383434,4486079.4834017735,-4486079.4834017735,-394513.6595674334
Rail,101015,scenario_88,integrated,3718396.5149838184,4963588.781532466,-4963588.781532466,-1245192.266548648
Rail,101015,scenario_88,standalone_annual_proxy,3431861.4397682697,4486079.4834017735,-4486079.4834017735,-1054218.0436335038
Rail,101015,scenario_89,integrated,3984537.813056261,4963588.781532466,-4963588.781532466,-979050.9684762056
Rail,101015,scenario_89,standalone_annual_proxy,3442365.3705319525,4486079.4834017735,-4486079.4834017735,-1043714.112869821
Rail,101015,scenario_9,integrated,5598937.891673784,4963588.781532466,-4963588.781532466,635349.1101413174
Rail,101015,scenario_9,standalone_annual_proxy,3121851.14849375,4486079.4834017735,-4486079.4834017735,-1364228.3349080235
Rail,101015,scenario_90,integrated,3879976.6979385344,4963588.781532466,-4963588.781532466,-1083612.083593932
Rail,101015,scenario_90,standalone_annual_proxy,2711547.841207106,4486079.4834017735,-4486079.4834017735,-1774531.6421946674
Rail,101015,scenario_91,integrated,5078932.892604856,4963588.781532466,-4963588.781532466,115344.11107238941
Rail,101015,scenario_91,standalone_annual_proxy,4686592.3720815135,4486079.4834017735,-4486079.4834017735,200512.88867974002
Rail,101015,scenario_92,integrated,3918360.229786272,4963588.781532466,-4963588.781532466,-1045228.5517461943
Rail,101015,scenario_92,standalone_annual_proxy,2777012.2006348553,4486079.4834017735,-4486079.4834017735,-1709067.2827669182
Rail,101015,scenario_93,integrated,4198711.0543947555,4963588.781532466,-4963588.781532466,-764877.7271377109
Rail,101015,scenario_93,standalone_annual_proxy,3901335.9129493134,4486079.4834017735,-4486079.4834017735,-584743.5704524601
Rail,101015,scenario_94,integrated,7120728.718299992,4963588.781532466,-4963588.781532466,2157139.936767526
Rail,101015,scenario_94,standalone_annual_proxy,5618500.166886011,4486079.4834017735,-4486079.4834017735,1132420.6834842376
Rail,101015,scenario_95,integrated,5743560.645105724,4963588.781532466,-4963588.781532466,779971.8635732578
Rail,101015,scenario_95,standalone_annual_proxy,4596175.796269471,4486079.4834017735,-4486079.4834017735,110096.31286769733
Rail,101015,scenario_96,integrated,5798153.616134727,4963588.781532466,-4963588.781532466,834564.834602261
