mode,development,score_id,value_mio_chf,development_label,ranking_label,ranking_label_short,bcr_mean,plot_group,plot_order
Rail,101008,rail_maint_cost,-1.5380792250000002,X8 (101008),Rail X8 (101008),X8 (101008),1.3191484849121582,Rail top 10,9
Rail,101008,rail_noise_cost,-0.06190716986421456,X8 (101008),Rail X8 (101008),X8 (101008),1.3191484849121582,Rail top 10,9
Rail,101008,rail_operation_cost,-2.4779042413341967,X8 (101008),Rail X8 (101008),X8 (101008),1.3191484849121582,Rail top 10,9
Rail,101008,rail_tts_cost,8.177401213539584,X8 (101008),Rail X8 (101008),X8 (101008),1.3191484849121582,Rail top 10,9
Rail,101010,rail_accident_cost,-0.058893507298479045,X10 (101010),Rail X10 (101010),X10 (101010),1.6114393465929626,Rail top 10,7
Rail,101010,rail_airpollution_cost,-0.26776525740659224,X10 (101010),Rail X10 (101010),X10 (101010),1.6114393465929626,Rail top 10,7
Rail,101010,rail_co2_cost,-0.007875448747252713,X10 (101010),Rail X10 (101010),X10 (101010),1.6114393465929626,Rail top 10,7
Rail,101010,rail_construction_cost,-0.732040428190727,X10 (101010),Rail X10 (101010),X10 (101010),1.6114393465929626,Rail top 10,7
Rail,101010,rail_land_consumption_cost,-0.002701245112781955,X10 (101010),Rail X10 (101010),X10 (101010),1.6114393465929626,Rail top 10,7
Rail,101010,rail_maint_cost,-0.579195,X10 (101010),Rail X10 (101010),X10 (101010),1.6114393465929626,Rail top 10,7
Rail,101010,rail_noise_cost,-0.049476439303737324,X10 (101010),Rail X10 (101010),X10 (101010),1.6114393465929626,Rail top 10,7
Rail,101010,rail_operation_cost,-3.8803318577462487,X10 (101010),Rail X10 (101010),X10 (101010),1.6114393465929626,Rail top 10,7
Rail,101010,rail_tts_cost,8.989058563065173,X10 (101010),Rail X10 (101010),X10 (101010),1.6114393465929626,Rail top 10,7
Rail,101011,rail_accident_cost,-0.10219171743120899,X11 (101011),Rail X11 (101011),X11 (101011),1.4747278395241583,Rail top 10,8
Rail,101011,rail_airpollution_cost,-0.46462492688894563,X11 (101011),Rail X11 (101011),X11 (101011),1.4747278395241583,Rail top 10,8
Rail,101011,rail_co2_cost,-0.013665439026145459,X11 (101011),Rail X11 (101011),X11 (101011),1.4747278395241583,Rail top 10,8
Rail,101011,rail_construction_cost,-0.732040428190727,X11 (101011),Rail X11 (101011),X11 (101011),1.4747278395241583,Rail top 10,8
Rail,101011,rail_land_consumption_cost,-0.002701245112781955,X11 (101011),Rail X11 (101011),X11 (101011),1.4747278395241583,Rail top 10,8
Rail,101011,rail_maint_cost,-0.579195,X11 (101011),Rail X11 (101011),X11 (101011),1.4747278395241583,Rail top 10,8
Rail,101011,rail_noise_cost,-0.1053114104716837,X11 (101011),Rail X11 (101011),X11 (101011),1.4747278395241583,Rail top 10,8
Rail,101011,rail_operation_cost,-6.733132308395664,X11 (101011),Rail X11 (101011),X11 (101011),1.4747278395241583,Rail top 10,8
Rail,101011,rail_tts_cost,12.878595411381008,X11 (101011),Rail X11 (101011),X11 (101011),1.4747278395241583,Rail top 10,8
Rail,101012,rail_accident_cost,-0.07656069250720723,X12 (101012),Rail X12 (101012),X12 (101012),2.1528478268819096,Rail top 10,6
Rail,101012,rail_airpollution_cost,-0.34809089281304756,X12 (101012),Rail X12 (101012),X12 (101012),2.1528478268819096,Rail top 10,6
Rail,101012,rail_co2_cost,-0.010237967435677871,X12 (101012),Rail X12 (101012),X12 (101012),2.1528478268819096,Rail top 10,6
Rail,101012,rail_construction_cost,-0.732040428190727,X12 (101012),Rail X12 (101012),X12 (101012),2.1528478268819096,Rail top 10,6
Rail,101012,rail_land_consumption_cost,-0.002701245112781955,X12 (101012),Rail X12 (101012),X12 (101012),2.1528478268819096,Rail top 10,6
Rail,101012,rail_maint_cost,-0.579195,X12 (101012),Rail X12 (101012),X12 (101012),2.1528478268819096,Rail top 10,6
Rail,101012,rail_noise_cost,-0.07680009240506062,X12 (101012),Rail X12 (101012),X12 (101012),2.1528478268819096,Rail top 10,6
Rail,101012,rail_operation_cost,-5.044374292079266,X12 (101012),Rail X12 (101012),X12 (101012),2.1528478268819096,Rail top 10,6
Rail,101012,rail_tts_cost,14.790065885086545,X12 (101012),Rail X12 (101012),X12 (101012),2.1528478268819096,Rail top 10,6
Rail,101016,rail_accident_cost,-0.02954356680119106,X16 (101016),Rail X16 (101016),X16 (101016),3.146349565121889,Rail top 10,2
Rail,101016,rail_airpollution_cost,-0.13432279944098482,X16 (101016),Rail X16 (101016),X16 (101016),3.146349565121889,Rail top 10,2
Rail,101016,rail_co2_cost,-0.003950670571793672,X16 (101016),Rail X16 (101016),X16 (101016),3.146349565121889,Rail top 10,2
Rail,101016,rail_construction_cost,-0.732040428190727,X16 (101016),Rail X16 (101016),X16 (101016),3.146349565121889,Rail top 10,2
Rail,101016,rail_land_consumption_cost,-0.002701245112781955,X16 (101016),Rail X16 (101016),X16 (101016),3.146349565121889,Rail top 10,2
Rail,101016,rail_maint_cost,-0.579195,X16 (101016),Rail X16 (101016),X16 (101016),3.146349565121889,Rail top 10,2
Rail,101016,rail_noise_cost,-0.03750137760949724,X16 (101016),Rail X16 (101016),X16 (101016),3.146349565121889,Rail top 10,2
Rail,101016,rail_operation_cost,-1.9465446822365964,X16 (101016),Rail X16 (101016),X16 (101016),3.146349565121889,Rail top 10,2
Rail,101016,rail_tts_cost,10.90461759902443,X16 (101016),Rail X16 (101016),X16 (101016),3.146349565121889,Rail top 10,2
Road,0,road_accident_cost,0.04344574595760804,0,Road 0,0,0.4203722582313384,Road top 10,11
Road,0,road_airpollution_cost,0.009583696122860582,0,Road 0,0,0.4203722582313384,Road top 10,11
Road,0,road_co2_cost,0.010834414789807477,0,Road 0,0,0.4203722582313384,Road top 10,11
Road,0,road_construction_cost,-4.187558652921078,0,Road 0,0,0.4203722582313384,Road top 10,11
Road,0,road_land_consumption_cost,-0.10296778920474807,0,Road 0,0,0.4203722582313384,Road top 10,11
Road,0,road_maint_cost,-2.513203435361913,0,Road 0,0,0.4203722582313384,Road top 10,11
Road,0,road_noise_cost,0.005737298327341154,0,Road 0,0,0.4203722582313384,Road top 10,11
Road,0,road_tts_cost,2.826133182722616,0,Road 0,0,0.4203722582313384,Road top 10,11
Road,15,road_accident_cost,0.037882641828735214,15,Road 15,15,0.2354211440625124,Road top 10,16
Road,15,road_airpollution_cost,0.008356531108293446,15,Road 15,15,0.2354211440625124,Road top 10,16
Road,15,road_co2_cost,0.009447098809322074,15,Road 15,15,0.2354211440625124,Road top 10,16
Road,15,road_construction_cost,-5.595263683091946,15,Road 15,15,0.2354211440625124,Road top 10,16
Road,15,road_land_consumption_cost,-0.06288575043230296,15,Road 15,15,0.2354211440625124,Road top 10,16
