development,score_id,value,value_mode,development_label,value_mio_chf,plot_order
101003,rail_co2_cost,,standalone_annual_proxy,X3 (101003),,17
101003,rail_construction_cost,1583300.0,standalone_annual_proxy,X3 (101003),1.5833,17
101003,rail_land_consumption_cost,,standalone_annual_proxy,X3 (101003),,17
101003,rail_maint_cost,1234974.0,standalone_annual_proxy,X3 (101003),1.234974,17
101003,rail_noise_cost,,standalone_annual_proxy,X3 (101003),,17
101003,rail_operation_cost,8286864.190406666,standalone_annual_proxy,X3 (101003),8.286864190406666,17
101003,rail_tts_cost,5802776.280463232,standalone_annual_proxy,X3 (101003),5.802776280463232,17
101004,rail_accident_cost,,standalone_annual_proxy,X4 (101004),,33
101004,rail_airpollution_cost,,standalone_annual_proxy,X4 (101004),,33
101004,rail_co2_cost,,standalone_annual_proxy,X4 (101004),,33
101004,rail_construction_cost,1583300.0,standalone_annual_proxy,X4 (101004),1.5833,33
101004,rail_land_consumption_cost,,standalone_annual_proxy,X4 (101004),,33
101004,rail_maint_cost,1234974.0,standalone_annual_proxy,X4 (101004),1.234974,33
101004,rail_noise_cost,,standalone_annual_proxy,X4 (101004),,33
101004,rail_operation_cost,7895035.997189831,standalone_annual_proxy,X4 (101004),7.895035997189831,33
101004,rail_tts_cost,1429885.080228752,standalone_annual_proxy,X4 (101004),1.429885080228752,33
101005,rail_accident_cost,,standalone_annual_proxy,X5 (101005),,38
101005,rail_airpollution_cost,,standalone_annual_proxy,X5 (101005),,38
101005,rail_co2_cost,,standalone_annual_proxy,X5 (101005),,38
101005,rail_construction_cost,1622750.0,standalone_annual_proxy,X5 (101005),1.62275,38
101005,rail_land_consumption_cost,,standalone_annual_proxy,X5 (101005),,38
101005,rail_maint_cost,1457895.0,standalone_annual_proxy,X5 (101005),1.457895,38
101005,rail_noise_cost,,standalone_annual_proxy,X5 (101005),,38
101005,rail_operation_cost,3806954.046847058,standalone_annual_proxy,X5 (101005),3.806954046847058,38
101005,rail_tts_cost,148937.21702217823,standalone_annual_proxy,X5 (101005),0.14893721702217824,38
101006,rail_accident_cost,,standalone_annual_proxy,X6 (101006),,24
101006,rail_airpollution_cost,,standalone_annual_proxy,X6 (101006),,24
101006,rail_co2_cost,,standalone_annual_proxy,X6 (101006),,24
101006,rail_construction_cost,1622750.0,standalone_annual_proxy,X6 (101006),1.62275,24
101006,rail_land_consumption_cost,,standalone_annual_proxy,X6 (101006),,24
101006,rail_maint_cost,1457895.0,standalone_annual_proxy,X6 (101006),1.457895,24
101006,rail_noise_cost,,standalone_annual_proxy,X6 (101006),,24
101006,rail_operation_cost,2758437.929548892,standalone_annual_proxy,X6 (101006),2.7584379295488923,24
101006,rail_tts_cost,4061991.064965837,standalone_annual_proxy,X6 (101006),4.061991064965837,24
101007,rail_accident_cost,,standalone_annual_proxy,X7 (101007),,3
101007,rail_airpollution_cost,,standalone_annual_proxy,X7 (101007),,3
101007,rail_co2_cost,,standalone_annual_proxy,X7 (101007),,3
101007,rail_construction_cost,1622750.0,standalone_annual_proxy,X7 (101007),1.62275,3
101007,rail_land_consumption_cost,,standalone_annual_proxy,X7 (101007),,3
101007,rail_maint_cost,1457895.0,standalone_annual_proxy,X7 (101007),1.457895,3
101007,rail_noise_cost,,standalone_annual_proxy,X7 (101007),,3
101007,rail_operation_cost,2864178.3156979834,standalone_annual_proxy,X7 (101007),2.864178315697983,3
101007,rail_tts_cost,11765090.4296535,standalone_annual_proxy,X7 (101007),11.7650904296535,3
101008,rail_accident_cost,,standalone_annual_proxy,X8 (101008),,11
101008,rail_airpollution_cost,,standalone_annual_proxy,X8 (101008),,11
101008,rail_co2_cost,,standalone_annual_proxy,X8 (101008),,11
101008,rail_construction_cost,1622750.0,standalone_annual_proxy,X8 (101008),1.62275,11
101008,rail_land_consumption_cost,,standalone_annual_proxy,X8 (101008),,11
