development,scenario,origin_access_savings,destination_access_savings,access_savings,network_savings,total_tts,positive_tts,monetized_savings_yearly,monetized_savings
9,scenario_30,2272.433878361171,2272.433878361171,4544.867756722342,763656.4764449296,768201.3442016519,True,251265856.33262363,12563292816.631182
2,scenario_30,1942.4595898446717,1942.4595898446717,3884.9191796893433,745801.5876445797,749686.5068242691,True,245209961.60710463,12260498080.355232
103,scenario_30,1838.5534001822125,1838.553400182216,3677.1068003644286,745828.3662333677,749505.4730337323,True,245150748.4714499,12257537423.572496
9,scenario_19,2272.4338783836683,2272.4338783836683,4544.867756767337,31528.76988161585,36073.637638383225,True,11799085.64422118,589954282.211059
9,scenario_29,2272.433878836113,2272.433878836113,4544.867757672226,8328.854206828648,12873.721964500874,True,4210779.892555494,210538994.6277747
103,scenario_29,1838.5533998480928,1838.5533998480896,3677.1067996961824,-3075.8393941007234,601.2674055954558,True,196664.54724684695,9833227.362342348
103,scenario_19,1838.553400204706,1838.553400204706,3677.106800409412,-3344.447021175176,332.65977923426544,True,108807.46945787432,5440373.472893716
