scenario,status_quo_veh_km
scenario_19,541239.4593620441
scenario_26,245376.64368814207
scenario_44,414226.4009526994
scenario_64,512687.96968057886
scenario_70,338579.30395679234
scenario_75,415051.19567632925
scenario_78,562067.9056858013
scenario_89,347030.8183515454
scenario_96,368308.10862877563
scenario_100,358854.22068416275
