run,case_type,development,scenario,od_pairs,total_demand,mean_tt_min_unweighted,median_tt_min_unweighted,p95_tt_min_unweighted,max_tt_min_unweighted,mean_tt_min_weighted,std_tt_min_unweighted
2iter_xscen_xdev_test,status_quo,status_quo,scenario_19,930,10004.725529239464,99.61187914086929,108.22264233074644,118.19803129924478,124.85660090118242,94.99805322580819,29.544564261141367
2iter_xscen_xdev_test,status_quo,status_quo,scenario_26,930,4540.663259143899,42.32420857988873,45.716838897061166,53.367209811895165,59.2921192442592,40.68316829594808,12.837708096982105
2iter_xscen_xdev_test,status_quo,status_quo,scenario_44,930,7660.214081615989,67.7157711196842,73.55513677224324,81.88961558454983,88.3529303446348,64.73315484820375,20.264997868884407
2iter_xscen_xdev_test,status_quo,status_quo,scenario_64,930,9479.923166176046,91.37712042026531,99.29072157910944,108.8184337355621,115.45340377811455,87.17667562804664,27.1715433102971
2iter_xscen_xdev_test,status_quo,status_quo,scenario_78,930,10391.082934411694,105.99881345135772,115.13933939965554,125.49191133210157,132.16598729182166,101.03038295286392,31.39379955369102
2iter_xscen_xdev_test,development,109,scenario_19,992,10247.288085326818,104.5672675371667,113.32870485593162,123.5951883501537,130.09900690056193,99.743018623102,30.702776368002823
2iter_xscen_xdev_test,development,109,scenario_26,992,4650.643463030267,43.43623660349418,46.614704740086225,54.20195854717012,60.4966181793266,41.7704170227139,13.048983935836477
2iter_xscen_xdev_test,development,109,scenario_44,992,7845.948471774449,70.51322574855536,76.31926210918576,84.98305510783048,91.29063380904904,67.44068291998614,20.89811006821068
2iter_xscen_xdev_test,development,109,scenario_64,992,9709.963304356686,95.78628407658174,103.78826186032086,113.7053158283776,120.10738852631837,91.40080513008219,28.18556216705513
2iter_xscen_xdev_test,development,109,scenario_78,992,10643.1900165677,111.38662521840739,120.73022887223706,131.29651151080998,137.87482910261457,106.18706820350735,32.666074935344916
2iter_xscen_xdev_test,development,254,scenario_19,930,9406.061138683031,89.36638797659897,96.99256140860642,106.90534312592571,113.46475345320543,84.5617266897095,26.473513906450545
2iter_xscen_xdev_test,development,254,scenario_26,930,4269.2836217228,40.79826821764113,44.052728925403144,51.66838636011133,57.588686393327166,38.949052942443714,12.393570485539628
2iter_xscen_xdev_test,development,254,scenario_44,930,7201.796258827181,62.34240868720542,67.64163486859849,75.91376263922609,82.35605346726065,59.14386928603971,18.64758955781011
2iter_xscen_xdev_test,development,254,scenario_64,930,8912.050500429017,82.37867698971267,89.4152657172549,98.89644720569032,105.4390063011545,77.97859413931262,24.46863102059014
