case_type,development,scenario,mean_tt_min_unweighted_2iter_xscen_xdev_test,mean_tt_min_unweighted_5iter_5scen_4dev_test_1542375,mean_tt_min_unweighted_8iter_5scen_4dev_test_1547628,mean_tt_min_weighted_2iter_xscen_xdev_test,mean_tt_min_weighted_5iter_5scen_4dev_test_1542375,mean_tt_min_weighted_8iter_5scen_4dev_test_1547628
development,109,scenario_19,104.5672675371667,63.14070643977454,52.0042114761581,99.743018623102,73.77912767377141,60.8849085487068
development,109,scenario_26,43.43623660349418,38.05131161132387,38.451826813325575,41.7704170227139,40.717402845462104,40.73276625336011
development,109,scenario_44,70.51322574855536,43.70448597281789,47.173787501051805,67.44068291998614,51.85937708702683,54.197504441166934
development,109,scenario_64,95.78628407658174,52.64368981646359,42.608797264221636,91.40080513008219,63.24806599033373,49.40837912615287
development,109,scenario_78,111.38662521840739,68.62775440676909,55.882570587129216,106.18706820350735,79.31450108825085,65.74160520659967
development,254,scenario_19,89.36638797659897,48.63320928509353,41.80262366336364,84.5617266897095,58.29924058830127,49.35135211430384
development,254,scenario_26,40.79826821764113,35.86270340004975,36.87012684473657,38.949052942443714,38.06220152411654,38.229704122573544
development,254,scenario_44,62.34240868720542,61.46530931659806,56.7657273825415,59.14386928603971,59.04759099887261,58.0099613679137
development,254,scenario_64,82.37867698971267,46.92125644680569,36.64116449737691,77.97859413931262,55.759677864126715,41.90147196637921
development,254,scenario_78,94.76459512691343,53.98200716947252,43.89202129554777,89.61370356450374,63.6512859224111,50.38798952069606
development,267,scenario_19,100.03686184705957,56.94241048512621,46.171537688986795,94.41522648637681,66.57062970606324,53.21097278070452
development,267,scenario_26,42.50569255996492,37.55105999197806,38.317484019862555,40.45267988048291,39.51908406466768,39.63381559588762
development,267,scenario_44,67.99647997268501,45.38029491221526,51.94591215815874,64.34736232481269,51.00286316150319,55.97669770126771
development,267,scenario_64,91.77270690589229,48.19636133826895,41.353656996130745,86.64951416609271,57.53176189961568,48.40528235373833
development,267,scenario_78,106.44959817130244,64.97103036704998,53.15623444575137,100.41327431865203,74.38457076311222,61.13822204433289
development,28,scenario_19,99.24470455328752,57.12554893056882,46.47088727601416,93.30882256443805,66.31943627291852,52.978382394873144
development,28,scenario_26,42.70900505964937,37.748046579244935,38.5595250639491,40.87980507819692,39.95737085439482,40.08027285029823
development,28,scenario_44,67.76109605619723,46.31193445646132,53.67293944257248,64.09316797945117,52.37058642178822,57.28802314362546
development,28,scenario_64,91.11841695851022,48.72212841129184,42.185709104209074,85.75109127748743,57.698503303637935,49.01143065693211
development,28,scenario_78,105.5392777219045,64.96692696276689,53.64527731024665,99.12435982961682,73.87158224350101,61.129466121296666
status_quo,status_quo,scenario_19,99.61187914086929,59.38221038786131,48.12257405400531,94.99805322580819,70.04396419475937,56.42676212805001
status_quo,status_quo,scenario_26,42.32420857988873,41.46775690102318,40.89491862843374,40.68316829594808,40.61086828678932,40.543064670354376
status_quo,status_quo,scenario_44,67.7157711196842,47.58576633551446,44.83022143956764,64.73315484820375,54.300331551600074,52.29183322183315
status_quo,status_quo,scenario_64,91.37712042026531,50.0904981714051,41.579876408112746,87.17667562804664,60.68556006815477,48.89038174870836
status_quo,status_quo,scenario_78,105.99881345135772,66.97115758691011,55.2568090627535,101.03038295286392,77.50958620928739,64.93648227287386
