destination,n_cells_dev,n_cells_sq,potential_sum_dev,potential_sum_sq,egress_mean_hr_dev,egress_mean_hr_sq,network_hr_dev,network_hr_sq,contribution_sum_dev,contribution_sum_sq,delta_n_cells,delta_potential_sum,delta_egress_mean_hr,delta_network_hr,delta_contribution_sum
6,2016.0,2460.0,6437.397296685799,17065.711900476832,0.05552114848210778,0.057969190148372894,1.5046580476403402,1.5296277625070895,56.700695323249334,132.7972714441851,-444.0,-10628.314603791034,-0.0024480416662651175,-0.02496971486674937,-76.09657612093577
171,11394.0,12852.0,17977.202306030675,34723.719848589644,0.19570947810030292,0.18785455677231813,0.0347118213335415,0.0496898772660468,12552.99134657725,22256.19768798229,-1458.0,-16746.51754255897,0.007854921327984793,-0.014978055932505306,-9703.20634140504
9999,2437.0,,32184.67635920005,,0.09173542653457344,,1.534168958419034,,253.8073069585059,,,,,,
