state,destination,n_cells,potential_sum,egress_mean_hr,network_hr,contribution_sum
dev,6,2016,6437.397296685799,0.05552114848210778,1.5046580476403402,56.700695323249334
dev,171,11394,17977.202306030675,0.19570947810030292,0.0347118213335415,12552.99134657725
dev,9999,2437,32184.67635920005,0.09173542653457344,1.534168958419034,253.8073069585059
sq,6,2460,17065.711900476832,0.057969190148372894,1.5296277625070895,132.7972714441851
sq,171,12852,34723.719848589644,0.18785455677231813,0.0496898772660468,22256.19768798229
