scenario,developments,positive_developments,mean_total_tts,median_total_tts,min_total_tts,max_total_tts,mean_network_savings,mean_access_savings
scenario_19,3,2,-487207.1967158389,332.65977923426544,-1498027.887565134,36073.637638383225,-491242.8279616327,4035.631245793919
scenario_29,3,2,-159496.15454565865,601.2674055954558,-491963.4530070723,12873.721964500874,-163531.78579143362,4035.631245774941
scenario_30,3,3,755797.7746865511,749686.5068242691,749505.4730337323,768201.3442016519,751762.143440959,4035.631245592038
