development,scenario,rank_type,rank_value,ID_edge,length_m,flow,capacity,flow_capacity_ratio,fftt_min,tt_min,delay_min
status_quo,scenario_19,flow_capacity_ratio,3.7934231053655356,178,6719.55714161299,3793.423105365536,1000,3.7934231053655356,5.039667856209742,35.943832422087105,30.904164565877362
status_quo,scenario_19,flow_capacity_ratio,2.822652621757158,124,1877.417300305622,2057.713761260968,729,2.822652621757158,1.425886557194143,5.727217161729126,4.301330604534982
status_quo,scenario_19,flow_capacity_ratio,2.43721747403735,98,2007.6948653871616,3743.566040121369,1536,2.43721747403735,1.115386036326201,3.4808236128024794,2.3654375764762783
status_quo,scenario_19,flow_capacity_ratio,2.2975893773791745,87,794.1532861069165,1674.9426561094183,729,2.2975893773791745,0.4764919716641499,1.3535925382144167,0.8771005665502668
status_quo,scenario_19,flow_capacity_ratio,1.8678284343227116,85,910.3365754780752,1361.6469286212568,729,1.8678284343227116,0.5462019452868452,1.1578505778412744,0.6116486325544293
status_quo,scenario_19,flow_capacity_ratio,1.8678284343227116,86,2224.3324582106734,1361.6469286212568,729,1.8678284343227116,1.3480802777034384,2.8576894351696924,1.509609157466254
status_quo,scenario_19,flow_capacity_ratio,1.6282902669496409,97,1687.4477039097997,3798.801192793512,2333,1.6282902669496409,0.8437238519548999,1.5233916906529819,0.679667838698082
status_quo,scenario_19,flow_capacity_ratio,1.603504969458543,96,2437.745041650941,3740.977093746781,2333,1.603504969458543,1.2188725208254705,2.1652557580074885,0.946383237182018
status_quo,scenario_19,flow_capacity_ratio,1.5893485603748214,95,1906.501637835958,3707.950191354458,2333,1.5893485603748214,0.9612613300013235,1.6919080638712685,0.7306467338699449
status_quo,scenario_19,flow_capacity_ratio,1.5298593950953403,94,3121.847228370543,3569.161968757429,2333,1.5298593950953403,1.5609236141852714,2.643566689595507,1.0826430754102354
status_quo,scenario_19,delay_min,30.904164565877362,178,6719.55714161299,3793.423105365536,1000,3.7934231053655356,5.039667856209742,35.943832422087105,30.904164565877362
status_quo,scenario_19,delay_min,4.301330604534982,124,1877.417300305622,2057.713761260968,729,2.822652621757158,1.425886557194143,5.727217161729126,4.301330604534982
status_quo,scenario_19,delay_min,2.3654375764762783,98,2007.6948653871616,3743.566040121369,1536,2.43721747403735,1.115386036326201,3.4808236128024794,2.3654375764762783
status_quo,scenario_19,delay_min,1.509609157466254,86,2224.3324582106734,1361.6469286212568,729,1.8678284343227116,1.3480802777034384,2.8576894351696924,1.509609157466254
status_quo,scenario_19,delay_min,1.0826430754102354,94,3121.847228370543,3569.161968757429,2333,1.5298593950953403,1.5609236141852714,2.643566689595507,1.0826430754102354
status_quo,scenario_19,delay_min,1.018646186637866,91,4008.729740907578,2978.277282575834,2391,1.2456199425243972,2.4052378445445464,3.4238840311824124,1.018646186637866
status_quo,scenario_19,delay_min,0.946383237182018,96,2437.745041650941,3740.977093746781,2333,1.603504969458543,1.2188725208254705,2.1652557580074885,0.946383237182018
status_quo,scenario_19,delay_min,0.8771005665502668,87,794.1532861069165,1674.9426561094183,729,2.2975893773791745,0.4764919716641499,1.3535925382144167,0.8771005665502668
status_quo,scenario_19,delay_min,0.7903697926010711,88,2951.1891622424446,1787.5558474481652,1404,1.2731879255328813,1.7707134973454668,2.561083289946538,0.7903697926010711
status_quo,scenario_19,delay_min,0.7306467338699449,95,1906.501637835958,3707.950191354458,2333,1.5893485603748214,0.9612613300013235,1.6919080638712685,0.7306467338699449
status_quo,scenario_29,flow_capacity_ratio,1.9683023407615796,178,6719.55714161299,1968.3023407615797,1000,1.9683023407615796,5.039667856209742,11.439406892053986,6.399739035844244
status_quo,scenario_29,flow_capacity_ratio,1.4613227622351177,124,1877.417300305622,1065.3042936694007,729,1.4613227622351177,1.425886557194143,2.3118498757068284,0.8859633185126854
status_quo,scenario_29,flow_capacity_ratio,1.2648860889292632,98,2007.6948653871616,1942.8650325953483,1536,1.2648860889292632,1.115386036326201,1.6054904469975033,0.4901044106713024
status_quo,scenario_29,flow_capacity_ratio,1.1909683657733128,87,794.1532861069165,868.215938648745,729,1.1909683657733128,0.4764919716641499,0.65769111443911,0.18119914277496008
status_quo,scenario_29,flow_capacity_ratio,0.9682786755431271,85,910.3365754780752,705.8751544709396,729,0.9682786755431271,0.5462019452868452,0.672586537972598,0.12638459268575286
status_quo,scenario_29,flow_capacity_ratio,0.9682786755431271,86,2224.3324582106734,705.8751544709396,729,0.9682786755431271,1.3480802777034384,1.6600099188836253,0.31192964118018685
status_quo,scenario_29,flow_capacity_ratio,0.8454924242246351,97,1687.4477039097997,1972.5338257160736,2333,0.8454924242246351,0.8437238519548999,0.9847188366771079,0.14099498472220806
status_quo,scenario_29,flow_capacity_ratio,0.8327728650192757,96,2437.745041650941,1942.8590940899703,2333,0.8327728650192757,1.2188725208254705,1.4152818229476727,0.1964093021222022
status_quo,scenario_29,flow_capacity_ratio,0.8254847291899494,95,1906.501637835958,1925.855873200152,2333,0.8254847291899494,0.9612613300013235,1.112925567126142,0.15166423712481847
status_quo,scenario_29,flow_capacity_ratio,0.7943937023366112,94,3121.847228370543,1853.320507551314,2333,0.7943937023366112,1.5609236141852714,1.7855224814729005,0.22459886728762912
status_quo,scenario_29,delay_min,6.399739035844244,178,6719.55714161299,1968.3023407615797,1000,1.9683023407615796,5.039667856209742,11.439406892053986,6.399739035844244
status_quo,scenario_29,delay_min,0.8859633185126854,124,1877.417300305622,1065.3042936694007,729,1.4613227622351177,1.425886557194143,2.3118498757068284,0.8859633185126854
status_quo,scenario_29,delay_min,0.4901044106713024,98,2007.6948653871616,1942.8650325953483,1536,1.2648860889292632,1.115386036326201,1.6054904469975033,0.4901044106713024
status_quo,scenario_29,delay_min,0.31192964118018685,86,2224.3324582106734,705.8751544709396,729,0.9682786755431271,1.3480802777034384,1.6600099188836253,0.31192964118018685
status_quo,scenario_29,delay_min,0.22459886728762912,94,3121.847228370543,1853.320507551314,2333,0.7943937023366112,1.5609236141852714,1.7855224814729005,0.22459886728762912
status_quo,scenario_29,delay_min,0.21086873015072438,91,4008.729740907578,1545.1137953701773,2391,0.6462207425220314,2.4052378445445464,2.6161065746952707,0.21086873015072438
status_quo,scenario_29,delay_min,0.1964093021222022,96,2437.745041650941,1942.8590940899703,2333,0.8327728650192757,1.2188725208254705,1.4152818229476727,0.1964093021222022
