development,scenario,ID_edge,length_m_2iter,flow_2iter,length_m_5iter,flow_5iter,delta_length_m_5_minus_2,delta_flow_5_minus_2
28,scenario_19,129,3327.5142290398862,4263.2745409963245,3327.5142290398862,3441.5910798458112,0.0,-821.6834611505133
28,scenario_19,178,6719.55714161299,4271.261980509967,6719.55714161299,4127.742094728994,0.0,-143.5198857809728
28,scenario_26,129,3327.5142290398862,1932.067851465305,3327.5142290398862,1889.4850806460208,0.0,-42.58277081928418
28,scenario_26,178,6719.55714161299,1938.5514593518017,6719.55714161299,1936.0669573912685,0.0,-2.48450196053318
28,scenario_44,129,3327.5142290398862,3262.2960756391453,3327.5142290398862,2834.4068149023024,0.0,-427.88926073684297
28,scenario_44,178,6719.55714161299,3269.848993242304,6719.55714161299,3189.334432234304,0.0,-80.51456100799987
28,scenario_64,129,3327.5142290398862,4037.870355045671,3327.5142290398862,3106.550576628809,0.0,-931.3197784168624
28,scenario_64,178,6719.55714161299,4045.777291551404,6719.55714161299,3878.591113051426,0.0,-167.1861784999778
28,scenario_78,129,3327.5142290398862,4427.077501859828,3327.5142290398862,3711.493565062545,0.0,-715.5839367972831
28,scenario_78,178,6719.55714161299,4435.117530403577,6719.55714161299,4303.335073919269,0.0,-131.78245648430766
109,scenario_19,129,3327.5142290398862,4406.185049334274,3327.5142290398862,3681.351180276589,0.0,-724.8338690576848
109,scenario_19,178,6719.55714161299,4414.170984062568,6719.55714161299,4280.625065756201,0.0,-133.54591830636673
109,scenario_26,129,3327.5142290398862,1996.7608467156424,3327.5142290398862,1949.555847606725,0.0,-47.20499910891749
109,scenario_26,178,6719.55714161299,2003.226824381704,6719.55714161299,2000.2661189956648,0.0,-2.960705386039308
109,scenario_44,129,3327.5142290398862,3371.714022874459,3327.5142290398862,2814.3479453751365,0.0,-557.3660774993223
109,scenario_44,178,6719.55714161299,3379.252793978973,6719.55714161299,3274.0658933386294,0.0,-105.18690064034354
109,scenario_64,129,3327.5142290398862,4173.506571080048,3327.5142290398862,3306.532733308711,0.0,-866.973837771337
109,scenario_64,178,6719.55714161299,4181.409171503902,6719.55714161299,4026.396704314523,0.0,-155.0124671893791
109,scenario_78,129,3327.5142290398862,4575.708784306433,3327.5142290398862,3863.3301672984703,0.0,-712.3786170079625
109,scenario_78,178,6719.55714161299,4583.749034707052,6719.55714161299,4447.147286860827,0.0,-136.6017478462245
254,scenario_19,129,3327.5142290398862,4000.9732176572825,3327.5142290398862,3148.099183335196,0.0,-852.8740343220866
254,scenario_19,178,6719.55714161299,4008.5260842744856,6719.55714161299,3846.4919066688526,0.0,-162.03417760563298
254,scenario_26,129,3327.5142290398862,1813.3041615021727,3327.5142290398862,1772.639738871514,0.0,-40.66442263065869
254,scenario_26,178,6719.55714161299,1819.3982301474311,6719.55714161299,1816.74163554911,0.0,-2.656594598321135
254,scenario_44,129,3327.5142290398862,3061.5582040812146,3327.5142290398862,3058.072887126371,0.0,-3.485316954843711
254,scenario_44,178,6719.55714161299,3068.671384458522,6719.55714161299,3068.278694534062,0.0,-0.39268992445977347
254,scenario_64,129,3327.5142290398862,3789.1784435533095,3327.5142290398862,3040.851879654744,0.0,-748.3265638985654
254,scenario_64,178,6719.55714161299,3796.649032099623,6719.55714161299,3655.631079671394,0.0,-141.0179524282289
254,scenario_78,129,3327.5142290398862,4154.48032710749,3327.5142290398862,3356.337710867068,0.0,-798.1426162404218
254,scenario_78,178,6719.55714161299,4162.086519726327,6719.55714161299,4012.6356904938543,0.0,-149.4508292324731
267,scenario_19,129,3327.5142290398862,4291.395591300989,3327.5142290398862,3469.567539639362,0.0,-821.8280516616264
267,scenario_19,178,6719.55714161299,4299.200420604735,6719.55714161299,4134.571311826299,0.0,-164.6291087784357
267,scenario_26,129,3327.5142290398862,1944.7280430654096,3327.5142290398862,1902.4845414777085,0.0,-42.243501587701076
267,scenario_26,178,6719.55714161299,1951.005297053912,6719.55714161299,1947.5656845273213,0.0,-3.439612526590736
267,scenario_44,129,3327.5142290398862,3283.8353230637285,3327.5142290398862,2804.025818121425,0.0,-479.80950494230365
267,scenario_44,178,6719.55714161299,3291.1911610773845,6719.55714161299,3189.6639043396376,0.0,-101.52725673774694
267,scenario_64,129,3327.5142290398862,4064.6942018337313,3327.5142290398862,3123.1508203864714,0.0,-941.5433814472599
267,scenario_64,178,6719.55714161299,4072.415428068401,6719.55714161299,3883.895459648037,0.0,-188.51996842036397
267,scenario_78,129,3327.5142290398862,4456.446598542416,3327.5142290398862,3741.8342035774313,0.0,-714.6123949649846
267,scenario_78,178,6719.55714161299,4464.306512544864,6719.55714161299,4313.894736823569,0.0,-150.41177572129527
