iteration,development,mean_total_tts,mean_network,mean_origin_access,mean_destination_access
2iter,28,6116.6818317825555,3978.137644860253,1069.2720934611534,1069.2720934611527
2iter,109,-47790.94899522808,-49080.664031290136,644.8575180310305,644.8575180310305
2iter,254,96951.56936009406,91845.64002549862,2552.964667297723,2552.9646672977224
2iter,267,-467.68397833367345,-642.8212765683886,87.56864911735757,87.56864911735757
5iter,28,21652.1782578078,19513.634070885484,1069.2720934611534,1069.2720934611527
5iter,109,-20417.055681627382,-21706.770717689466,644.8575180310305,644.8575180310305
5iter,254,71688.54059140585,66582.61125681041,2552.964667297723,2552.9646672977224
5iter,267,24037.36501971084,23862.227721476134,87.56864911735757,87.56864911735757
