iteration,mode,development,scenario_count,median_tts_minutes,mean_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,iqr_tts_minutes,abs_median_tts_minutes,relative_iqr_tts,relative_std_tts
2iter,Road,254,5,113594.2271956628,96951.56936009406,43585.176873613585,32011.51096652268,137852.73920042522,74152.29315200087,127147.07628585875,52994.78313385788,113594.2271956628,0.46652708013564714,0.3836918296784516
2iter,Road,109,5,-55721.75393143785,-47790.94899522808,20781.30393787784,-67291.0318158624,-16828.55541355355,-62193.8276386807,-36919.576176605886,25274.25146207481,55721.75393143785,0.4535796108136367,0.37294777123218237
2iter,Road,28,5,8322.95499208488,6116.6818317825555,5739.58336872,-2436.018541252648,11509.627777539776,3113.730322273681,10073.11460826709,6959.384285993408,8322.95499208488,0.836167478090627,0.6896088437554134
2iter,Road,267,5,-515.636995300767,-467.68397833367345,109.19648323160467,-577.1795945232734,-309.0967018411029,-532.5033329975558,-404.003267005668,128.50006599188782,515.636995300767,0.24920645175378608,0.21177007124539468
5iter,Road,254,5,62477.35329471831,71688.54059140585,75120.93498502932,-32336.921026806813,155056.37943146145,40415.76331212517,132830.12794553116,92414.36463340599,62477.35329471831,1.4791658058475803,1.2023706354952117
5iter,Road,109,5,-29799.67361910583,-20417.055681627382,26491.503827006956,-48805.148381206905,18149.201525882003,-35402.65148112911,-6227.006452577072,29175.64502855204,29799.67361910583,0.9790592139185814,0.8889863750058703
5iter,Road,267,5,26635.10271269293,24037.36501971084,8656.43114733381,8891.673459296988,29675.60529044387,25500.59402594203,29483.849610178386,3983.2555842363545,26635.10271269293,0.14954909794052113,0.32500085472576745
5iter,Road,28,5,24467.97823594045,21652.1782578078,10229.148193538136,6646.62823460385,31295.14491496852,16246.619013099582,29604.52089042659,13357.901877327007,24467.97823594045,0.5459340264454663,0.41806266520675484
