development,scenario,year,status_quo_tt,development_tt,tt_savings_daily,monetized_savings_yearly,total_demand_basis,tts_total_person_h,tts_total_person_min,tts_per_trip_min,status_quo_total_per_trip_min,development_total_per_trip_min
100000.0,scenario_19,2050,88590.64524743764,87738.50163173888,852.143615698762,4603279.812004713,135103.84375,852.143615698762,51128.61694192572,0.3784393953774962,39.343356689999865,38.96491729462237
100001.0,scenario_19,2050,88590.64524743764,85891.65099364324,2698.9942537944007,14579966.958997354,135103.84375,2698.9942537944007,161939.65522766404,1.1986309991840187,39.343356689999865,38.14472569081584
100002.0,scenario_19,2050,88590.64524743764,87589.70011244819,1000.9451349894516,5407105.619213018,135103.84375,1000.9451349894516,60056.7080993671,0.4445225719151095,39.343356689999865,38.89883411808476
100003.0,scenario_19,2050,88590.64524743764,88278.89900211696,311.74624532068265,1684053.2172223278,135103.84375,311.74624532068265,18704.77471924096,0.13844739128113043,39.343356689999865,39.20490929871873
100004.0,scenario_19,2050,88590.64524743764,88246.21579012282,344.4294573148218,1860607.9284146673,135103.84375,344.4294573148218,20665.767438889307,0.15296209837767333,39.343356689999865,39.19039459162219
100005.0,scenario_19,2050,88590.64524743764,87566.35064698274,1024.2946004549012,5533239.431657377,135103.84375,1024.2946004549012,61457.676027294074,0.4548921357190778,39.343356689999865,38.88846455428079
101000.0,scenario_19,2050,88590.64524743764,87484.16419480057,1106.4810526370711,5977210.646345459,135103.84375,1106.4810526370711,66388.86315822427,0.4913913721142687,39.343356689999865,38.85196531788559
101001.0,scenario_19,2050,88590.64524743764,86107.81137121328,2482.8338762243657,13412268.599364026,135103.84375,2482.8338762243657,148970.03257346194,1.1026335627365298,39.343356689999865,38.24072312726333
101002.0,scenario_19,2050,88590.64524743764,87515.31566333977,1075.329584097868,5808930.413296683,135103.84375,1075.329584097868,64519.775045872084,0.4775569166282294,39.343356689999865,38.865799773371634
101003.0,scenario_19,2050,88590.64524743764,87559.96062145439,1030.6846259832528,5567758.349561531,135103.84375,1030.6846259832528,61841.077558995166,0.4577299641705802,39.343356689999865,38.88562672582928
101004.0,scenario_19,2050,88590.64524743764,88344.35939716706,246.28585027057852,1330436.1631616652,135103.84375,246.28585027057852,14777.151016234711,0.10937624427309983,39.343356689999865,39.23398044572676
101005.0,scenario_19,2050,88590.64524743764,88564.24371977853,26.40152765910898,142621.0524145067,135103.84375,26.40152765910898,1584.0916595465387,0.01172499327611868,39.343356689999865,39.33163169672375
101006.0,scenario_19,2050,88590.64524743764,87885.93356107283,704.7116863648116,3806852.5297427126,135103.84375,704.7116863648116,42282.7011818887,0.3129644576221666,39.343356689999865,39.03039223237769
101007.0,scenario_19,2050,88590.64524743764,86500.91223791648,2089.7330095211655,11288737.717433337,135103.84375,2089.7330095211655,125383.98057126993,0.9280563534763971,39.343356689999865,38.415300336523465
101008.0,scenario_19,2050,88590.64524743764,87446.57192401297,1144.0733234246727,6180284.093140082,135103.84375,1144.0733234246727,68644.39940548036,0.5080862061371245,39.343356689999865,38.835270483862736
101009.0,scenario_19,2050,88590.64524743764,88556.00384948461,34.64139795303345,187132.83174228668,135103.84375,34.64139795303345,2078.483877182007,0.015384343031928038,39.343356689999865,39.32797234696794
101010.0,scenario_19,2050,88590.64524743764,87331.29594686636,1259.3493005712808,6803004.921686059,135103.84375,1259.3493005712808,75560.95803427685,0.5592805943707789,39.343356689999865,38.78407609562908
101011.0,scenario_19,2050,88590.64524743764,86860.55651246912,1730.0887349685217,9345939.346299956,135103.84375,1730.0887349685217,103805.3240981113,0.7683373116326404,39.343356689999865,38.575019378367216
101012.0,scenario_19,2050,88590.64524743764,86520.58408573276,2070.0611617048853,11182470.39552979,135103.84375,2070.0611617048853,124203.66970229312,0.919320030095688,39.343356689999865,38.424036659904175
101013.0,scenario_19,2050,88590.64524743764,87696.48664024478,894.1586071928614,4830244.796055838,135103.84375,894.1586071928614,53649.51643157168,0.397098372203579,39.343356689999865,38.946258317796286
101014.0,scenario_19,2050,88590.64524743764,87669.2377118925,921.407535545135,4977443.507014819,135103.84375,921.407535545135,55284.4521327081,0.40919969852973265,39.343356689999865,38.93415699147013
101015.0,scenario_19,2050,88590.64524743764,88000.29222299466,590.3530244429858,3189087.038041009,135103.84375,590.3530244429858,35421.181466579146,0.2621774516802313,39.343356689999865,39.081179238319635
101016.0,scenario_19,2050,88590.64524743764,87065.18683829905,1525.4584091385914,8240526.326166671,135103.84375,1525.4584091385914,91527.50454831548,0.6774604038481732,39.343356689999865,38.66589628615169
101017.0,scenario_19,2050,88590.64524743764,88061.29356833108,529.3516791065631,2859557.770533654,135103.84375,529.3516791065631,31761.100746393786,0.23508658129050297,39.343356689999865,39.10827010870936
101018.0,scenario_19,2050,88590.64524743764,88539.94258668629,50.702660751354415,273895.77337881655,135103.84375,50.702660751354415,3042.159645081265,0.022517195370921967,39.343356689999865,39.32083949462894
101019.0,scenario_19,2050,88590.64524743764,88559.87560785029,30.769639587349957,166217.59305086447,135103.84375,30.769639587349957,1846.1783752409974,0.013664884166117571,39.343356689999865,39.32969180583375
101020.0,scenario_19,2050,88590.64524743764,88053.48340811142,537.1618393262179,2901748.256040229,135103.84375,537.1618393262179,32229.710359573073,0.2385550955841926,39.343356689999865,39.10480159441567
101021.0,scenario_19,2050,88590.64524743764,88120.65008067485,469.9951667627902,2538913.890852593,135103.84375,469.9951667627902,28199.71000576741,0.2087261858955616,39.343356689999865,39.1346305041043
101022.0,scenario_19,2050,88590.64524743764,88203.66651205426,386.9787353833817,2090459.128541028,135103.84375,386.9787353833817,23218.724123002903,0.17185835338606273,39.343356689999865,39.1714983366138
101023.0,scenario_19,2050,88590.64524743764,86378.21799800996,2212.427249427681,11951532.001408333,135103.84375,2212.427249427681,132745.63496566087,0.9825452132309216,39.343356689999865,38.360811476768944
101024.0,scenario_19,2050,88590.64524743764,87481.05434784698,1109.5908995906648,5994010.039588771,135103.84375,1109.5908995906648,66575.45397543989,0.4927724639621135,39.343356689999865,38.85058422603775
