origin,status_quo,dev_2
4,1044.510067427251,1022.3327747660114
2,1020.4426705354158,999.3724021133065
1,908.1324002352926,886.2754123394383
3,895.6686252102776,875.1688421859386
5,827.2068174906082,805.1033836098671
6,813.1505200443045,784.1543374914589
153,701.5205399850441,676.0393293562037
168,448.6873903260127,428.0856004094117
26,430.53003526739985,405.45420321790715
27,425.88415014366,401.78447020703334
28,414.7111491384424,395.57010880970194
7,373.78528474932074,337.2084560445145
169,288.51252525573574,263.6277759392598
41,284.5640785300722,261.6546702558881
29,244.15878805782037,223.83051065467967
23,190.8082523382833,166.93980392622643
24,187.8774696544,162.7964368176147
40,144.02033926091843,136.26621855459106
25,127.74723383956291,99.41070417297946
10,116.45432930202416,90.57622843079247
36,116.27443360863919,90.49893628932723
101,113.73124562651223,88.49733647658549
39,113.37877981613595,88.40946988762141
37,111.50871679543677,88.26262041102319
34,110.19073840811872,85.83714434740807
9,109.76276573688637,85.42452560381331
35,109.03107001299254,84.8998201715793
32,107.53544223443716,83.81756181790233
8,105.07868166650955,81.7509690869985
171,85.43367922572112,71.2476455758749
38,83.5018491538455,363.71415060071064
