run,case,case_type,scenario,source,n_links,total_flow,mean_link_tt_min_unweighted,median_link_tt_min_unweighted,p95_link_tt_min_unweighted,max_link_tt_min,mean_delay_min_unweighted,p95_delay_min_unweighted,max_delay_min,flow_weighted_link_tt_min,flow_weighted_delay_min,edge_max_delay
2iter_xscen_xdev_test,dev0,development,scenario_44,all_links,177,143001.18113216927,2.548114482148897,1.8610854101403376,6.2271446297782305,27.199114537306937,0.3210388455985456,1.2579804563513062,13.435915115254168,2.918145579834909,1.254581551980379,178
2iter_xscen_xdev_test,dev0,development,scenario_44,used_links,58,143001.18113216927,2.5143354501487503,1.8569996707466936,6.507447234075527,18.47558297146391,0.979721994326596,2.1938372269506354,13.435915115254168,2.918145579834909,1.254581551980379,178
2iter_xscen_xdev_test,dev103,development,scenario_44,all_links,177,146043.74761509625,2.56960198157723,1.8827387483584723,6.267125233802583,27.199114537306937,0.3348884111943537,1.3101486619156508,13.99269329080732,2.9800140347337756,1.3061762285331278,178
2iter_xscen_xdev_test,dev103,development,scenario_44,used_links,58,146043.74761509625,2.5799093708179743,1.8984277152025513,6.601874015168373,19.032361147017063,1.021987047955183,2.284780726362257,13.99269329080732,2.9800140347337756,1.3061762285331278,178
2iter_xscen_xdev_test,dev104,development,scenario_44,all_links,177,143858.45182896184,2.548076508192954,1.8688065158356433,6.251250913365255,27.199114537306937,0.32632898861228676,1.2765478546961901,13.63198709382242,2.9363423140394196,1.2759949704688032,178
2iter_xscen_xdev_test,dev104,development,scenario_44,used_links,58,143858.45182896187,2.514219564110788,1.865213803936906,6.541117754063745,18.671654950032163,0.9958660514547372,2.2262656850564633,13.63198709382242,2.9363423140394196,1.2759949704688032,178
2iter_xscen_xdev_test,dev109,development,scenario_44,all_links,177,147343.39577464527,2.5987726559604636,1.894596588840766,6.420425161646832,27.199114537306937,0.34345191585692586,1.3472182788239317,14.38743208497273,3.0304097067815454,1.348123117954129,178
2iter_xscen_xdev_test,dev109,development,scenario_44,used_links,58,147343.39577464524,2.668930221953014,1.9062099092373814,6.679849124721435,19.427099941182473,1.0481205018392392,2.3494673386772233,14.38743208497273,3.0304097067815454,1.348123117954129,178
2iter_xscen_xdev_test,dev114,development,scenario_44,all_links,177,144121.1739958491,2.555519741422942,1.8690528026222746,6.25201985234324,27.199114537306937,0.3283013343737281,1.2771521579494438,13.63979347541147,2.9413595919666182,1.278105685609142,178
2iter_xscen_xdev_test,dev114,development,scenario_44,used_links,58,144121.17399584915,2.536934258622992,1.865466589114499,6.5421917717626785,18.679461331621212,1.0018851066232737,2.22730008363323,13.63979347541147,2.9413595919666182,1.278105685609142,178
2iter_xscen_xdev_test,dev126,development,scenario_44,all_links,177,145798.5969906894,2.5808564815878583,1.8846514614529088,6.268618167784277,27.199114537306937,0.3357053637094593,1.314744289326279,14.0411163126434,2.991284128976017,1.314601837883838,178
2iter_xscen_xdev_test,dev126,development,scenario_44,used_links,58,145798.59699068943,2.614255000160754,1.8994761989162563,6.610215054265546,19.080784168853143,1.0244801616650743,2.292814075327952,14.0411163126434,2.991284128976017,1.314601837883838,178
2iter_xscen_xdev_test,dev12,development,scenario_44,all_links,177,143569.69665009153,2.5689450136751617,1.8714941270274699,6.249310485575947,27.199114537306937,0.32494685713249605,1.2750845209991946,13.61922565130235,2.948179476445758,1.274215855513733,178
