ID_edge,link_group,capacity,ffs,length_m,fftt_min,flow_status_quo_15iter,traffic_count_name,traffic_count_road,traffic_count_distance_m,traffic_count_dwv,traffic_count_dwv_per_hour,traffic_count_mspw,traffic_count_aspw,traffic_count_peak_hour_avg,model_vs_astra_peak_ratio_status_quo_15iter,model_minus_astra_peak_status_quo_15iter,model_vs_capacity_ratio_status_quo_15iter,traffic_count_source,notes,flow_cap_status_quo_15iter,link_tt_min_status_quo_15iter,delay_min_status_quo_15iter,traffic_count_mlocnr,traffic_count_direction,has_count_value,flow_status_quo_100iter,model_vs_astra_peak_ratio_status_quo_100iter,model_minus_astra_peak_status_quo_100iter,model_vs_capacity_ratio_status_quo_100iter,plot_label
63,critical_peak,2333.0,119.0,5114.75070314698,2.578865900746377,,RICHTERSWIL (AB),A 3,40.6148119849863,62323.0,2596.7916666666665,4461.0,5157.0,4809.0,,,,"ASTRA_traffic_count2025.gpkg; flat 1km buffer, edge 178 manually set to mlocnr 761",,,,,55,13.0,True,1796.3826272304923,0.3735459819568501,-3012.6173727695077,0.7699882671369448,"63
critical_peak"
67,critical_peak,2333.0,120.0,4872.77147040362,2.4363857352018097,2832.03485626888,LACHEN (AB),A 3,158.22440524061668,60680.0,2528.333333333333,4628.0,5540.0,5084.0,0.5570485555210228,-2251.96514373112,1.2139026387779168,"ASTRA_traffic_count2025.gpkg; flat 1km buffer, edge 178 manually set to mlocnr 761",,1.2139026387779168,3.3339256425628974,0.8975399073610877,308,13.0,True,1796.3826272304923,0.353340406614967,-3287.6173727695077,0.7699882671369448,"67
critical_peak"
68,critical_peak,2335.0,119.0,8865.80644588534,4.470154510530423,2832.03485626888,WANGEN SZ (AB),A 3,865.9805870684238,44500.0,1854.1666666666667,3279.0,4084.0,3681.5,0.7692611316770013,-849.46514373112,1.2128628934770365,"ASTRA_traffic_count2025.gpkg; flat 1km buffer, edge 178 manually set to mlocnr 761",,1.2128628934770365,6.114094508366343,1.6439399978359202,216,13.0,True,1796.3826272304923,0.4879485609752797,-1885.1173727695077,0.7693287482785834,"68
critical_peak"
98,critical_peak,1536.0,108.0,2007.6948653871616,1.115386036326201,3183.382487886169,USTER O,A 15,180.67019228271715,31148.0,1297.8333333333333,2293.0,2370.0,2331.5,1.365379578763101,851.8824878861692,2.0725146405508914,"ASTRA_traffic_count2025.gpkg; flat 1km buffer, edge 178 manually set to mlocnr 761",,2.0725146405508914,2.3131201691328527,1.1977341328066518,760,13.0,True,2905.604542137506,1.2462382767049136,574.1045421375061,1.8916696237874389,"98
critical_peak"
129,critical_peak,729.0,96.0,3327.5142290398862,2.079696393149929,2832.03485626888,JONA,A 15,20.58539698748987,27236.0,1134.8333333333333,2293.0,2625.0,2459.0,1.1517018528950305,373.0348562688801,3.884821476363347,"ASTRA_traffic_count2025.gpkg; flat 1km buffer, edge 178 manually set to mlocnr 761",,3.884821476363347,9.926306606479258,7.846610213329329,766,13.0,True,1796.3826272304923,0.7305338052991022,-662.6173727695077,2.4641736999046535,"129
critical_peak"
175,critical_peak,2200.0,100.0,5286.2980122217705,3.1717788073330624,2832.03485626888,ZUERICH BRUNAU (AB),A 3,689.7835337599229,59010.0,2458.75,3367.0,4487.0,3927.0,0.721170067804655,-1094.96514373112,1.2872885710313091,"ASTRA_traffic_count2025.gpkg; flat 1km buffer, edge 178 manually set to mlocnr 761",,1.2872885710313091,4.485776881115357,1.3139980737822947,221,13.0,True,1796.3826272304923,0.45744400998993945,-2130.6173727695077,0.816537557832042,"175
critical_peak"
176,critical_peak,2200.0,100.0,4439.9389635413945,2.663963378124837,2832.03485626888,BIRMENSDORF N (AB) - ZH1103,A 4,199.4140025932865,89224.0,3717.6666666666665,5883.0,6270.0,6076.5,0.4660634997562544,-3244.46514373112,1.2872885710313091,"ASTRA_traffic_count2025.gpkg; flat 1km buffer, edge 178 manually set to mlocnr 761",,1.2872885710313091,3.767584708650688,1.1036213305258509,301,13.0,True,1796.3826272304923,0.29562784945782805,-4280.117372769508,0.816537557832042,"176
critical_peak"
178,critical_peak,1000.0,80.0,6719.55714161299,5.039667856209742,3187.6622808953925,HINWIL N,H 340,2626.64806989428,17729.0,738.7083333333334,918.0,1093.0,1005.5,3.170226037688108,2182.1622808953925,3.1876622808953927,"ASTRA_traffic_count2025.gpkg; flat 1km buffer, edge 178 manually set to mlocnr 761",,3.1876622808953927,17.84192454157632,12.802256685366576,761,13.0,,2913.2545176758968,2.897319261736347,1907.7545176758968,2.9132545176758966,"178
critical_peak"
29,uncritical_validation,2391.0,98.0,2447.233413479223,1.4983061715178918,2832.03485626888,URDORF (AB),A 3,29.18589447956624,89936.0,3747.3333333333335,5609.0,5863.0,5736.0,0.4937299261277685,-2903.96514373112,1.184456234324082,"ASTRA_traffic_count2025.gpkg; flat 1km buffer, edge 178 manually set to mlocnr 761",,1.184456234324082,2.023813302173186,0.5255071306552943,194,13.0,True,1796.3826272304923,0.3131768875924847,-3939.6173727695077,0.751310174500415,"29
uncritical_validation"
35,uncritical_validation,2391.0,87.0,1834.4909824602885,1.2651661948001989,2898.940532482526,OPFIKON (AB),A 11,606.8850832553396,107252.0,4468.833333333333,6827.0,7106.0,6966.5,0.4161258210697662,-4067.559467517474,1.2124385330332603,"ASTRA_traffic_count2025.gpkg; flat 1km buffer, edge 178 manually set to mlocnr 761",,1.2124385330332603,1.7301170475446634,0.4649508527444645,241,13.0,True,2045.099303547515,0.2935619469672741,-4921.400696452485,0.8553322055823986,"35
uncritical_validation"
