ID_edge,link_group,capacity,flow_status_quo_15iter,traffic_count_peak_hour_avg,traffic_count_dwv_per_hour,traffic_count_name,traffic_count_distance_m,model_vs_astra_peak_ratio_status_quo_15iter,model_vs_capacity_ratio_status_quo_15iter,notes
63,critical_peak,2333.0,,4809.0,2596.7916666666665,RICHTERSWIL (AB),40.6148119849863,,,
67,critical_peak,2333.0,2832.03485626888,5084.0,2528.3333333333335,LACHEN (AB),158.22440524061668,0.5570485555210228,1.2139026387779168,
68,critical_peak,2335.0,2832.03485626888,3681.5,1854.1666666666667,WANGEN SZ (AB),865.9805870684238,0.7692611316770013,1.2128628934770365,
98,critical_peak,1536.0,3183.382487886169,2331.5,1297.8333333333333,USTER O,180.67019228271715,1.3653795787631007,2.0725146405508914,
129,critical_peak,729.0,2832.03485626888,2459.0,1134.8333333333333,JONA,20.58539698748987,1.1517018528950305,3.884821476363347,
175,critical_peak,2200.0,2832.03485626888,3927.0,2458.75,ZUERICH BRUNAU (AB),689.7835337599229,0.721170067804655,1.2872885710313091,
176,critical_peak,2200.0,2832.03485626888,6076.5,3717.6666666666665,BIRMENSDORF N (AB) - ZH1103,199.4140025932865,0.46606349975625444,1.2872885710313091,
178,critical_peak,1000.0,3187.6622808953925,1005.5,738.7083333333334,HINWIL N,2626.64806989428,3.1702260376881077,3.1876622808953927,
29,uncritical_validation,2391.0,2832.03485626888,5736.0,3747.3333333333335,URDORF (AB),29.18589447956624,0.4937299261277685,1.184456234324082,
35,uncritical_validation,2391.0,2898.940532482526,6966.5,4468.833333333333,OPFIKON (AB),606.8850832553396,0.4161258210697662,1.2124385330332605,
60,uncritical_validation,2338.0,2832.03485626888,4495.0,2446.3333333333335,ADLISWIL (AB),89.01359846218837,0.6300411248651568,1.2113066108934474,
64,uncritical_validation,2335.0,,4598.5,2400.7083333333335,"WOLLERAU, BLATTTUNNEL (AB)",131.7711861134583,,,
77,uncritical_validation,2391.0,826.840465584956,6966.5,4468.833333333333,OPFIKON (AB),12.706195536845227,0.1186880737220923,0.3458136618924952,
83,uncritical_validation,3262.0,3142.0037665857885,8961.5,5839.125,WALLISELLEN (AB),143.55386668703002,0.3506113671356122,0.963213907598341,
96,uncritical_validation,2333.0,3172.374455794695,4382.5,2375.375,NAENIKON,115.12249503195207,0.7238732357774547,1.3597833072416181,
102,uncritical_validation,3324.0,257.05263267283607,7486.0,4621.791666666667,"WINTERTHUR, KEMPTTHAL (AB)",523.1094149332502,0.0343377815486022,0.07733232029868714,
132,uncritical_validation,2343.0,2832.03485626888,3265.0,1437.2916666666667,SCHMERIKON (AB),51.16391513097371,0.8673919927316631,1.2087216629401965,
