ID_edge,capacity,ffs,length_m,fftt_min,flow_status_quo,flow_dev28,flow_dev109,flow_dev254,flow_dev267,traffic_count_flow,traffic_count_source,notes,length_m_geom,flow_cap_status_quo,flow_cap_dev28,flow_cap_dev109,flow_cap_dev254,flow_cap_dev267,delay_min_status_quo,delay_min_dev28,delay_min_dev109,delay_min_dev254,delay_min_dev267
32,2391.0,86.0,4235.803391000821,2.9552116681401075,2839.423778628626,3025.64901500972,2911.975756997349,3020.5342433831547,2998.0074326209296,,,,4235.803391000821,1.1875465406225956,1.2654324613173231,1.2178903207851732,1.2632932845600815,1.2538717827774697,1.0419092154013123,1.1830593804027,1.0958344752740197,1.1790629063005702,1.161541844066805
61,2333.0,120.0,8361.831024084971,4.1809155120424855,2839.423778628626,3025.64901500972,2911.975756997349,3020.5342433831547,2998.0074326209296,,,,8361.831024084971,1.2170697722368735,1.2968919910028804,1.248167919844556,1.2946996328260414,1.2850439059669652,1.5482545054392265,1.7580005904882148,1.6283862725075702,1.7520619166162206,1.7260259979944053
63,2333.0,119.0,5114.75070314698,2.578865900746377,2839.423778628626,3025.64901500972,2911.975756997349,3020.5342433831547,2998.0074326209296,,,,5114.75070314698,1.2170697722368735,1.2968919910028804,1.248167919844556,1.2946996328260414,1.2850439059669652,0.9549919720342804,1.0843672308717012,1.0044187258311177,1.0807041471523515,1.0646447117164977
67,2333.0,120.0,4872.77147040362,2.4363857352018097,2839.423778628626,3025.64901500972,2911.975756997349,3020.5342433831547,2998.0074326209296,,,,4872.77147040362,1.2170697722368735,1.2968919910028804,1.248167919844556,1.2946996328260414,1.2850439059669652,0.902229471188542,1.0244568561131735,0.9489254385333714,1.0209961546792252,1.0058239895038334
68,2335.0,119.0,8865.80644588534,4.470154510530423,2839.423778628626,3025.64901500972,2911.975756997349,3020.5342433831547,2998.0074326209296,,,,8865.80644588534,1.2160273141878486,1.2957811627450622,1.2470988252665307,1.2935906823910728,1.2839432259618542,1.6525294337876026,1.87640191595864,1.7380580747162364,1.87006327244967,1.8422738349204408
92,2166.0,97.0,2550.193392452562,1.577439211826327,3052.1646660426286,3161.7894572193354,3122.880648030273,3047.07704161846,3127.7215432906805,,,,2550.193392452562,1.4091249612385173,1.4597365915140053,1.441773152368547,1.4067761041636473,1.444008099395513,0.7830539002962229,0.8403140604061108,0.8197595961591022,0.7804455457448032,0.8223030466150865
98,1536.0,108.0,2007.6948653871616,1.115386036326201,3197.1696868749177,3217.852775989524,3279.74775320606,3064.644528243112,3224.2147042862634,,,,2007.6948653871616,2.081490681559192,2.09495623436818,2.135252443493529,1.995211281408276,2.0990981147697028,1.208131349335594,1.223813165741365,1.2713457246826108,1.110051160936654,1.2286570841606876
129,729.0,96.0,3327.5142290398862,2.079696393149929,2839.423778628626,3025.64901500972,2911.975756997349,3020.5342433831547,2998.0074326209296,,,,3327.5142290398862,3.894957172330077,4.150410171481098,3.994479776402399,4.143394023845206,4.11249304886273,7.887608033173079,8.956162911939387,8.295840637967805,8.925908240259393,8.793267824777953
174,2200.0,100.0,6978.5477473254405,4.187128648395264,2839.423778628626,3025.64901500972,2911.975756997349,3020.5342433831547,2998.0074326209296,,,,6978.5477473254405,1.290647172103921,1.3752950068226,1.323625344089704,1.3729701106287069,1.3627306511913315,1.7436984507668427,1.9799218379873915,1.8339456534091771,1.973233495474048,1.943910932028789
175,2200.0,100.0,5286.2980122217705,3.1717788073330624,2839.423778628626,3025.64901500972,2911.975756997349,3020.5342433831547,2998.0074326209296,,,,5286.2980122217705,1.290647172103921,1.3752950068226,1.323625344089704,1.3729701106287069,1.3627306511913315,1.3208635933938648,1.4998044371794317,1.3892264713464568,1.4947379716319409,1.472525927741673
176,2200.0,100.0,4439.9389635413945,2.663963378124837,2839.423778628626,3025.64901500972,2911.975756997349,3020.5342433831547,2998.0074326209296,,,,4439.9389635413945,1.290647172103921,1.3752950068226,1.323625344089704,1.3729701106287069,1.3627306511913315,1.1093876509182867,1.2596792959703973,1.166805338074742,1.2554239933484608,1.2367681932213617
178,1000.0,80.0,6719.55714161299,5.039667856209742,3202.17025449521,3222.9023908173044,3282.099719255203,3064.557558386363,3225.560473065701,,,,6719.55714161299,3.20217025449521,3.222902390817304,3.282099719255203,3.0645575583863627,3.225560473065701,12.919055425022488,13.086883271451168,13.572050516535548,11.832526582931962,13.108478934451394
