development,component,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,n_positive,n_negative
0,access_only,10,355.77874933407276,339.27064727774996,87.17963308631356,213.08885426168672,486.95449788730184,10,0
0,destination_access,10,146.13639062473302,139.32267269354452,35.65731993636506,87.77321422265231,199.71064685312012,10,0
0,network,10,8716.04907188906,6293.046151496354,6436.790510103042,1524.8466469386767,20058.80853419844,10,0
0,origin_access,10,209.6423587093397,199.94797458420544,51.52291409511209,125.3156400390344,287.2438510341817,10,0
0,total,10,9071.8278212231,6632.31679877406,6521.5953061439,1737.9355012003798,20545.763032085495,10,0
103,access_only,10,1034.4416780755134,986.8639538311727,255.85759505673445,615.6598892480943,1420.3406353855353,10,0
103,destination_access,10,197.4967596232447,188.2420807807066,47.9768816340528,118.97365910804,269.4783835323651,10,0
103,network,10,-19132.964283879395,-14904.447658147517,11768.267863661828,-39622.03108554939,-5359.434296155669,0,10
103,origin_access,10,836.9449184522688,798.6218730504661,207.88703207170866,496.68623014005425,1150.8622518531702,10,0
103,total,10,-18098.522605803875,-13917.583704316407,11518.358174041901,-38201.69045016379,-4743.774406907556,0,10
104,access_only,10,240.1924207273327,229.04229751020284,58.859125219104584,143.85230987873183,328.75414810460643,10,0
104,destination_access,10,95.41349260853949,90.9815777187614,23.380365461163382,57.14655306694658,130.59290282418806,10,0
104,network,10,-48.305690389833764,-91.0081675054389,90.29459641432288,-118.36771806425531,119.86479495163076,3,7
104,origin_access,10,144.7789281187932,138.06071979144144,35.478760099161526,86.70575681178525,198.16124528041837,10,0
104,total,10,191.88673033750965,138.03413000470027,146.69322179155466,25.484591814456508,448.6189430563245,10,0
109,access_only,10,333.0315172184379,317.71593417063923,83.455390905751,196.4575977423083,459.0249591741158,10,0
109,destination_access,10,16.000822057523692,15.19501643226431,3.617476303774729,10.1007028159147,21.275682924766443,10,0
109,network,10,-37701.01692723129,-28807.215908815415,24402.937158777764,-80354.05603358056,-9530.749327753205,0,10
109,origin_access,10,317.0306951609142,302.52389738054444,79.85001355982446,186.3568949263936,437.74927624934935,10,0
109,total,10,-37367.98541001288,-28489.49997464486,24321.489246908033,-79895.03107440658,-9334.291730010882,0,10
114,access_only,10,1027.4041324222376,980.0191658936928,253.2267949162873,612.9011693451521,1409.0196754352073,10,0
114,destination_access,10,548.0765130533779,522.6951030938726,134.57386694468295,327.79720714770156,750.6526025110506,10,0
114,network,10,-1911.0669066686678,-1631.5999708480958,868.0258220191353,-3385.863673426211,-800.3624802105187,0,10
114,origin_access,10,479.32761936885964,457.32406279982024,118.65452929155201,285.1039621974505,658.3670729241567,10,0
114,total,10,-883.6627742464655,-651.5808049544576,619.7005805235037,-1976.8439979911784,-187.46131086535752,0,10
12,access_only,10,-161.58212596354133,-154.2357174483168,40.248293285970696,-222.47559238723625,-95.72998546825693,0,10
12,destination_access,10,-234.1617097032851,-223.4443457727739,58.15036047790422,-321.99534502292954,-138.99715929102422,0,10
12,network,10,-422.9305669373833,-727.9342424515344,608.5781195377664,-870.9587223370327,728.800718084909,3,7
12,origin_access,10,72.5795837397438,69.2086283244571,17.90560051986577,43.26717382276729,99.5197526356933,10,0
12,total,10,-584.5126929009566,-874.000053268217,571.9077297481285,-1003.0109958337852,506.3251256975346,2,8
126,access_only,10,75.97023408618152,72.37182967311492,18.787259413916505,45.220801300423815,104.19513295602883,10,0
126,destination_access,10,-201.0471306989266,-191.8229967550269,49.781926843096755,-276.1805245753676,-119.56656153631228,0,10
126,network,10,-20979.494358313972,-16202.024500109517,13207.237043853811,-44012.164406712865,-5618.690133620723,0,10
126,origin_access,10,277.0173647851081,264.2399731638361,68.56542873166222,164.7873628367361,380.3756575313964,10,0
