development,scenario,tts_annual,access_only_minutes,cost_annual,mode,value_mode,cost_annual_negative,net_annual
114,scenario_96,258156.76247160565,923.0185920772492,-12729084.995042378,Road,access_only_integrated_proxy,12729084.995042378,12987241.757513983
12,scenario_100,-39379.54253726665,-140.79836437905396,-32216670.969968505,Road,access_only_integrated_proxy,32216670.969968505,32177291.427431237
12,scenario_19,-59418.30119651394,-212.44532271379285,-32089580.055603694,Road,access_only_integrated_proxy,32089580.055603694,32030161.75440718
12,scenario_26,-26774.480310653107,-95.72998546825693,-32295759.52178288,Road,access_only_integrated_proxy,32295759.52178288,32268985.041472226
12,scenario_44,-45577.44894255876,-162.9584766661319,-32178012.345363468,Road,access_only_integrated_proxy,32178012.345363468,32132434.89642091
12,scenario_64,-56929.60947739209,-203.54720707000524,-32108907.896022864,Road,access_only_integrated_proxy,32108907.896022864,32051978.28654547
12,scenario_70,-36933.3702436291,-132.05227349677443,-32230971.375199042,Road,access_only_integrated_proxy,32230971.375199042,32194038.004955415
12,scenario_75,-45753.99792817047,-163.5897132627324,-32177370.44287447,Road,access_only_integrated_proxy,32177370.44287447,32131616.4449463
12,scenario_78,-62223.64224580513,-222.47559238723625,-32074590.06645401,Road,access_only_integrated_proxy,32074590.06645401,32012366.4242082
12,scenario_89,-38236.46016719695,-136.71136596092765,-32224765.60320785,Road,access_only_integrated_proxy,32224765.60320785,32186529.143040653
12,scenario_96,-40698.15550509344,-145.51295823050168,-32209815.60820799,Road,access_only_integrated_proxy,32209815.60820799,32169117.452702895
126,scenario_100,18578.17704960128,66.42476710471965,-29692779.412252326,Road,access_only_integrated_proxy,29692779.412252326,29711357.589301925
126,scenario_19,28215.7155507641,100.88300532116773,-29317000.982790362,Road,access_only_integrated_proxy,29317000.982790362,29345216.698341127
126,scenario_26,12647.69286371229,45.220801300423815,-29926735.82866355,Road,access_only_integrated_proxy,29926735.82866355,29939383.521527264
126,scenario_44,21489.94521688808,76.83555831736521,-29578534.96539757,Road,access_only_integrated_proxy,29578534.96539757,29600024.910614457
126,scenario_64,26432.02377551641,94.50555986776817,-29375051.005143344,Road,access_only_integrated_proxy,29375051.005143344,29401483.028918862
126,scenario_70,17593.269501813917,62.90330995061959,-29734815.931808155,Road,access_only_integrated_proxy,29734815.931808155,29752409.201309968
126,scenario_75,21464.69126160909,76.74526484597664,-29576746.456194673,Road,access_only_integrated_proxy,29576746.456194673,29598211.14745628
126,scenario_78,29142.076248639318,104.19513295602883,-29273463.311729264,Road,access_only_integrated_proxy,29273463.311729264,29302605.3879779
126,scenario_89,17897.3560294549,63.99054669749239,-29716960.45330621,Road,access_only_integrated_proxy,29716960.45330621,29734857.809335664
126,scenario_96,19018.30096178956,67.9983945002532,-29672918.920494974,Road,access_only_integrated_proxy,29672918.920494974,29691937.221456762
140,scenario_100,44159.19901832246,157.88763894819203,-18188085.388157435,Road,access_only_integrated_proxy,18188085.388157435,18232244.587175757
140,scenario_19,66505.20978396207,237.7839902890264,-18170736.192939714,Road,access_only_integrated_proxy,18170736.192939714,18237241.402723677
140,scenario_26,30287.96772273317,108.29217509804039,-18198704.75005211,Road,access_only_integrated_proxy,18198704.75005211,18228992.717774842
140,scenario_44,50908.64711736714,182.01974388332383,-18182897.81147124,Road,access_only_integrated_proxy,18182897.81147124,18233806.458588608
140,scenario_64,62829.1548779888,224.640553753703,-18173662.805590145,Road,access_only_integrated_proxy,18173662.805590145,18236491.960468136
140,scenario_70,41736.21900764686,149.22447019493848,-18189940.978326377,Road,access_only_integrated_proxy,18189940.978326377,18231677.197334025
140,scenario_75,50992.33751641497,182.3189721257295,-18182837.77012158,Road,access_only_integrated_proxy,18182837.77012158,18233830.107637998
140,scenario_78,68903.63321111078,246.35935896709998,-18168923.022829473,Road,access_only_integrated_proxy,18168923.022829473,18237826.656040583
140,scenario_89,42665.907354329756,152.54849556855334,-18189257.75657978,Road,access_only_integrated_proxy,18189257.75657978,18231923.663934108
140,scenario_96,45232.48484790739,161.72508548972473,-18187288.33070343,Road,access_only_integrated_proxy,18187288.33070343,18232520.815551337
143,scenario_100,-942.0116180154878,-3.3680862320106826,-19251285.1333717,Road,access_only_integrated_proxy,19251285.1333717,19250343.121753685
143,scenario_19,-1418.9032347506782,-5.073173576762201,-19248597.70044168,Road,access_only_integrated_proxy,19248597.70044168,19247178.79720693
143,scenario_26,-645.6564174387523,-2.3084922187754273,-19252522.16000053,Road,access_only_integrated_proxy,19252522.16000053,19251876.503583092
143,scenario_44,-1086.3027103668742,-3.8839873443284887,-19250589.137470525,Road,access_only_integrated_proxy,19250589.137470525,19249502.83476016
143,scenario_64,-1341.8137791409265,-4.797546472906106,-19249102.534077466,Road,access_only_integrated_proxy,19249102.534077466,19247760.720298324
143,scenario_70,-889.8196016096507,-3.181477905196516,-19251501.809584737,Road,access_only_integrated_proxy,19251501.809584737,19250611.989983127
143,scenario_75,-1088.207102050325,-3.890796342526301,-19250582.34259336,Road,access_only_integrated_proxy,19250582.34259336,19249494.13549131
143,scenario_78,-1471.1381004268674,-5.259935107671481,-19248256.7095231,Road,access_only_integrated_proxy,19248256.7095231,19246785.571422674
143,scenario_89,-910.4555200844686,-3.255259960078547,-19251430.188052118,Road,access_only_integrated_proxy,19251430.188052118,19250519.73253203
143,scenario_96,-965.5038917610625,-3.45208095378257,-19251179.493634004,Road,access_only_integrated_proxy,19251179.493634004,19250213.98974224
144,scenario_100,-206477.43048288493,-738.2433268661807,-36305475.36518279,Road,access_only_integrated_proxy,36305475.36518279,36098997.9346999
144,scenario_19,-311394.22138826153,-1113.3648139021643,-36081617.77234089,Road,access_only_integrated_proxy,36081617.77234089,35770223.55095263
144,scenario_26,-141004.88025555445,-504.1515271706976,-36444486.45917758,Road,access_only_integrated_proxy,36444486.45917758,36303481.578922026
144,scenario_44,-238472.0468518541,-852.6374859507632,-36237449.945958555,Road,access_only_integrated_proxy,36237449.945958555,35998977.8991067
144,scenario_64,-295663.84273345413,-1057.1221192704506,-36115657.06119811,Road,access_only_integrated_proxy,36115657.06119811,35819993.21846465
144,scenario_70,-194571.32660869483,-695.6740169249424,-36330651.8425671,Road,access_only_integrated_proxy,36330651.8425671,36136080.515958406
144,scenario_75,-239005.0502042846,-854.5431962611293,-36236329.06491196,Road,access_only_integrated_proxy,36236329.06491196,35997324.01470768
144,scenario_78,-323965.55995497474,-1158.3126165987924,-36055068.45579456,Road,access_only_integrated_proxy,36055068.45579456,35731102.89583959
144,scenario_89,-199832.65330197802,-714.4854643199214,-36319705.91702391,Road,access_only_integrated_proxy,36319705.91702391,36119873.263721935
144,scenario_96,-212242.70149126663,-758.8565863374897,-36293385.51843983,Road,access_only_integrated_proxy,36293385.51843983,36081142.81694856
15,scenario_100,58432.126681722744,208.91933562180202,-12992701.973458076,Road,access_only_integrated_proxy,12992701.973458076,13051134.100139799
