development,score_id,value,value_mode,development_label,value_mio_chf
101003,rail_noise_cost,,standalone_annual_proxy,X3 (101003),
101003,rail_operation_cost,8286864.190406665,standalone_annual_proxy,X3 (101003),8.286864190406666
101003,rail_tts_cost,5670049.278099442,standalone_annual_proxy,X3 (101003),5.670049278099442
101004,rail_accident_cost,,standalone_annual_proxy,X4 (101004),
101004,rail_airpollution_cost,,standalone_annual_proxy,X4 (101004),
101004,rail_co2_cost,,standalone_annual_proxy,X4 (101004),
101004,rail_construction_cost,1583300.0,standalone_annual_proxy,X4 (101004),1.5833
101004,rail_land_consumption_cost,,standalone_annual_proxy,X4 (101004),
101004,rail_maint_cost,1234974.0,standalone_annual_proxy,X4 (101004),1.234974
101004,rail_noise_cost,,standalone_annual_proxy,X4 (101004),
101004,rail_operation_cost,7895035.997189831,standalone_annual_proxy,X4 (101004),7.895035997189831
101004,rail_tts_cost,1410109.4316918994,standalone_annual_proxy,X4 (101004),1.4101094316918994
101005,rail_accident_cost,,standalone_annual_proxy,X5 (101005),
101005,rail_airpollution_cost,,standalone_annual_proxy,X5 (101005),
101005,rail_co2_cost,,standalone_annual_proxy,X5 (101005),
101005,rail_construction_cost,1622750.0,standalone_annual_proxy,X5 (101005),1.62275
101005,rail_land_consumption_cost,,standalone_annual_proxy,X5 (101005),
101005,rail_maint_cost,1457895.0,standalone_annual_proxy,X5 (101005),1.457895
101005,rail_noise_cost,,standalone_annual_proxy,X5 (101005),
101005,rail_operation_cost,3806954.046847058,standalone_annual_proxy,X5 (101005),3.806954046847058
101005,rail_tts_cost,145506.54996556474,standalone_annual_proxy,X5 (101005),0.14550654996556475
101006,rail_accident_cost,,standalone_annual_proxy,X6 (101006),
101006,rail_airpollution_cost,,standalone_annual_proxy,X6 (101006),
101006,rail_co2_cost,,standalone_annual_proxy,X6 (101006),
101006,rail_construction_cost,1622750.0,standalone_annual_proxy,X6 (101006),1.62275
101006,rail_land_consumption_cost,,standalone_annual_proxy,X6 (101006),
101006,rail_maint_cost,1457895.0,standalone_annual_proxy,X6 (101006),1.457895
101006,rail_noise_cost,,standalone_annual_proxy,X6 (101006),
101006,rail_operation_cost,2758437.9295488927,standalone_annual_proxy,X6 (101006),2.7584379295488928
101006,rail_tts_cost,3992796.385450677,standalone_annual_proxy,X6 (101006),3.992796385450677
101007,rail_accident_cost,,standalone_annual_proxy,X7 (101007),
101007,rail_airpollution_cost,,standalone_annual_proxy,X7 (101007),
101007,rail_co2_cost,,standalone_annual_proxy,X7 (101007),
101007,rail_construction_cost,1622750.0,standalone_annual_proxy,X7 (101007),1.62275
101007,rail_land_consumption_cost,,standalone_annual_proxy,X7 (101007),
101007,rail_maint_cost,1457895.0,standalone_annual_proxy,X7 (101007),1.457895
101007,rail_noise_cost,,standalone_annual_proxy,X7 (101007),
101007,rail_operation_cost,2864178.3156979834,standalone_annual_proxy,X7 (101007),2.864178315697983
101007,rail_tts_cost,11495981.384452367,standalone_annual_proxy,X7 (101007),11.495981384452367
101008,rail_accident_cost,,standalone_annual_proxy,X8 (101008),
101008,rail_airpollution_cost,,standalone_annual_proxy,X8 (101008),
101008,rail_co2_cost,,standalone_annual_proxy,X8 (101008),
101008,rail_construction_cost,1622750.0,standalone_annual_proxy,X8 (101008),1.62275
101008,rail_land_consumption_cost,,standalone_annual_proxy,X8 (101008),
101008,rail_maint_cost,1457895.0,standalone_annual_proxy,X8 (101008),1.457895
101008,rail_noise_cost,,standalone_annual_proxy,X8 (101008),
101008,rail_operation_cost,2348724.399368907,standalone_annual_proxy,X8 (101008),2.3487243993689066
101008,rail_tts_cost,6301160.916929131,standalone_annual_proxy,X8 (101008),6.301160916929131
101009,rail_accident_cost,,standalone_annual_proxy,X9 (101009),
101009,rail_airpollution_cost,,standalone_annual_proxy,X9 (101009),
101009,rail_co2_cost,,standalone_annual_proxy,X9 (101009),
101009,rail_construction_cost,457500.0,standalone_annual_proxy,X9 (101009),0.4575
101009,rail_land_consumption_cost,,standalone_annual_proxy,X9 (101009),
101009,rail_maint_cost,549000.0,standalone_annual_proxy,X9 (101009),0.549
101009,rail_noise_cost,,standalone_annual_proxy,X9 (101009),
101009,rail_operation_cost,6029353.94372662,standalone_annual_proxy,X9 (101009),6.02935394372662
101009,rail_tts_cost,190934.8499241089,standalone_annual_proxy,X9 (101009),0.1909348499241089
101010,rail_accident_cost,,standalone_annual_proxy,X10 (101010),
101010,rail_airpollution_cost,,standalone_annual_proxy,X10 (101010),
101010,rail_co2_cost,,standalone_annual_proxy,X10 (101010),
101010,rail_construction_cost,457500.0,standalone_annual_proxy,X10 (101010),0.4575
101010,rail_land_consumption_cost,,standalone_annual_proxy,X10 (101010),
101010,rail_maint_cost,549000.0,standalone_annual_proxy,X10 (101010),0.549
101010,rail_noise_cost,,standalone_annual_proxy,X10 (101010),
101010,rail_operation_cost,3678039.6755888616,standalone_annual_proxy,X10 (101010),3.6780396755888614
101010,rail_tts_cost,6926881.869577838,standalone_annual_proxy,X10 (101010),6.926881869577838
101011,rail_accident_cost,,standalone_annual_proxy,X11 (101011),
101011,rail_airpollution_cost,,standalone_annual_proxy,X11 (101011),
101011,rail_co2_cost,,standalone_annual_proxy,X11 (101011),
101011,rail_construction_cost,457500.0,standalone_annual_proxy,X11 (101011),0.4575
101011,rail_land_consumption_cost,,standalone_annual_proxy,X11 (101011),
101011,rail_maint_cost,549000.0,standalone_annual_proxy,X11 (101011),0.549
101011,rail_noise_cost,,standalone_annual_proxy,X11 (101011),
101011,rail_operation_cost,6382115.932128592,standalone_annual_proxy,X11 (101011),6.382115932128593
101011,rail_tts_cost,9898181.004934072,standalone_annual_proxy,X11 (101011),9.898181004934072
101012,rail_accident_cost,,standalone_annual_proxy,X12 (101012),
101012,rail_airpollution_cost,,standalone_annual_proxy,X12 (101012),
101012,rail_co2_cost,,standalone_annual_proxy,X12 (101012),
101012,rail_construction_cost,457500.0,standalone_annual_proxy,X12 (101012),0.4575
101012,rail_land_consumption_cost,,standalone_annual_proxy,X12 (101012),
101012,rail_maint_cost,549000.0,standalone_annual_proxy,X12 (101012),0.549
101012,rail_noise_cost,,standalone_annual_proxy,X12 (101012),
101012,rail_operation_cost,4781397.43325049,standalone_annual_proxy,X12 (101012),4.78139743325049
101012,rail_tts_cost,11396122.95774811,standalone_annual_proxy,X12 (101012),11.39612295774811
101013,rail_accident_cost,,standalone_annual_proxy,X13 (101013),
101013,rail_airpollution_cost,,standalone_annual_proxy,X13 (101013),
101013,rail_co2_cost,,standalone_annual_proxy,X13 (101013),
101013,rail_construction_cost,1018025.0,standalone_annual_proxy,X13 (101013),1.018025
101013,rail_land_consumption_cost,,standalone_annual_proxy,X13 (101013),
101013,rail_maint_cost,794059.5,standalone_annual_proxy,X13 (101013),0.7940595
101013,rail_noise_cost,,standalone_annual_proxy,X13 (101013),
101013,rail_operation_cost,2672944.478542223,standalone_annual_proxy,X13 (101013),2.672944478542223
101013,rail_tts_cost,4912866.588425317,standalone_annual_proxy,X13 (101013),4.912866588425317
101014,rail_accident_cost,,standalone_annual_proxy,X14 (101014),
101014,rail_airpollution_cost,,standalone_annual_proxy,X14 (101014),
101014,rail_co2_cost,,standalone_annual_proxy,X14 (101014),
101014,rail_construction_cost,1018025.0,standalone_annual_proxy,X14 (101014),1.018025
101014,rail_land_consumption_cost,,standalone_annual_proxy,X14 (101014),
101014,rail_maint_cost,794059.5,standalone_annual_proxy,X14 (101014),0.7940595
101014,rail_noise_cost,,standalone_annual_proxy,X14 (101014),
101014,rail_operation_cost,3637776.376419882,standalone_annual_proxy,X14 (101014),3.6377763764198816
101014,rail_tts_cost,5073922.224607079,standalone_annual_proxy,X14 (101014),5.073922224607079
101015,rail_accident_cost,,standalone_annual_proxy,X15 (101015),
101015,rail_airpollution_cost,,standalone_annual_proxy,X15 (101015),
101015,rail_co2_cost,,standalone_annual_proxy,X15 (101015),
101015,rail_construction_cost,457500.0,standalone_annual_proxy,X15 (101015),0.4575
101015,rail_land_consumption_cost,,standalone_annual_proxy,X15 (101015),
101015,rail_maint_cost,549000.0,standalone_annual_proxy,X15 (101015),0.549
101015,rail_noise_cost,,standalone_annual_proxy,X15 (101015),
101015,rail_operation_cost,3141343.089817573,standalone_annual_proxy,X15 (101015),3.141343089817573
101015,rail_tts_cost,3329618.6884598657,standalone_annual_proxy,X15 (101015),3.3296186884598655
101016,rail_accident_cost,,standalone_annual_proxy,X16 (101016),
101016,rail_airpollution_cost,,standalone_annual_proxy,X16 (101016),
101016,rail_co2_cost,,standalone_annual_proxy,X16 (101016),
101016,rail_construction_cost,457500.0,standalone_annual_proxy,X16 (101016),0.4575
101016,rail_land_consumption_cost,,standalone_annual_proxy,X16 (101016),
101016,rail_maint_cost,549000.0,standalone_annual_proxy,X16 (101016),0.549
101016,rail_noise_cost,,standalone_annual_proxy,X16 (101016),
101016,rail_operation_cost,1845066.0495133616,standalone_annual_proxy,X16 (101016),1.8450660495133617
101016,rail_tts_cost,8410921.902827825,standalone_annual_proxy,X16 (101016),8.410921902827825
101017,rail_accident_cost,,standalone_annual_proxy,X17 (101017),
101017,rail_airpollution_cost,,standalone_annual_proxy,X17 (101017),
101017,rail_co2_cost,,standalone_annual_proxy,X17 (101017),
101017,rail_construction_cost,1583300.0,standalone_annual_proxy,X17 (101017),1.5833
101017,rail_land_consumption_cost,,standalone_annual_proxy,X17 (101017),
101017,rail_maint_cost,1234974.0,standalone_annual_proxy,X17 (101017),1.234974
101017,rail_noise_cost,,standalone_annual_proxy,X17 (101017),
101017,rail_operation_cost,9328074.887254942,standalone_annual_proxy,X17 (101017),9.328074887254942
101017,rail_tts_cost,2918488.165226587,standalone_annual_proxy,X17 (101017),2.918488165226587
