mode,development,scenario_count,tts_median_chf,tts_mean_chf,cost_median_chf_negative,cost_mean_chf_negative,bcr_median,bcr_mean,bcr_std,cost_median_chf_magnitude,cost_mean_chf_magnitude,tts_median_mio_chf,cost_median_mio_chf_negative,cost_median_mio_chf_magnitude,net_median_mio_chf,development_label,ranking_label
Rail,100000,100,5886527.116657844,6094070.04283439,-1329118.6567644724,-1329118.6567644724,4.42889510782104,4.585045896255367,1.2162954106099575,1329118.6567644724,1329118.6567644724,5.8865271166578435,-1.3291186567644724,1.3291186567644724,4.557408459893371,G (100000),Rail G (100000)
Rail,100001,100,18635895.53786586,19293614.17747616,-1733979.1735291178,-1733979.1735291176,10.74747368501362,11.126785414733918,2.948419982625977,1733979.1735291178,1733979.1735291176,18.63589553786586,-1.733979173529118,1.733979173529118,16.901916364336742,G (100001),Rail G (100001)
Rail,100002,100,6901938.45192276,7144232.181746602,-3067252.32034274,-3067252.32034274,2.2502023736839254,2.3291961128741745,0.6115313604827085,3067252.32034274,3067252.32034274,6.90193845192276,-3.06725232034274,3.06725232034274,3.83468613158002,G (100002),Rail G (100002)
Rail,100003,100,2151065.6526237326,2226754.008611846,-2774510.5740684397,-2774510.5740684397,0.7752955323826678,0.8025754269685901,0.21172255772941495,2774510.5740684397,2774510.5740684397,2.1510656526237324,-2.7745105740684397,2.7745105740684397,-0.6234449214447073,P (100003),Rail P (100003)
Rail,100004,100,2378995.9166333373,2462981.4607788357,-2911394.2428421606,-2911394.2428421606,0.8171328642564446,0.8459800546883077,0.22468724686973898,2911394.2428421606,2911394.2428421606,2.3789959166333374,-2.9113942428421606,2.9113942428421606,-0.5323983262088232,P (100004),Rail P (100004)
Rail,100005,100,7063413.027787036,7311554.957253001,-3394544.7283522543,-3394544.7283522543,2.0808130671519205,2.1539132762590234,0.5659438422178414,3394544.7283522543,3394544.7283522543,7.063413027787036,-3.3945447283522543,3.3945447283522543,3.668868299434782,P (100005),Rail P (100005)
Rail,101000,100,7638607.08419761,7904728.629864534,-10994899.813432481,-10994899.813432481,0.6947409447847369,0.7189450348794737,0.18833782298749208,10994899.813432481,10994899.813432481,7.638607084197609,-10.99489981343248,10.99489981343248,-3.3562927292348714,X0 (101000),Rail X0 (101000)
Rail,101001,100,17150623.443907842,17743614.7842129,-13785498.359514862,-13785498.35951486,1.2441061611726458,1.2871217508046136,0.3356865969416215,13785498.359514862,13785498.35951486,17.150623443907843,-13.785498359514863,13.785498359514863,3.3651250843929805,X1 (101001),Rail X1 (101001)
Rail,101002,100,7426478.30542979,7686582.156515543,-13247927.074041102,-13247927.074041102,0.5605766293793798,0.5802101803215055,0.15292622633767405,13247927.074041102,13247927.074041102,7.42647830542979,-13.247927074041103,13.247927074041103,-5.8214487686113126,X2 (101002),Rail X2 (101002)
Rail,101003,100,7107739.922231277,7357381.521083192,-12739558.407882292,-12739558.407882292,0.5579267110101349,0.5775224921870911,0.15173551427869222,12739558.407882292,12739558.407882292,7.107739922231278,-12.739558407882292,12.739558407882292,-5.6318184856510145,X3 (101003),Rail X3 (101003)
