development,score_id,value,value_mode,development_label,value_mio_chf
143,road_ecological_disruption_cost,-178871.23829781247,standalone_annual_proxy,143,-0.17887123829781246
143,road_land_consumption_cost,-19179.10107905444,standalone_annual_proxy,143,-0.019179101079054437
143,road_maint_cost,-5308156.610404499,standalone_annual_proxy,143,-5.308156610404499
143,road_noise_cost,-3197555.396844733,standalone_annual_proxy,143,-3.197555396844733
143,road_tts_cost,-22091.32529277913,standalone_annual_proxy,143,-0.02209132529277913
144,road_accident_cost,,standalone_annual_proxy,144,
144,road_airpollution_cost,,standalone_annual_proxy,144,
144,road_climate_cost,-263718.86861525127,standalone_annual_proxy,144,-0.2637188686152513
144,road_co2_cost,,standalone_annual_proxy,144,
144,road_construction_cost,-4030940.850652282,standalone_annual_proxy,144,-4.030940850652282
144,road_ecological_disruption_cost,-862725.9310840092,standalone_annual_proxy,144,-0.8627259310840092
144,road_land_consumption_cost,-39948.51793234333,standalone_annual_proxy,144,-0.03994851793234333
144,road_maint_cost,-2281414.7470150813,standalone_annual_proxy,144,-2.281414747015081
144,road_noise_cost,-30395216.09078937,standalone_annual_proxy,144,-30.39521609078937
144,road_tts_cost,-3360981.833910909,standalone_annual_proxy,144,-3.360981833910909
15,road_accident_cost,,standalone_annual_proxy,15,
15,road_airpollution_cost,,standalone_annual_proxy,15,
15,road_climate_cost,-148243.3115845066,standalone_annual_proxy,15,-0.1482433115845066
15,road_co2_cost,,standalone_annual_proxy,15,
15,road_construction_cost,-4878765.572749263,standalone_annual_proxy,15,-4.878765572749263
15,road_ecological_disruption_cost,-435157.1500357672,standalone_annual_proxy,15,-0.43515715003576716
15,road_land_consumption_cost,-7564.816580049666,standalone_annual_proxy,15,-0.0075648165800496665
15,road_maint_cost,-2534637.646489866,standalone_annual_proxy,15,-2.534637646489866
15,road_noise_cost,-5523292.165796165,standalone_annual_proxy,15,-5.523292165796166
15,road_tts_cost,1329093.5805433989,standalone_annual_proxy,15,1.3290935805433988
150,road_accident_cost,,standalone_annual_proxy,150,
150,road_airpollution_cost,,standalone_annual_proxy,150,
150,road_climate_cost,-238667.54975225625,standalone_annual_proxy,150,-0.23866754975225626
150,road_co2_cost,,standalone_annual_proxy,150,
150,road_construction_cost,-13040428.421298534,standalone_annual_proxy,150,-13.040428421298534
150,road_ecological_disruption_cost,-493804.2937146368,standalone_annual_proxy,150,-0.4938042937146368
150,road_land_consumption_cost,-103273.58433715378,standalone_annual_proxy,150,-0.10327358433715378
150,road_maint_cost,-6544685.522982683,standalone_annual_proxy,150,-6.544685522982683
