mode,development,score_id,value_mio_chf,development_label,ranking_label,ranking_label_short,bcr_median,plot_group,plot_order
Rail,100000,rail_accident_cost,-0.01994781541306757,G (100000),Rail G (100000),G (100000),4.42889510782104,Rail top 10,1
Rail,100000,rail_airpollution_cost,-0.09069475013109245,G (100000),Rail G (100000),G (100000),4.42889510782104,Rail top 10,1
Rail,100000,rail_co2_cost,-0.002667492650914484,G (100000),Rail G (100000),G (100000),4.42889510782104,Rail top 10,1
Rail,100000,rail_construction_cost,-0.0,G (100000),Rail G (100000),G (100000),4.42889510782104,Rail top 10,1
Rail,100000,rail_land_consumption_cost,-0.0,G (100000),Rail G (100000),G (100000),4.42889510782104,Rail top 10,1
Rail,100000,rail_maint_cost,-0.0,G (100000),Rail G (100000),G (100000),4.42889510782104,Rail top 10,1
Rail,100000,rail_noise_cost,-0.02098413426554671,G (100000),Rail G (100000),G (100000),4.42889510782104,Rail top 10,1
Rail,100000,rail_operation_cost,-1.194824464303851,G (100000),Rail G (100000),G (100000),4.42889510782104,Rail top 10,1
Rail,100000,rail_tts_cost,5.886527116657844,G (100000),Rail G (100000),G (100000),4.42889510782104,Rail top 10,1
Rail,100001,rail_accident_cost,-0.02590639795283632,G (100001),Rail G (100001),G (100001),10.74747368501362,Rail top 10,0
Rail,100001,rail_airpollution_cost,-0.11778604526237783,G (100001),Rail G (100001),G (100001),10.74747368501362,Rail top 10,0
Rail,100001,rail_co2_cost,-0.0034642954488934663,G (100001),Rail G (100001),G (100001),10.74747368501362,Rail top 10,0
Rail,100001,rail_construction_cost,-0.0,G (100001),Rail G (100001),G (100001),10.74747368501362,Rail top 10,0
Rail,100001,rail_land_consumption_cost,-0.0,G (100001),Rail G (100001),G (100001),10.74747368501362,Rail top 10,0
Rail,100001,rail_maint_cost,-0.0,G (100001),Rail G (100001),G (100001),10.74747368501362,Rail top 10,0
Rail,100001,rail_noise_cost,-0.03509371595164418,G (100001),Rail G (100001),G (100001),10.74747368501362,Rail top 10,0
Rail,100001,rail_operation_cost,-1.5517287189133662,G (100001),Rail G (100001),G (100001),10.74747368501362,Rail top 10,0
Rail,100001,rail_tts_cost,18.635895537865856,G (100001),Rail G (100001),G (100001),10.74747368501362,Rail top 10,0
Rail,100002,rail_accident_cost,-0.026265546000008272,G (100002),Rail G (100002),G (100002),2.2502023736839254,Rail top 10,3
Rail,100002,rail_airpollution_cost,-0.1194189480000376,G (100002),Rail G (100002),G (100002),2.2502023736839254,Rail top 10,3
Rail,100002,rail_co2_cost,-0.0035123220000011063,G (100002),Rail G (100002),G (100002),2.2502023736839254,Rail top 10,3
Rail,100002,rail_construction_cost,-0.7320404281907269,G (100002),Rail G (100002),G (100002),2.2502023736839254,Rail top 10,3
Rail,100002,rail_land_consumption_cost,-0.002701245112781955,G (100002),Rail G (100002),G (100002),2.2502023736839254,Rail top 10,3
Rail,100002,rail_maint_cost,-0.579195,G (100002),Rail G (100002),G (100002),2.2502023736839254,Rail top 10,3
Rail,100002,rail_noise_cost,-0.030878038538663798,G (100002),Rail G (100002),G (100002),2.2502023736839254,Rail top 10,3
Rail,100002,rail_operation_cost,-1.5732407925005205,G (100002),Rail G (100002),G (100002),2.2502023736839254,Rail top 10,3
Rail,100002,rail_tts_cost,6.90193845192276,G (100002),Rail G (100002),G (100002),2.2502023736839254,Rail top 10,3
Rail,100005,rail_accident_cost,-0.031219996377805176,P (100005),Rail P (100005),P (100005),2.0808130671519205,Rail top 10,5
Rail,100005,rail_airpollution_cost,-0.14194485521075043,P (100005),Rail P (100005),P (100005),2.0808130671519205,Rail top 10,5
Rail,100005,rail_co2_cost,-0.0041748486826691305,P (100005),Rail P (100005),P (100005),2.0808130671519205,Rail top 10,5
Rail,100005,rail_construction_cost,-0.7320404281907269,P (100005),Rail P (100005),P (100005),2.0808130671519205,Rail top 10,5
Rail,100005,rail_land_consumption_cost,-0.002701245112781955,P (100005),Rail P (100005),P (100005),2.0808130671519205,Rail top 10,5
Rail,100005,rail_maint_cost,-0.579195,P (100005),Rail P (100005),P (100005),2.0808130671519205,Rail top 10,5
Rail,100005,rail_noise_cost,-0.03326832343359484,P (100005),Rail P (100005),P (100005),2.0808130671519205,Rail top 10,5
Rail,100005,rail_operation_cost,-1.870000031343926,P (100005),Rail P (100005),P (100005),2.0808130671519205,Rail top 10,5
Rail,100005,rail_tts_cost,7.0634130277870355,P (100005),Rail P (100005),P (100005),2.0808130671519205,Rail top 10,5
Rail,101007,rail_accident_cost,-0.045861796342014136,X7 (101007),Rail X7 (101007),X7 (101007),2.129145184217154,Rail top 10,4
Rail,101007,rail_airpollution_cost,-0.20851527215743304,X7 (101007),Rail X7 (101007),X7 (101007),2.129145184217154,Rail top 10,4
Rail,101007,rail_co2_cost,-0.006132802122277443,X7 (101007),Rail X7 (101007),X7 (101007),2.129145184217154,Rail top 10,4
Rail,101007,rail_construction_cost,-1.9047809095278083,X7 (101007),Rail X7 (101007),X7 (101007),2.129145184217154,Rail top 10,4
Rail,101007,rail_land_consumption_cost,-0.002701245112781955,X7 (101007),Rail X7 (101007),X7 (101007),2.129145184217154,Rail top 10,4
Rail,101007,rail_maint_cost,-1.5380792250000002,X7 (101007),Rail X7 (101007),X7 (101007),2.129145184217154,Rail top 10,4
Rail,101007,rail_noise_cost,-0.0405039808141297,X7 (101007),Rail X7 (101007),X7 (101007),2.129145184217154,Rail top 10,4
Rail,101007,rail_operation_cost,-3.0217081230613725,X7 (101007),Rail X7 (101007),X7 (101007),2.129145184217154,Rail top 10,4
Rail,101007,rail_tts_cost,14.410657908879656,X7 (101007),Rail X7 (101007),X7 (101007),2.129145184217154,Rail top 10,4
Rail,101008,rail_accident_cost,-0.03760824508620929,X8 (101008),Rail X8 (101008),X8 (101008),1.2749368482785544,Rail top 10,9
Rail,101008,rail_airpollution_cost,-0.17098967081519198,X8 (101008),Rail X8 (101008),X8 (101008),1.2749368482785544,Rail top 10,9
Rail,101008,rail_co2_cost,-0.0050291079651527066,X8 (101008),Rail X8 (101008),X8 (101008),1.2749368482785544,Rail top 10,9
Rail,101008,rail_construction_cost,-1.9047809095278083,X8 (101008),Rail X8 (101008),X8 (101008),1.2749368482785544,Rail top 10,9
Rail,101008,rail_land_consumption_cost,-0.002701245112781955,X8 (101008),Rail X8 (101008),X8 (101008),1.2749368482785544,Rail top 10,9
Rail,101008,rail_maint_cost,-1.5380792250000002,X8 (101008),Rail X8 (101008),X8 (101008),1.2749368482785544,Rail top 10,9
Rail,101008,rail_noise_cost,-0.06190716986421456,X8 (101008),Rail X8 (101008),X8 (101008),1.2749368482785544,Rail top 10,9
Rail,101008,rail_operation_cost,-2.4779042413341967,X8 (101008),Rail X8 (101008),X8 (101008),1.2749368482785544,Rail top 10,9
Rail,101008,rail_tts_cost,7.903333286240043,X8 (101008),Rail X8 (101008),X8 (101008),1.2749368482785544,Rail top 10,9
Rail,101010,rail_accident_cost,-0.05889350729847904,X10 (101010),Rail X10 (101010),X10 (101010),1.5567791865505132,Rail top 10,7
Rail,101010,rail_airpollution_cost,-0.26776525740659224,X10 (101010),Rail X10 (101010),X10 (101010),1.5567791865505132,Rail top 10,7
Rail,101010,rail_co2_cost,-0.007875448747252713,X10 (101010),Rail X10 (101010),X10 (101010),1.5567791865505132,Rail top 10,7
Rail,101010,rail_construction_cost,-0.7320404281907269,X10 (101010),Rail X10 (101010),X10 (101010),1.5567791865505132,Rail top 10,7
Rail,101010,rail_land_consumption_cost,-0.002701245112781955,X10 (101010),Rail X10 (101010),X10 (101010),1.5567791865505132,Rail top 10,7
Rail,101010,rail_maint_cost,-0.579195,X10 (101010),Rail X10 (101010),X10 (101010),1.5567791865505132,Rail top 10,7
Rail,101010,rail_noise_cost,-0.049476439303737324,X10 (101010),Rail X10 (101010),X10 (101010),1.5567791865505132,Rail top 10,7
Rail,101010,rail_operation_cost,-3.8803318577462487,X10 (101010),Rail X10 (101010),X10 (101010),1.5567791865505132,Rail top 10,7
Rail,101010,rail_tts_cost,8.684148930116883,X10 (101010),Rail X10 (101010),X10 (101010),1.5567791865505132,Rail top 10,7
Rail,101011,rail_accident_cost,-0.102191717431209,X11 (101011),Rail X11 (101011),X11 (101011),1.4465256939045144,Rail top 10,8
Rail,101011,rail_airpollution_cost,-0.46462492688894563,X11 (101011),Rail X11 (101011),X11 (101011),1.4465256939045144,Rail top 10,8
