mode,development,scenario_count,mean_tts_minutes,median_tts_minutes,std_tts_minutes,min_tts_minutes,max_tts_minutes,q1_tts_minutes,q3_tts_minutes,mean_tts_chf_yearly,median_tts_chf_yearly,std_tts_chf_yearly,n_positive,n_negative,iqr_tts_minutes
Road,334,10,13413.543312123296,9901.978776972013,9434.305241983013,2748.416123521689,29988.851144417426,7077.349049455865,19728.028804654372,3751600.3951094844,2769459.68918436,2638657.2473671236,10,0,12650.679755198507
Road,0,10,9071.8278212231,6632.31679877406,6521.5953061439,1737.9355012003798,20545.763032085495,4687.937436480715,13429.71682771304,2537276.8437483357,1854976.10465712,1824008.6871871222,10,0,8741.779391232325
Road,423,10,9091.962531524085,6583.016768335394,6672.459763723547,1626.5581834885816,20842.44884219207,4602.175206078566,13537.891223025945,2542908.2705356427,1841187.5023938057,1866203.5901664293,10,0,8935.71601694738
Road,669,10,8281.571618357522,6011.16976778573,6040.952141414394,1511.7851698814193,18904.11802771315,4216.559480199299,12292.449138649039,2316252.062009369,1681249.0444275714,1689578.802051838,10,0,8075.88965844974
Road,813,10,7852.846713189688,5250.932025423535,6705.82611343088,611.3699622725835,19775.257097125752,3317.088546300729,12281.573022394761,2196343.0650952407,1468620.0508606452,1875535.7411001993,10,0,8964.484476094032
Road,938,10,7276.721855651561,5114.436416277633,5677.513002629192,1019.1751485197748,17325.040901676053,3448.88854347718,11056.929981956111,2035208.144002546,1430443.9351776503,1587929.417922852,10,0,7608.041438478931
Road,15,10,6484.543460017859,4752.066433227796,4638.66303422841,1260.0957061277877,14642.175527352609,3367.1294597582455,9586.021120915888,1813645.7489737447,1329093.5805433989,1297376.067385758,10,0,6218.891661157642
Road,57,10,5435.647841470622,4453.088307435421,2885.233410042786,1903.6786016088151,10399.771681082437,3528.6266340686125,7435.083103522629,1520282.7556613146,1245473.1359858443,806963.7193713419,10,0,3906.4564694540168
Road,761,10,4917.5773246179015,3497.245750378788,3747.6714012641005,760.4455309081532,11532.3407907926,2392.2960945065424,7408.994567639689,1375384.9079790693,978135.9208090673,1048176.845041053,10,0,5016.698473133147
Road,176,10,5224.596468234437,3434.8291163288523,4583.06055227423,306.1973116915615,13378.687503176045,2121.126474607736,8235.58178305917,1461254.3247093193,960678.7684732259,1281824.7482141987,10,0,6114.455308451434
