run,scenario,source,n_links,mean_link_tt_min_unweighted,median_link_tt_min_unweighted,p95_link_tt_min_unweighted,mean_delay_min_unweighted,max_delay_min,edge_max_delay,flow,flow_cap,fftt_min
2iter_xscen_xdev_test,scenario_19,all_links,176,2.7912051432595217,1.955212914016037,6.622265013246813,0.5604158307142353,23.271153465193056,178,,,
2iter_xscen_xdev_test,scenario_19,used_links,57,3.264338561086818,2.253838982066019,8.182666146534695,1.7304067755386914,23.271153465193056,178,,,
2iter_xscen_xdev_test,scenario_19,edge_129,1,20.08571830832053,20.08571830832053,20.08571830832053,18.0060219151706,18.0060219151706,129,4290.090382360721,5.884897643841867,2.079696393149929
2iter_xscen_xdev_test,scenario_19,edge_178,1,28.3108213214028,28.3108213214028,28.3108213214028,23.271153465193056,23.271153465193056,178,4297.718772075383,4.297718772075383,5.039667856209742
2iter_xscen_xdev_test,scenario_26,all_links,176,2.3460085097159875,1.681533201872269,5.378243639826802,0.11521919717070084,4.793195930509202,178,,,
2iter_xscen_xdev_test,scenario_26,used_links,57,1.8896963241804654,1.4851033339318425,5.052764174190403,0.3557645386323394,4.793195930509202,178,,,
2iter_xscen_xdev_test,scenario_26,edge_129,1,5.778012857662862,5.778012857662862,5.778012857662862,3.698316464512933,3.698316464512933,129,1944.283498034631,2.6670555528595763,2.079696393149929
2iter_xscen_xdev_test,scenario_26,edge_178,1,9.832863786718944,9.832863786718944,9.832863786718944,4.793195930509202,4.793195930509202,178,1950.480573738233,1.9504805737382331,5.039667856209742
2iter_xscen_xdev_test,scenario_44,all_links,176,2.5590664071527223,1.870276096122455,6.252403844384883,0.3282770946074354,13.638339064867107,178,,,
2iter_xscen_xdev_test,scenario_44,used_links,57,2.547559305739506,1.8690580652174402,6.550272442286554,1.0136275201913796,13.638339064867107,178,,,
2iter_xscen_xdev_test,scenario_44,edge_129,1,12.623565018453453,12.623565018453453,12.623565018453453,10.543868625303524,10.543868625303524,129,3282.8991969095787,4.503291079437008,2.079696393149929
2iter_xscen_xdev_test,scenario_44,edge_178,1,18.67800692107685,18.67800692107685,18.67800692107685,13.638339064867107,13.638339064867107,178,3290.1051644946706,3.2901051644946704,5.039667856209742
2iter_xscen_xdev_test,scenario_64,all_links,176,2.733636558570275,1.955212914016037,6.531360449303926,0.502847246024989,20.880343040592475,178,,,
2iter_xscen_xdev_test,scenario_64,used_links,57,3.0865829311691444,2.1792688725921145,7.777428865927191,1.5526511456210188,20.880343040592475,178,,,
2iter_xscen_xdev_test,scenario_64,edge_129,1,18.233259125959947,18.233259125959947,18.233259125959947,16.153562732810016,16.153562732810016,129,4063.4200199596817,5.573964362084611,2.079696393149929
2iter_xscen_xdev_test,scenario_64,edge_178,1,25.920010896802218,25.920010896802218,25.920010896802218,20.880343040592475,20.880343040592475,178,4070.969540360378,4.070969540360378,5.039667856209742
2iter_xscen_xdev_test,scenario_78,all_links,176,2.8351519572235024,1.9777148584603859,6.8156205364072395,0.6043626446782162,25.092240811553268,178,,,
2iter_xscen_xdev_test,scenario_78,used_links,57,3.4000339866598117,2.3336657244958383,8.491367244549082,1.866102201111685,25.092240811553268,178,,,
2iter_xscen_xdev_test,scenario_78,edge_129,1,21.49688211527397,21.49688211527397,21.49688211527397,19.41718572212404,19.41718572212404,129,4455.030657165999,6.111153164836762,2.079696393149929
2iter_xscen_xdev_test,scenario_78,edge_178,1,30.13190866776301,30.13190866776301,30.13190866776301,25.092240811553268,25.092240811553268,178,4462.710982784518,4.462710982784518,5.039667856209742
5iter_5scen_4dev_test_1542375,scenario_19,all_links,176,2.673439405843196,1.9226710022464917,6.350682607650002,0.4426500932979101,21.828802962539736,178,,,
5iter_5scen_4dev_test_1542375,scenario_19,used_links,57,2.900711020994305,2.177836300110727,6.971997388758779,1.3667792354461785,21.828802962539736,178,,,
5iter_5scen_4dev_test_1542375,scenario_19,edge_129,1,14.551394186470363,14.551394186470363,14.551394186470363,12.471697793320434,12.471697793320434,129,3570.4285292703053,4.8977071732102955,2.079696393149929
5iter_5scen_4dev_test_1542375,scenario_19,edge_178,1,26.86847081874948,26.86847081874948,26.86847081874948,21.828802962539736,21.828802962539736,178,4162.401780070458,4.162401780070458,5.039667856209742
5iter_5scen_4dev_test_1542375,scenario_26,all_links,176,2.3457550640682876,1.6815254563440543,5.373154434937669,0.11496575152300106,4.791447035171367,178,,,
5iter_5scen_4dev_test_1542375,scenario_26,used_links,57,1.8889137551630066,1.4851033102292233,5.050029691076022,0.3549819696148805,4.791447035171367,178,,,
5iter_5scen_4dev_test_1542375,scenario_26,edge_129,1,5.765512728487549,5.765512728487549,5.765512728487549,3.68581633533762,3.68581633533762,129,1940.9949252067024,2.66254447902154,2.079696393149929
5iter_5scen_4dev_test_1542375,scenario_26,edge_178,1,9.831114891381109,9.831114891381109,9.831114891381109,4.791447035171367,4.791447035171367,178,1950.1247049558565,1.9501247049558565,5.039667856209742
5iter_5scen_4dev_test_1542375,scenario_44,all_links,176,2.5118753697988883,1.8411389367503082,6.038875868180357,0.2810860572536021,13.043463704575903,178,,,
5iter_5scen_4dev_test_1542375,scenario_44,used_links,57,2.4018466289978453,1.792743568296243,6.066764460855113,0.8679148434497188,13.043463704575903,178,,,
5iter_5scen_4dev_test_1542375,scenario_44,edge_129,1,10.413307367418582,10.413307367418582,10.413307367418582,8.333610974268653,8.333610974268653,129,2918.5972317087617,4.003562732110784,2.079696393149929
5iter_5scen_4dev_test_1542375,scenario_44,edge_178,1,18.083131560785645,18.083131560785645,18.083131560785645,13.043463704575903,13.043463704575903,178,3217.551487685965,3.217551487685965,5.039667856209742
5iter_5scen_4dev_test_1542375,scenario_64,all_links,176,2.606561425597598,1.8899814337956666,6.200324724575924,0.3757721130523118,19.30327242982281,178,,,
5iter_5scen_4dev_test_1542375,scenario_64,used_links,57,2.6942105907622818,2.065354272472349,6.472885785436648,1.1602788052141557,19.30327242982281,178,,,
5iter_5scen_4dev_test_1542375,scenario_64,edge_129,1,12.269807775637876,12.269807775637876,12.269807775637876,10.190111382487947,10.190111382487947,129,3227.357088190791,4.427101629891346,2.079696393149929
5iter_5scen_4dev_test_1542375,scenario_64,edge_178,1,24.342940286032555,24.342940286032555,24.342940286032555,19.30327242982281,19.30327242982281,178,3914.213479869763,3.9142134798697628,5.039667856209742
5iter_5scen_4dev_test_1542375,scenario_78,all_links,176,2.725404720039258,1.9528155962204274,6.439293109359642,0.4946154074939713,23.708266612304865,178,,,
5iter_5scen_4dev_test_1542375,scenario_78,used_links,57,3.06116532447688,2.2465138893773067,7.367008125168467,1.5272335389287532,23.708266612304865,178,,,
5iter_5scen_4dev_test_1542375,scenario_78,edge_129,1,16.357104817773,16.357104817773,16.357104817773,14.27740842462307,14.27740842462307,129,3820.166099656413,5.240282715578069,2.079696393149929
5iter_5scen_4dev_test_1542375,scenario_78,edge_178,1,28.747934468514607,28.747934468514607,28.747934468514607,23.708266612304865,23.708266612304865,178,4337.894040167881,4.337894040167881,5.039667856209742
8iter_5scen_4dev_test_1547628,scenario_19,all_links,176,2.598383214848057,1.8816082290531435,6.110883596865578,0.36759390230277006,20.153709021614972,178,,,
8iter_5scen_4dev_test_1547628,scenario_19,used_links,57,2.668958571605802,2.0235288081043734,6.276960136332244,1.135026786057676,20.153709021614972,178,,,
8iter_5scen_4dev_test_1547628,scenario_19,edge_129,1,11.3741738221198,11.3741738221198,11.3741738221198,9.294477428969872,9.294477428969872,129,3082.265485795796,4.228073368718513,2.079696393149929
8iter_5scen_4dev_test_1547628,scenario_19,edge_178,1,25.193376877824715,25.193376877824715,25.193376877824715,20.153709021614972,20.153709021614972,178,3999.5076353443937,3.999507635344394,5.039667856209742
8iter_5scen_4dev_test_1547628,scenario_26,all_links,176,2.345537137922497,1.6815345608389818,5.3685693595558295,0.11474782537721072,4.790964031341624,178,,,
8iter_5scen_4dev_test_1547628,scenario_26,used_links,57,1.8882408603970575,1.4851052334930932,5.047566082028451,0.3543090748489313,4.790964031341624,178,,,
8iter_5scen_4dev_test_1547628,scenario_26,edge_129,1,5.754250844597998,5.754250844597998,5.754250844597998,3.674554451448069,3.674554451448069,129,1938.0273353164343,2.6584737109964807,2.079696393149929
8iter_5scen_4dev_test_1547628,scenario_26,edge_178,1,9.830631887551366,9.830631887551366,9.830631887551366,4.790964031341624,4.790964031341624,178,1950.026410908896,1.950026410908896,5.039667856209742
8iter_5scen_4dev_test_1547628,scenario_44,all_links,176,2.502314554879371,1.8365913161445153,5.9649281040906255,0.2715252423340851,12.919055425022488,178,,,
8iter_5scen_4dev_test_1547628,scenario_44,used_links,57,2.3723255162638974,1.786622102234485,5.96919846819329,0.8383937307157714,12.919055425022488,178,,,
8iter_5scen_4dev_test_1547628,scenario_44,edge_129,1,9.967304426323008,9.967304426323008,9.967304426323008,7.887608033173079,7.887608033173079,129,2839.423778628626,3.894957172330077,2.079696393149929
8iter_5scen_4dev_test_1547628,scenario_44,edge_178,1,17.95872328123223,17.95872328123223,17.95872328123223,12.919055425022488,12.919055425022488,178,3202.17025449521,3.20217025449521,5.039667856209742
8iter_5scen_4dev_test_1547628,scenario_64,all_links,176,2.5395891941950492,1.8652171586357318,5.929768929761462,0.3087998816497625,17.693973078768366,178,,,
8iter_5scen_4dev_test_1547628,scenario_64,used_links,57,2.4874191394140595,1.8589401902439937,5.863903757479805,0.9534873538659333,17.693973078768366,178,,,
8iter_5scen_4dev_test_1547628,scenario_64,edge_129,1,9.485971234513052,9.485971234513052,9.485971234513052,7.406274841363123,7.406274841363123,129,2751.423655667287,3.774243697760339,2.079696393149929
8iter_5scen_4dev_test_1547628,scenario_64,edge_178,1,22.73364093497811,22.73364093497811,22.73364093497811,17.693973078768366,17.693973078768366,178,3747.500671431033,3.747500671431033,5.039667856209742
8iter_5scen_4dev_test_1547628,scenario_78,all_links,176,2.658200346415265,1.9034081884805252,6.296391546854889,0.4274110338699783,22.36144747722418,178,,,
8iter_5scen_4dev_test_1547628,scenario_78,used_links,57,2.8536570831115684,2.1925673746810537,6.729976956740307,1.3197252975634417,22.36144747722418,178,,,
8iter_5scen_4dev_test_1547628,scenario_78,edge_129,1,13.445047379139652,13.445047379139652,13.445047379139652,11.365350985989723,11.365350985989723,129,3408.387632456955,4.675428851106934,2.079696393149929
8iter_5scen_4dev_test_1547628,scenario_78,edge_178,1,27.40111533343392,27.40111533343392,27.40111533343392,22.36144747722418,22.36144747722418,178,4212.879084567919,4.212879084567919,5.039667856209742
