run,case_type,development,scenario,od_pairs,total_demand,mean_tt_min_unweighted,median_tt_min_unweighted,p95_tt_min_unweighted,max_tt_min_unweighted,mean_tt_min_weighted,std_tt_min_unweighted
2iter_xscen_xdev_test,status_quo,status_quo,scenario_100,930,6637.24180971538,57.40675113479339,62.32867084309775,70.31998344262475,76.54442547338846,54.94221855053591,17.229345256520755
2iter_xscen_xdev_test,status_quo,status_quo,scenario_19,930,10004.725529239464,99.61187914086929,108.22264233074644,118.19803129924478,124.85660090118242,94.99805322580819,29.544564261141367
2iter_xscen_xdev_test,status_quo,status_quo,scenario_26,930,4540.663259143899,42.32420857988873,45.716838897061166,53.367209811895165,59.2921192442592,40.68316829594808,12.837708096982105
2iter_xscen_xdev_test,status_quo,status_quo,scenario_44,930,7660.214081615989,67.7157711196842,73.55513677224324,81.88961558454983,88.3529303446348,64.73315484820375,20.264997868884407
2iter_xscen_xdev_test,status_quo,status_quo,scenario_64,930,9479.923166176046,91.37712042026531,99.29072157910944,108.8184337355621,115.45340377811455,87.17667562804664,27.1715433102971
2iter_xscen_xdev_test,status_quo,status_quo,scenario_70,930,6261.989540893073,54.128093163172544,58.73336642039433,66.65573452773012,72.80463557445354,51.846258078496774,16.291807184066524
2iter_xscen_xdev_test,status_quo,status_quo,scenario_75,930,7675.598406325596,67.88475949879533,73.73910212976361,82.07925783702065,88.54666554456625,64.89223595212002,20.31407177252834
2iter_xscen_xdev_test,status_quo,status_quo,scenario_78,930,10391.082934411694,105.99881345135772,115.13933939965554,125.49191133210157,132.16598729182166,101.03038295286392,31.39379955369102
2iter_xscen_xdev_test,status_quo,status_quo,scenario_89,930,6419.4262517908755,55.46025445503693,60.20904705693813,68.14515440053952,74.32569719658991,53.09547674111732,16.67314072712089
2iter_xscen_xdev_test,status_quo,status_quo,scenario_96,930,6812.882308974937,59.023662817198094,64.0831072121727,72.13795222896327,78.39275252880168,56.465285440715334,17.695323430161217
2iter_xscen_xdev_test,development,109,scenario_100,992,6798.119125570386,59.52162162129652,64.27341627384324,72.46106544934509,78.73640439743514,56.98957572424003,17.6761422356582
2iter_xscen_xdev_test,development,109,scenario_19,992,10247.288085326818,104.5672675371667,113.32870485593162,123.5951883501537,130.09900690056193,99.743018623102,30.702776368002823
2iter_xscen_xdev_test,development,109,scenario_26,992,4650.643463030267,43.43623660349418,46.614704740086225,54.20195854717012,60.4966181793266,41.7704170227139,13.048983935836477
2iter_xscen_xdev_test,development,109,scenario_44,992,7845.948471774449,70.51322574855536,76.31926210918576,84.98305510783048,91.29063380904904,67.44068291998614,20.89811006821068
